年份,原煤开采建设规模,焦炭建设规模,天然原油开采建设规模,天然气开采建设规模,铁矿开采(原矿)建设规模,生铁建设规模,粗钢建设规模,铁合金建设规模,铜采矿(原矿)建设规模,铜选矿处理原矿建设规模,铜选矿铜含量建设规模,铜冶炼建设规模,电解铜建设规模,铅锌采矿建设规模,铅锌选矿处理原矿建设规模,铅含量建设规模,锌含量建设规模,铅冶炼建设规模,电解铅建设规模,锌冶炼建设规模,电解锌建设规模,氧化铝建设规模,电解铝建设规模,水力发电建设规模,火力发电建设规模,核能发电建设规模,风能发电建设规模,其他发电建设规模,水泥建设规模,平板玻璃建设规模,电石建设规模,氮肥建设规模,磷肥建设规模,钾肥建设规模,塑料树脂及共聚物建设规模,轮胎外胎建设规模,轮胎内胎建设规模,载货汽车制造建设规模,客车制造建设规模,轿车制造建设规模,其他汽车制造建设规模,电视机建设规模,化学纤维建设规模,棉纺锭建设规模,毛纺锭建设规模,啤酒建设规模,白酒建设规模,其他酒建设规模,卷烟建设规模,机制纸浆建设规模,家用电冰箱建设规模,家用洗衣机建设规模,新建铁路投产里程建设规模,新建公路建设规模,改建公路建设规模,新(扩)建港口码头年吞吐量建设规模,新(扩)建港口码头泊位建设规模,城市自来水供水能力(万吨/日)建设规模
2009,119583.99,21959.0,3259.18,46.28,20596.33,7303.24,6711.1,5556381.7,3920.42,2016.05,72248.0,3627171.2,1668646.0,3623.17,2642.14,144726.5,186946.0,1924631.1,444360.0,2928932.0,1087330.0,7107000.0,3088406.0,18892.6,23461.6,3275.9,,4171.33,107291.81,22876.53,7804415.0,17690694.0,8438025.67,4131007.0,8560793.8,10854.85,25342.3,710280.0,753730.0,5080402.0,404234.0,818.34,5141476.7,18883973.7,236370.0,810.21,293.17,121.18,4104136.0,732.26,837.0,1027.5,23537.28,183382.47,241051.1,51993.28,559.0,9147.71
2008,102845.18,19112.04,2675.56,143.97,20235.29,11402.89,7308.86,5334827.72,3352.53,904.46,33336.0,2423185.5,824926.1,2869.24,1755.79,173419.4,205332.4,1210746.0,507880.0,1754483.3,504259.0,11107070.0,2907645.0,25041.93,25959.68,2698.5,,3621.69,83273.24,42548.38,7465917.0,12366026.0,6107529.3,2116663.94,9101344.21,11283.72,5867.52,372300.0,451250.0,5014652.0,380836.0,729.4,6772833.16,18505729.0,855678.0,1167.48,803.05,84.7,2660005.0,454.95,1819.55,1521.5,17890.32,127467.85,223024.84,71188.52,540.0,8213.92
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
