年份,中国对欧洲承包工程年末在外劳务人员,中国对比利时承包工程年末在外劳务人员,中国对丹麦承包工程年末在外劳务人员,中国对英国承包工程年末在外劳务人员,中国对德国承包工程年末在外劳务人员,中国对法国承包工程年末在外劳务人员,中国对爱尔兰承包工程年末在外劳务人员,中国对意大利承包工程年末在外劳务人员,中国对卢森堡承包工程年末在外劳务人员,中国对荷兰承包工程年末在外劳务人员,中国对希腊承包工程年末在外劳务人员,中国对葡萄牙承包工程年末在外劳务人员,中国对西班牙承包工程年末在外劳务人员,中国对阿尔巴尼亚承包工程年末在外劳务人员,中国对安道尔承包工程年末在外劳务人员,中国对奥地利承包工程年末在外劳务人员,中国对保加利亚承包工程年末在外劳务人员,中国对芬兰承包工程年末在外劳务人员,中国对直布罗陀承包工程年末在外劳务人员_x,中国对匈牙利承包工程年末在外劳务人员,中国对冰岛承包工程年末在外劳务人员,中国对直布罗陀承包工程年末在外劳务人员_y,中国对马耳他承包工程年末在外劳务人员,中国对摩纳哥承包工程年末在外劳务人员,中国对挪威承包工程年末在外劳务人员,中国对波兰承包工程年末在外劳务人员,中国对罗马尼亚承包工程年末在外劳务人员,中国对圣马力诺承包工程年末在外劳务人员,中国对瑞典承包工程年末在外劳务人员,中国对瑞士承包工程年末在外劳务人员,中国对爱沙尼亚承包工程年末在外劳务人员,中国对拉脱维亚承包工程年末在外劳务人员,中国对立陶宛承包工程年末在外劳务人员,中国对格鲁吉亚承包工程年末在外劳务人员,中国对亚美尼亚承包工程年末在外劳务人员,中国对阿塞拜疆承包工程年末在外劳务人员,中国对白俄罗斯承包工程年末在外劳务人员,中国对摩尔多瓦承包工程年末在外劳务人员,中国对俄罗斯承包工程年末在外劳务人员,中国对乌克兰承包工程年末在外劳务人员,中国对斯洛文尼亚承包工程年末在外劳务人员,中国对克罗地亚承包工程年末在外劳务人员,中国对捷克承包工程年末在外劳务人员,中国对斯洛伐克承包工程年末在外劳务人员,中国对马其顿共和国承包工程年末在外劳务人员,中国对波斯尼亚-黑塞哥维那承包工程年末在外劳务人员,中国对梵蒂冈城国承包工程年末在外劳务人员,中国对法罗群岛承包工程年末在外劳务人员,中国对塞尔维亚承包工程年末在外劳务人员,中国对黑山承包工程年末在外劳务人员
2019,14084,,,218,71,74,,53,,10,14,4,62,2,,84,,22,,1,,,1,,366,77,35,,,57,,,,1768,96,110,2322,,2778,446,,0,,,501,39,,,1832,0
2018,13605,,,127,73,79,,70,,8,24,1,39,17,,114,,3,,1,1.0,,11,,1,119,54,,4.0,47,,0.0,3.0,1210,252,80,1717,,4123,695,,0,,,732,41,,,758,0
2017,9842,,,69,384,63,,76,,38,22,,19,32,,101,104.0,16,,,1.0,,27,,,28,54,,4.0,11,,,3.0,882,240,80,2109,,3578,264,,,,,578,39,,,178,0
2016,9244,,,67,115,59,,82,,58,22,,29,76,,36,152.0,,,,,,11,,,100,54,,4.0,14,,,,564,69,114,2716,,3624,34,35.0,,,,497,60,,,254,0
2015,13943,,,32,55,26,,71,0.0,1,22,,1022,,,,167.0,,,,,,10,,1,89,67,,4.0,,,,,529,,220,3510,,6652,29,10.0,0,,,393,301,,,587,0
2014,13713,40.0,,28,17,26,,28,,1,22,,1022,12,,,214.0,,,,,,10,,1,97,67,,4.0,,,,,717,,366,1743,,7858,29,,0,,,248,578,,,567,
2013,10280,31.0,,25,30,22,41.0,31,,1,27,,1026,5,,,133.0,,,,,,32,,1,87,49,,,23,,,,572,,538,1579,6.0,5518,29,,,,,,163,,,311,
2012,10202,41.0,,85,367,261,,37,,1,2,,1048,5,,56,40.0,18,,17,2.0,,13,,,30,93,,157.0,146,,,,1220,36,305,1718,5.0,4088,99,,,,,,,,,275,
2011,7606,37.0,,79,337,254,,17,,1,,,1048,4,,44,37.0,18,,27,,,,,,32,40,,137.0,126,,,3.0,752,124,538,464,1.0,3233,99,,,,,,32,,,122,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
