年份,中国对拉丁美洲承包工程年末在外劳务人员,中国对安提瓜和巴布达承包工程年末在外劳务人员,中国对阿根廷承包工程年末在外劳务人员,中国对阿鲁巴岛承包工程年末在外劳务人员,中国对巴哈马承包工程年末在外劳务人员,中国对巴巴多斯承包工程年末在外劳务人员,中国对伯利兹承包工程年末在外劳务人员,中国对玻利维亚承包工程年末在外劳务人员,中国对博内尔承包工程年末在外劳务人员,中国对巴西承包工程年末在外劳务人员,中国对开曼群岛承包工程年末在外劳务人员,中国对智利承包工程年末在外劳务人员,中国对哥伦比亚承包工程年末在外劳务人员,中国对多米尼克承包工程年末在外劳务人员,中国对哥斯达黎加承包工程年末在外劳务人员,中国对古巴承包工程年末在外劳务人员,中国对库腊索岛承包工程年末在外劳务人员,中国对多米尼加共和国承包工程年末在外劳务人员,中国对厄瓜多尔承包工程年末在外劳务人员,中国对法属圭亚那承包工程年末在外劳务人员,中国对格林纳达承包工程年末在外劳务人员,中国对瓜德罗普岛承包工程年末在外劳务人员,中国对危地马拉承包工程年末在外劳务人员,中国对圭亚那承包工程年末在外劳务人员,中国对海地承包工程年末在外劳务人员,中国对洪都拉斯承包工程年末在外劳务人员,中国对牙买加承包工程年末在外劳务人员,中国对马提尼克岛承包工程年末在外劳务人员,中国对墨西哥承包工程年末在外劳务人员,中国对蒙特塞拉特承包工程年末在外劳务人员,中国对尼加拉瓜承包工程年末在外劳务人员,中国对巴拿马承包工程年末在外劳务人员,中国对巴拉圭承包工程年末在外劳务人员,中国对秘鲁承包工程年末在外劳务人员,中国对波多黎各承包工程年末在外劳务人员,中国对萨巴承包工程年末在外劳务人员,中国对圣卢西亚承包工程年末在外劳务人员,中国对圣马丁岛承包工程年末在外劳务人员,中国对圣文森特和格林纳丁斯承包工程年末在外劳务人员,中国对萨尔瓦多承包工程年末在外劳务人员,中国对苏里南承包工程年末在外劳务人员,中国对特立尼达和多巴哥承包工程年末在外劳务人员,中国对特克斯和凯科斯岛承包工程年末在外劳务人员,中国对乌拉圭承包工程年末在外劳务人员,中国对委内瑞拉承包工程年末在外劳务人员,中国对英属维尔京群岛承包工程年末在外劳务人员,中国对圣其茨-尼维斯承包工程年末在外劳务人员,中国对荷属安地列斯群岛承包工程年末在外劳务人员,中国对拉美其他国家(地区)承包工程年末在外劳务人员
2019,20332,36,1988,,251,9,,1857,,328,,28,130,129,296,667,,13,1687,,208,,51,454,,181,262,,304,,,482,,9576,,,,,,0,172,69,,3,1149,,,,
2018,19528,80,1287,,118,177,,1469,,492,,23,319,318,197,413,0.0,13,2390,,132,,51,42,,61,446,,300,,,807,,8732,,,,,,,193,118,,3,1343,,,,
2017,18608,27,1434,,133,26,,1172,,401,,79,306,26,22,175,,13,3341,,19,,51,84,,178,334,,261,,68.0,493,,6819,,,,,,,139,883,,3,2091,,0.0,,
2016,19115,24,1328,,253,19,,820,,399,,112,685,140,262,247,,12,3939,,21,,65,237,,164,349,,269,,73.0,354,,4959,,,,,,,153,1102,,3,3111,,0.0,,
2015,26226,151,1753,,376,,,881,,314,,54,343,76,292,256,,50,7369,,23,,66,270,3.0,77,546,,274,,9.0,115,,4724,,,,,,,176,1314,,3,6711,,,,
2014,26564,653,1207,,511,11,,277,,324,,36,336,85,144,246,,,7150,,152,,101,393,2.0,,543,,271,,68.0,25,,4605,,,7.0,,,,327,1851,,3,7236,,,,
2013,19735,159,1371,,280,14,,61,,328,,53,227,64,112,217,,,4769,,15,,150,293,2.0,63,278,,205,,26.0,14,,3158,,,7.0,,7.0,,358,911,,18,6570,,0.0,,
2012,18177,231,2911,,10,24,,30,,657,,11,281,143,201,352,,,3056,,14,,51,248,,102,216,,230,,,2,,3493,,,,,,,497,791,,3,4583,,,,
2011,8908,66,735,,11,48,2.0,,,500,,11,201,175,145,349,,,653,,92,,51,126,28.0,94,131,,155,,,,,572,,,7.0,,,,582,1332,,3,2839,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
