省份编码,省份,年份,社会消费品零售总额(亿元)
110000,北京市,2019,15063.7
110000,北京市,2018,14422.3
110000,北京市,2017,11575.4
110000,北京市,2016,11005.1
110000,北京市,2015,10338.0
110000,北京市,2014,9637.99589039131
110000,北京市,2013,8872.11895
110000,北京市,2012,8123.53849025809
110000,北京市,2011,7222.169576
110000,北京市,2010,6340.3
110000,北京市,2009,5309.9
110000,北京市,2008,4645.5
110000,北京市,2007,3835.2
110000,北京市,2006,3295.3
110000,北京市,2005,2911.7
110000,北京市,2004,2191.814
110000,北京市,2003,1916.7161
110000,北京市,2002,1744.8
110000,北京市,2001,1593.5
110000,北京市,2000,1443.3
120000,天津市,2019,4218.2
120000,天津市,2018,4231.2
120000,天津市,2017,5729.7
120000,天津市,2016,5635.8
120000,天津市,2015,5257.3
120000,天津市,2014,4738.65431
120000,天津市,2013,4470.42859
120000,天津市,2012,3921.42859
120000,天津市,2011,3395.05613
120000,天津市,2010,2860.2
120000,天津市,2009,2430.8
120000,天津市,2008,2078.7
120000,天津市,2007,1650.6
120000,天津市,2006,1383.1
120000,天津市,2005,1201.6
120000,天津市,2004,1052.70056
120000,天津市,2003,922.26734
120000,天津市,2002,941.4
120000,天津市,2001,832.7
120000,天津市,2000,736.6
130000,河北省,2019,12985.5
130000,河北省,2018,11973.9
130000,河北省,2017,15907.6
130000,河北省,2016,14364.7
130000,河北省,2015,12990.7
130000,河北省,2014,11820.4578042494
130000,河北省,2013,10516.74717
130000,河北省,2012,9254.03456
130000,河北省,2011,8035.50089
130000,河北省,2010,6821.7916
130000,河北省,2009,5764.9
130000,河北省,2008,4991.1
130000,河北省,2007,4053.8
130000,河北省,2006,3435.7
130000,河北省,2005,2969.5
130000,河北省,2004,2522.8853
130000,河北省,2003,2177.87423
130000,河北省,2002,1968.3
130000,河北省,2001,1778.3
130000,河北省,2000,1613.9
140000,山西省,2019,7030.5
140000,山西省,2018,6523.3
140000,山西省,2017,6918.1
140000,山西省,2016,6480.5
140000,山西省,2015,6033.7
140000,山西省,2014,5717.88813656914
140000,山西省,2013,5139.29303
140000,山西省,2012,4506.80572
140000,山西省,2011,3903.41145
140000,山西省,2010,3318.15477
140000,山西省,2009,2809.0
140000,山西省,2008,2421.1
140000,山西省,2007,1953.3
140000,山西省,2006,1635.4
140000,山西省,2005,1410.7
140000,山西省,2004,884.75724
140000,山西省,2003,729.30322
140000,山西省,2002,755.4
140000,山西省,2001,679.9
140000,山西省,2000,629.1
150000,内蒙古自治区,2019,5051.1
150000,内蒙古自治区,2018,4852.3
150000,内蒙古自治区,2017,7160.2
150000,内蒙古自治区,2016,6700.8
150000,内蒙古自治区,2015,6107.7
150000,内蒙古自治区,2014,5657.5552932248
150000,内蒙古自治区,2013,5114.16432
150000,内蒙古自治区,2012,4572.54639
150000,内蒙古自治区,2011,3991.70905
150000,内蒙古自治区,2010,3384.00401
150000,内蒙古自治区,2009,2855.3
150000,内蒙古自治区,2008,2463.0
150000,内蒙古自治区,2007,1964.0
150000,内蒙古自治区,2006,1628.6
150000,内蒙古自治区,2005,1358.1
150000,内蒙古自治区,2004,891.95973
150000,内蒙古自治区,2003,726.76307
150000,内蒙古自治区,2002,606.0
150000,内蒙古自治区,2001,537.3
150000,内蒙古自治区,2000,484.0
210000,辽宁省,2019,9670.6
210000,辽宁省,2018,9112.8
210000,辽宁省,2017,13807.2
210000,辽宁省,2016,13414.1
210000,辽宁省,2015,12787.2
210000,辽宁省,2014,11856.9849256052
210000,辽宁省,2013,10581.43795
210000,辽宁省,2012,9304.24477457078
210000,辽宁省,2011,8095.3216
210000,辽宁省,2010,6887.64341
210000,辽宁省,2009,5812.6
210000,辽宁省,2008,5032.4
210000,辽宁省,2007,4097.8
210000,辽宁省,2006,3471.6
210000,辽宁省,2005,3014.4
210000,辽宁省,2004,2642.83671
210000,辽宁省,2003,2330.8007
210000,辽宁省,2002,2258.4
210000,辽宁省,2001,2034.9
210000,辽宁省,2000,1847.6
220000,吉林省,2019,4212.9
220000,吉林省,2018,4073.8
220000,吉林省,2017,7855.8
220000,吉林省,2016,7310.4
220000,吉林省,2015,6651.9
220000,吉林省,2014,6080.89982
220000,吉林省,2013,5426.42529
220000,吉林省,2012,4772.94043
220000,吉林省,2011,4119.81745
220000,吉林省,2010,3504.91606
220000,吉林省,2009,2957.3
220000,吉林省,2008,2549.2
220000,吉林省,2007,2038.3
