省份编码,省份,年份,乡村户数(万户),乡村人口(万人)
110000,北京市,2019,,
110000,北京市,2018,,
110000,北京市,2017,,
110000,北京市,2016,,
110000,北京市,2015,,
110000,北京市,2014,,
110000,北京市,2013,,
110000,北京市,2012,215.2,582.5
110000,北京市,2011,212.42,574.8
110000,北京市,2010,215.95,589.43
110000,北京市,2009,203.8336,572.5224
110000,北京市,2008,189.78,547.38
110000,北京市,2007,176.857,509.9582
110000,北京市,2006,143.6,501.6
110000,北京市,2005,142.24,381.8
110000,北京市,2004,132.88,359.94
110000,北京市,2003,131.05,360.6
110000,北京市,2002,128.01,357.64
110000,北京市,2001,127.63,361.56
110000,北京市,2000,126.8,363.7
120000,天津市,2019,,
120000,天津市,2018,,
120000,天津市,2017,,
120000,天津市,2016,,
120000,天津市,2015,,
120000,天津市,2014,,
120000,天津市,2013,,
120000,天津市,2012,129.03,402.83
120000,天津市,2011,129.07,404.28
120000,天津市,2010,130.28,407.79
120000,天津市,2009,128.89,404.9
120000,天津市,2008,127.11,403.24
120000,天津市,2007,125.38,401.35
120000,天津市,2006,122.57,399.43
120000,天津市,2005,119.76,397.51
120000,天津市,2004,117.88,395.18
120000,天津市,2003,115.05,391.4
120000,天津市,2002,112.85,386.62
120000,天津市,2001,112.65,387.24
120000,天津市,2000,112.07,386.08
130000,河北省,2019,,
130000,河北省,2018,,
130000,河北省,2017,,
130000,河北省,2016,,
130000,河北省,2015,,
130000,河北省,2014,,
130000,河北省,2013,,
130000,河北省,2012,1551.16,5628.36
130000,河北省,2011,1536.9067,5599.62
130000,河北省,2010,1525.58,5570.2
130000,河北省,2009,1497.3879,5531.1772
130000,河北省,2008,1476.82,5495.58
130000,河北省,2007,1461.93,5456.94
130000,河北省,2006,1445.65,5412.04
130000,河北省,2005,1448.55,5422.28
130000,河北省,2004,1439.38,5389.87
130000,河北省,2003,1436.1,5383.04
130000,河北省,2002,1434.69,5388.84
130000,河北省,2001,1434.07,5385.64
130000,河北省,2000,1422.61,5382.39
140000,山西省,2019,,
140000,山西省,2018,,
140000,山西省,2017,,
140000,山西省,2016,,
140000,山西省,2015,,
140000,山西省,2014,,
140000,山西省,2013,,
140000,山西省,2012,791.8934,2415.0028
140000,山西省,2011,758.3716,2400.8693
140000,山西省,2010,694.4212,2393.8302
140000,山西省,2009,672.03,2376.72
140000,山西省,2008,657.47,2369.99
140000,山西省,2007,650.08,2368.18
140000,山西省,2006,644.235,2361.56
140000,山西省,2005,638.39,2354.94
140000,山西省,2004,634.37,2344.47
140000,山西省,2003,630.12,2335.5
140000,山西省,2002,625.14,2327.4
140000,山西省,2001,622.58,2323.96
140000,山西省,2000,620.78,2322.62
150000,内蒙古自治区,2019,,
150000,内蒙古自治区,2018,,
150000,内蒙古自治区,2017,,
150000,内蒙古自治区,2016,0.04349261,1355.2868
150000,内蒙古自治区,2015,,
150000,内蒙古自治区,2014,,
150000,内蒙古自治区,2013,,
150000,内蒙古自治区,2012,391.9113,1349.8389
150000,内蒙古自治区,2011,380.0697,1327.7399
150000,内蒙古自治区,2010,364.0337,1309.4315
150000,内蒙古自治区,2009,357.8216,1310.2098
150000,内蒙古自治区,2008,353.2814,1301.4644
150000,内蒙古自治区,2007,357.05,1319.85
150000,内蒙古自治区,2006,354.235,1331.89
