省份编码,省份,年份,农用柴油使用量(万吨),农药使用量(万吨)
110000,北京市,2019,1.8,0.2257
110000,北京市,2018,1.93,0.257445
110000,北京市,2017,2.24697,0.27259
110000,北京市,2016,2.52598,0.30305
110000,北京市,2015,2.77886,0.31737
110000,北京市,2014,3.35583,0.36028
110000,北京市,2013,3.69886,0.38643
110000,北京市,2012,3.88,0.387873
110000,北京市,2011,3.9572,0.393645
110000,北京市,2010,3.91,0.397221
110000,北京市,2009,4.94,0.398095
110000,北京市,2008,4.46,0.38694
110000,北京市,2007,4.44825,0.37348
110000,北京市,2006,6.32,0.466945
110000,北京市,2005,6.44,0.4668
110000,北京市,2004,6.94,0.5358
110000,北京市,2003,7.1,0.5221
110000,北京市,2002,6.55,0.47
110000,北京市,2001,9.51,0.451
110000,北京市,2000,7.9,0.544
120000,天津市,2019,2.1,0.2171
120000,天津市,2018,2.2,0.218995
120000,天津市,2017,14.03,0.235347
120000,天津市,2016,14.8889,0.3307
120000,天津市,2015,15.5,0.3528241
120000,天津市,2014,15.328,0.3642
120000,天津市,2013,15.33,0.3639
120000,天津市,2012,15.99,0.3808
120000,天津市,2011,15.93,0.3796
120000,天津市,2010,17.03,0.3721
120000,天津市,2009,16.82,0.3805
120000,天津市,2008,16.09,0.3807
120000,天津市,2007,15.65,0.352244
120000,天津市,2006,15.485,0.343572
120000,天津市,2005,15.32,0.3349
120000,天津市,2004,15.87,0.3057
120000,天津市,2003,11.25,0.25473
120000,天津市,2002,16.11,0.253158
120000,天津市,2001,15.41,0.280676
120000,天津市,2000,16.61,0.3605
130000,河北省,2019,200.1,5.7344
130000,河北省,2018,217.5628,6.145
130000,河北省,2017,224.5547,7.7623
130000,河北省,2016,218.654,8.1691
130000,河北省,2015,293.1878,8.3328
130000,河北省,2014,291.02,8.6329
130000,河北省,2013,294.05,8.672
130000,河北省,2012,290.91,8.4831
130000,河北省,2011,279.23,8.3006
130000,河北省,2010,298.47,8.4615
130000,河北省,2009,301.8738,8.6486
130000,河北省,2008,329.92,8.5078
130000,河北省,2007,487.0308,8.352
130000,河北省,2006,427.93,8.1215
130000,河北省,2005,458.11,8.0755
130000,河北省,2004,433.77,7.5655
130000,河北省,2003,255.9,7.5216
130000,河北省,2002,216.04,7.4652
130000,河北省,2001,213.56,7.3803
130000,河北省,2000,184.93,7.2839
140000,山西省,2019,26.4,2.5319
140000,山西省,2018,27.602876,2.654267
140000,山西省,2017,28.512816,2.883117
140000,山西省,2016,29.23455,3.05501
140000,山西省,2015,29.849717,3.103491
140000,山西省,2014,30.592613,3.102862
140000,山西省,2013,30.8211,3.0534
140000,山西省,2012,30.7754,2.981
140000,山西省,2011,30.6826,2.8382
140000,山西省,2010,29.2529,2.61068
140000,山西省,2009,29.76,2.531
140000,山西省,2008,29.05,2.3982
140000,山西省,2007,28.01,2.3238
140000,山西省,2006,27.335,2.3015
140000,山西省,2005,26.66,2.2792
140000,山西省,2004,25.95,2.0736
140000,山西省,2003,24.05,1.9521
140000,山西省,2002,23.57,1.8631
140000,山西省,2001,22.73,1.8438
140000,山西省,2000,22.68,1.7516
150000,内蒙古自治区,2019,77.4,2.7278
150000,内蒙古自治区,2018,79.200834,2.958523
150000,内蒙古自治区,2017,73.589581,3.561836
150000,内蒙古自治区,2016,81.004566,3.23390485
150000,内蒙古自治区,2015,80.385746,3.296067
150000,内蒙古自治区,2014,74.411143,3.087539
150000,内蒙古自治区,2013,66.7751,3.1332
150000,内蒙古自治区,2012,64.9594,2.9924
150000,内蒙古自治区,2011,60.5137015,2.4473951
150000,内蒙古自治区,2010,65.2972,2.4302
150000,内蒙古自治区,2009,61.9012,2.2329
150000,内蒙古自治区,2008,55.0787,1.9136
150000,内蒙古自治区,2007,51.26,1.7497
150000,内蒙古自治区,2006,46.685,1.61415
150000,内蒙古自治区,2005,42.11,1.4786
150000,内蒙古自治区,2004,39.03,1.152
150000,内蒙古自治区,2003,34.93,1.0568
150000,内蒙古自治区,2002,28.71,1.065
150000,内蒙古自治区,2001,31.35,0.9819
150000,内蒙古自治区,2000,29.86,0.8905
210000,辽宁省,2019,59.9,5.1074
210000,辽宁省,2018,62.365591,5.506961743
210000,辽宁省,2017,69.3254167,5.74738869
210000,辽宁省,2016,70.7092539,5.62643097
210000,辽宁省,2015,72.4659163,5.98751239
210000,辽宁省,2014,74.51016,6.02940879
210000,辽宁省,2013,73.4619,6.0035
210000,辽宁省,2012,71.945,5.9053
210000,辽宁省,2011,70.36,5.6565
210000,辽宁省,2010,71.9528,6.9375
210000,辽宁省,2009,72.6147,5.4088
210000,辽宁省,2008,63.9213,5.2454
210000,辽宁省,2007,62.74,5.0331
210000,辽宁省,2006,58.5942,4.6858
210000,辽宁省,2005,55.48,4.5751
210000,辽宁省,2004,50.5,4.5586
210000,辽宁省,2003,48.85,4.4506
210000,辽宁省,2002,46.2,4.1118
210000,辽宁省,2001,47.8,3.6083
210000,辽宁省,2000,45.15,3.5635
220000,吉林省,2019,65.7,4.8658
220000,吉林省,2018,67.3398,5.0991
220000,吉林省,2017,67.6037,5.6294
220000,吉林省,2016,67.0406,5.8523
220000,吉林省,2015,66.683,6.2285
220000,吉林省,2014,65.3126,5.9517
220000,吉林省,2013,68.7,5.6853
220000,吉林省,2012,66.77,5.1239
220000,吉林省,2011,63.93,4.5595
220000,吉林省,2010,61.03,4.2784
220000,吉林省,2009,57.74,4.2374
220000,吉林省,2008,53.3051,4.0526
220000,吉林省,2007,50.53,3.7718
220000,吉林省,2006,43.81,3.4451
220000,吉林省,2005,40.47,2.8894
220000,吉林省,2004,40.4,2.5689
220000,吉林省,2003,34.9,2.3571
220000,吉林省,2002,32.35,2.3751
220000,吉林省,2001,33.78,2.4099
220000,吉林省,2000,28.12,1.9679
230000,黑龙江省,2019,137.4,6.4267
230000,黑龙江省,2018,147.42,7.4182
230000,黑龙江省,2017,146.82,8.3218
230000,黑龙江省,2016,145.46,8.2474
230000,黑龙江省,2015,145.02,8.2949
230000,黑龙江省,2014,144.97,8.7381
230000,黑龙江省,2013,140.33,8.4016
230000,黑龙江省,2012,139.22,8.0511
230000,黑龙江省,2011,133.6409,7.7958
230000,黑龙江省,2010,127.86,7.3755
230000,黑龙江省,2009,118.64,6.6843
230000,黑龙江省,2008,110.23,6.2422
230000,黑龙江省,2007,104.63,8.1706
230000,黑龙江省,2006,105.2,5.793
230000,黑龙江省,2005,99.66,4.7478
230000,黑龙江省,2004,92.63,4.7153
230000,黑龙江省,2003,85.4,3.6586
230000,黑龙江省,2002,82.32,3.5417
230000,黑龙江省,2001,81.56,3.0977
230000,黑龙江省,2000,79.87,2.9477
310000,上海市,2019,13.0,0.2771
310000,上海市,2018,13.119,0.317708
310000,上海市,2017,14.4933,0.352278191
310000,上海市,2016,13.6876,0.391284
310000,上海市,2015,13.4179,0.441547
310000,上海市,2014,12.6292,0.466616
310000,上海市,2013,13.0267,0.5019
310000,上海市,2012,12.0356,0.58169
310000,上海市,2011,13.5815,0.6295
310000,上海市,2010,14.83,0.703826
310000,上海市,2009,13.16,0.7289
310000,上海市,2008,13.87,0.8096
310000,上海市,2007,14.51,0.8064
310000,上海市,2006,11.98,0.8252
310000,上海市,2005,11.83,0.8377
310000,上海市,2004,11.85,0.6562
310000,上海市,2003,10.25,0.8544
310000,上海市,2002,11.39,0.9644
310000,上海市,2001,11.29,0.9839
310000,上海市,2000,12.9,1.1043
320000,江苏省,2019,108.9,6.7396
320000,江苏省,2018,109.36,6.96
320000,江苏省,2017,108.9575,7.3167
320000,江苏省,2016,108.71,7.6184
320000,江苏省,2015,108.58,7.81
320000,江苏省,2014,107.45,7.9531
320000,江苏省,2013,106.8,8.1157
320000,江苏省,2012,102.97,8.3675
320000,江苏省,2011,99.96,8.65
320000,江苏省,2010,97.4806,9.0126
320000,江苏省,2009,91.8638,9.2305
320000,江苏省,2008,83.89,9.3837
320000,江苏省,2007,80.63,9.6792
320000,江苏省,2006,81.25,9.8631
320000,江苏省,2005,78.76,10.3254
320000,江苏省,2004,77.51,9.2305
320000,江苏省,2003,76.34,8.7927
320000,江苏省,2002,75.79,8.635
320000,江苏省,2001,75.12,9.1591
320000,江苏省,2000,75.98,9.1489
330000,浙江省,2019,190.5,3.8572
330000,浙江省,2018,198.7963,4.3725
330000,浙江省,2017,201.6045,4.6303
330000,浙江省,2016,203.2477,4.9482
330000,浙江省,2015,203.24,5.6458
330000,浙江省,2014,200.7156,5.8748
330000,浙江省,2013,198.798,6.2198
330000,浙江省,2012,196.2,6.2874
330000,浙江省,2011,195.1,6.3854
330000,浙江省,2010,191.56,6.5075
330000,浙江省,2009,183.28,6.5454
330000,浙江省,2008,184.28,6.5787
330000,浙江省,2007,193.58,6.4932
330000,浙江省,2006,190.23,6.619
330000,浙江省,2005,187.27,6.5649
330000,浙江省,2004,186.16,6.3373
330000,浙江省,2003,175.76,6.1666
330000,浙江省,2002,175.79,6.387
330000,浙江省,2001,175.78,6.6324
330000,浙江省,2000,156.33,6.5259
340000,安徽省,2019,74.7,8.8271
340000,安徽省,2018,75.5,9.4177
340000,安徽省,2017,75.4938,9.9394
340000,安徽省,2016,75.6814,10.5704
340000,安徽省,2015,75.6892,11.1048
340000,安徽省,2014,73.4425,11.3974
340000,安徽省,2013,73.4318,11.7774
340000,安徽省,2012,72.028,11.6741
340000,安徽省,2011,70.4194,11.7475
340000,安徽省,2010,68.1343,11.6645
340000,安徽省,2009,65.78,11.0423
340000,安徽省,2008,63.2,11.1535
340000,安徽省,2007,62.41,9.9142
340000,安徽省,2006,60.21,9.5442
340000,安徽省,2005,55.58,9.4841
340000,安徽省,2004,52.88,8.4608
340000,安徽省,2003,47.38,7.8843
340000,安徽省,2002,46.13,7.4276
340000,安徽省,2001,45.84,7.3011
340000,安徽省,2000,41.62,7.5624
350000,福建省,2019,81.2,4.5477
350000,福建省,2018,82.3673,4.9143
350000,福建省,2017,83.6094,5.2167
350000,福建省,2016,86.3039,5.5387
350000,福建省,2015,86.2335,5.577
350000,福建省,2014,86.2523,5.6391
350000,福建省,2013,85.9817,5.7804
350000,福建省,2012,85.405,5.7845576
350000,福建省,2011,85.0195,5.8276
350000,福建省,2010,83.1741,5.82376
350000,福建省,2009,81.9908,5.7844
350000,福建省,2008,80.996233,5.7505
350000,福建省,2007,78.92,5.6951
350000,福建省,2006,76.555,5.64975
350000,福建省,2005,74.19,5.6044
350000,福建省,2004,80.02,5.3503
350000,福建省,2003,80.55,5.5266
350000,福建省,2002,76.61,5.5313
350000,福建省,2001,56.08,5.2841
350000,福建省,2000,47.95,5.1777
360000,江西省,2019,30.1,6.2701
360000,江西省,2018,30.9307,7.7183
360000,江西省,2017,29.5951,8.7737
360000,江西省,2016,27.8154,9.2188
360000,江西省,2015,28.7621,9.3873
360000,江西省,2014,28.65,9.4764
360000,江西省,2013,29.259,9.9922
360000,江西省,2012,27.62,10.0413
360000,江西省,2011,26.31,9.9537
360000,江西省,2010,24.88,10.653
360000,江西省,2009,25.14,9.7593
360000,江西省,2008,23.83,9.6662
360000,江西省,2007,22.26,8.8833
360000,江西省,2006,24.37,7.5955
360000,江西省,2005,19.85,7.5305
360000,江西省,2004,19.99,6.6273
360000,江西省,2003,17.33,5.347
360000,江西省,2002,16.68,5.7323
360000,江西省,2001,16.49,5.1384
360000,江西省,2000,16.81,6.1479
370000,山东省,2019,137.6,12.0342
370000,山东省,2018,147.4738,12.9882
370000,山东省,2017,157.746,14.067
370000,山东省,2016,162.5078,14.864
370000,山东省,2015,165.8256,15.1004
370000,山东省,2014,168.256,15.635
370000,山东省,2013,174.6392,15.8384
370000,山东省,2012,179.5598,16.1955
370000,山东省,2011,185.2329,16.4812
370000,山东省,2010,186.6278,16.4924
370000,山东省,2009,179.21,16.9043
370000,山东省,2008,182.65,17.3461
370000,山东省,2007,193.77,16.5721
370000,山东省,2006,192.46,17.1324
370000,山东省,2005,187.43,15.5609
370000,山东省,2004,167.62,15.39
370000,山东省,2003,172.19,17.0856
370000,山东省,2002,169.08,16.3739
370000,山东省,2001,161.46,14.5
370000,山东省,2000,157.13,14.0301
410000,河南省,2019,100.1,10.7231
410000,河南省,2018,103.9226,11.3603
410000,河南省,2017,108.84,12.0713
410000,河南省,2016,112.44,12.7107
410000,河南省,2015,114.7,12.8748
410000,河南省,2014,115.95,12.9866
410000,河南省,2013,113.43,13.0058
410000,河南省,2012,112.25,12.8289
410000,河南省,2011,111.07,12.8747
410000,河南省,2010,107.92,12.4867
410000,河南省,2009,104.17,12.1409
410000,河南省,2008,99.2365,11.9128
410000,河南省,2007,96.42,11.7992
410000,河南省,2006,93.04,11.1602
410000,河南省,2005,89.79,10.5056
410000,河南省,2004,86.86,10.115
410000,河南省,2003,84.58,9.8679
410000,河南省,2002,85.07,10.1981
410000,河南省,2001,83.51,9.8463
