省份编码,省份,年份,农村居民人均粮食出售量(公斤),农村居民人均棉花出售量(公斤),农村居民人均油料出售量(公斤),农村居民人均麻类出售量(公斤),农村居民人均烟叶出售量(公斤),农村居民人均蔬菜出售量(公斤),农村居民人均水果出售量(公斤)
110000,北京市,2019,,,,,,,
110000,北京市,2018,,,,,,,
110000,北京市,2017,,,,,,,
110000,北京市,2016,,,,,,,
110000,北京市,2015,,,,,,,
110000,北京市,2014,,,,,,,
110000,北京市,2013,,,,,,,
110000,北京市,2012,141.127626356874,,0.248145714511,,,97.7786316923805,76.4597366415223
110000,北京市,2011,149.456392723856,,0.47,,,114.06,99.84
110000,北京市,2010,129.510028412508,,0.29,,,80.41,56.89
110000,北京市,2009,148.55,,1.04,,,98.31,95.32
110000,北京市,2008,148.04,,0.81,,,141.39,91.08
110000,北京市,2007,182.093575638507,,0.84,,,131.62,95.99
110000,北京市,2006,143.432709728089,0.295785742418275,0.918865695155573,0,0,151.579342337658,120.4
110000,北京市,2005,155.26,0.56163107270176,1.05126213592233,,0.058252427184466,195.666737712379,103.217669902913
110000,北京市,2004,108.851357565821,1.62916989914663,1.71002715756673,,,126.599262861987,277.485279210507
110000,北京市,2003,152.4,0.71,2.55,,,132.53,217.86
110000,北京市,2002,208.07,0.32,1.85,,0.05,171.23,243.29
110000,北京市,2001,153.532703213611,0.068052930056711,1.05557655954631,,0.077882797731569,188.984877126654,181.410964083176
110000,北京市,2000,160.885412740294,,1.16622691292876,,0.057293629852997,146.295514511873,208.058424425179
120000,天津市,2019,,,,,,,
120000,天津市,2018,,,,,,,
120000,天津市,2017,,,,,,,
120000,天津市,2016,,,,,,,
120000,天津市,2015,,,,,,,
120000,天津市,2014,,,,,,,
120000,天津市,2013,,,,,,,
120000,天津市,2012,341.613258943224,77.7968931189151,2.15140575429385,,,250.694278525326,59.6987638113994
120000,天津市,2011,291.039973787681,97.96,2.18,,,272.28,60.47
120000,天津市,2010,309.606218905473,60.85,0.06,,,265.09,39.56
120000,天津市,2009,311.47,82.18,0.61,,,261.33,46.46
120000,天津市,2008,199.42,105.73,0.08,,,272.44,63.06
120000,天津市,2007,199.77156055529,105.56,,,,278.99,32.83
120000,天津市,2006,223.483685220729,89.0789347408829,0.331094049904031,0,0,287.960340737839,56.17
120000,天津市,2005,184.21,100.333944502715,0.146168310652331,0,,264.843112000401,33.0611189468735
120000,天津市,2004,263.555060923449,87.1898312912774,1.60098406747891,,,545.592080599813,18.8406747891284
120000,天津市,2003,225.38,90.37,3.66,,,527.56,17.59
120000,天津市,2002,235.65,19.52,3.68,,,556.01,12.88
120000,天津市,2001,171.9103541013,17.9394890183774,4.17615419094576,0.268937696100403,,485.735992828328,13.1600179291797
120000,天津市,2000,192.504183179216,12.1999119330691,1.77498899163364,,,501.479524438573,37.9643328929987
130000,河北省,2019,,,,,,,
130000,河北省,2018,,,,,,,
130000,河北省,2017,,,,,,,
130000,河北省,2016,,,,,,,
130000,河北省,2015,,,,,,,
130000,河北省,2014,,,,,,,
130000,河北省,2013,,,,,,,
130000,河北省,2012,604.386508221275,39.0684800105338,3.92495021149826,,,237.619584245437,110.310917918923
130000,河北省,2011,535.841079132017,31.13,4.89,,,249.63,107.48
130000,河北省,2010,395.647366555817,34.15,6.5,,,273.56,82.76
