省份编码,省份,年份,水产品养殖面积(千公顷),内陆养殖面积(千公顷),海水养殖面积(千公顷),浅海养殖面积(千公顷),滩涂养殖面积(千公顷),陆基养殖面积(千公顷),池塘养殖面积(千公顷),湖泊养殖面积(千公顷),河沟养殖面积(千公顷),水库养殖面积(千公顷),其他养殖面积(千公顷)
110000,北京市,2019,2.2,2.2,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,,
110000,北京市,2016,3.5,3.5,,,,,,,,,
110000,北京市,2015,3.6,3.6,,,,,,,,,
110000,北京市,2014,3.9,3.9,,,,,,,,,
110000,北京市,2013,4.2,4.2,,,,,,,,,
110000,北京市,2012,4.364,4.364,,,,,,,,,
110000,北京市,2011,4.86,4.86,,,,,,,,,
110000,北京市,2010,5.003,5.003,,,,,,,,,
110000,北京市,2009,5.077,5.077,,,,,,,,,
110000,北京市,2008,4.785,4.785,,,,,4.4,0.1,,0.2,0.1
110000,北京市,2007,5.21289462696783,5.21,,,,,3.9,0.1,,0.9,0.3
110000,北京市,2006,5.32,5.32,,,,,5.5,,,13.9,0.1
110000,北京市,2005,19.67,19.67,,,,,5.5,,,14.1,0.1
110000,北京市,2004,20.05,20.05,,,,,5.9,,,14.1,0.1
110000,北京市,2003,20.933,20.933,,,,,6.8,,,14.0,0.1
110000,北京市,2002,22.43,22.43,,,,,7.2,,,15.1,0.1
110000,北京市,2001,22.16,22.16,,,,,7.1,,,15.0,0.1
110000,北京市,2000,22.7,22.7,,,,,7.7,,,15.0,
120000,天津市,2019,23.9,23.1,0.8,,,,,,,,
120000,天津市,2018,,,,,,,,,,,
120000,天津市,2017,,,,,,,,,,,
120000,天津市,2016,38.4,35.2,3.2,,,,,,,,
120000,天津市,2015,39.9,36.7,3.2,,,,,,,,
120000,天津市,2014,40.6,37.4,3.2,,,,,,,,
120000,天津市,2013,40.5,37.3,3.2,,,,,,,,
120000,天津市,2012,41.342,37.35,3.992,,,,,,,,
120000,天津市,2011,40.426,36.316,4.11,,,,,,,,
120000,天津市,2010,41.547,37.565,3.982,,,,,,,,
120000,天津市,2009,41.894,37.59,4.304,,,,,,,,
120000,天津市,2008,40.811,36.442,4.369,,,,29.8,2.0,0.5,4.1,
120000,天津市,2007,36.7630474291046,29.92,6.84,,,6.8,24.0,1.4,0.4,4.2,
120000,天津市,2006,38.329,30.599,7.73,,,5.5,30.0,1.5,0.5,5.8,
120000,天津市,2005,41.73,36.92,4.81,,4.8,,28.7,1.2,0.5,6.5,
120000,天津市,2004,40.3888666666667,35.028,5.36086666666667,,5.4,,26.1,2.2,0.5,6.2,
120000,天津市,2003,38.338,33.251,5.087,,,5.1,25.4,2.2,0.5,5.1,
120000,天津市,2002,38.21,32.39,5.82,,5.8,,25.4,2.3,0.4,4.2,
120000,天津市,2001,36.73,32.34,4.39,,4.4,,23.4,2.9,0.4,4.7,1.0
120000,天津市,2000,36.36,31.9,4.4,,4.4,,23.2,3.6,0.6,4.5,
130000,河北省,2019,143.0,36.0,107.0,,,,,,,,
130000,河北省,2018,,,,,,,,,,,
130000,河北省,2017,,,,,,,,,,,
130000,河北省,2016,190.5,75.1,115.4,,,,,,,,
130000,河北省,2015,194.0,76.4,117.5,,,,,,,,
130000,河北省,2014,201.0,78.6,122.4,,,,,,,,
130000,河北省,2013,197.3,79.4,117.9,,,,,,,,
130000,河北省,2012,212.072,77.39,134.682,,,,,,,,
130000,河北省,2011,210.098,75.834,134.264,,,,,,,,
130000,河北省,2010,198.765,74.955,123.81,,,,,,,,
130000,河北省,2009,192.908,71.895,121.013,,,,,,,,
130000,河北省,2008,182.119,72.364,109.755,52.6,38.2,,28.5,5.0,1.1,36.9,0.8
130000,河北省,2007,120.094396357471,27.125,92.96,45.4,26.9,20.7,17.3,1.3,1.5,6.6,0.4
130000,河北省,2006,112.416,26.974,85.442,38.8,32.7,30.8,32.6,6.5,1.3,44.9,1.6
130000,河北省,2005,165.07,74.66,90.41,31.3,21.2,37.9,33.3,5.0,1.2,34.2,0.9
130000,河北省,2004,158.03,76.29,81.73,23.7,23.2,34.8,31.1,6.1,1.3,35.0,2.8
130000,河北省,2003,155.978,78.39,77.588,20.4,49.2,8.0,30.5,9.7,1.2,36.3,0.7
130000,河北省,2002,158.18,82.88,75.3,18.3,55.3,1.7,33.6,9.4,1.4,37.5,1.0
130000,河北省,2001,155.34,80.57,74.77,19.2,53.9,1.7,31.9,8.5,1.8,36.6,1.8
130000,河北省,2000,154.81,84.9,70.0,17.0,49.4,3.6,29.8,14.0,2.3,37.8,1.0
140000,山西省,2019,12.4,12.4,,,,,,,,,
140000,山西省,2018,,,,,,,,,,,
140000,山西省,2017,,,,,,,,,,,
140000,山西省,2016,15.9,15.9,,,,,,,,,
140000,山西省,2015,15.7,15.7,,,,,,,,,
140000,山西省,2014,15.8,15.8,,,,,,,,,
140000,山西省,2013,15.5,15.5,,,,,,,,,
140000,山西省,2012,15.046,15.046,,,,,,,,,
140000,山西省,2011,16.233,16.233,,,,,,,,,
140000,山西省,2010,14.84,14.84,,,,,,,,,
140000,山西省,2009,14.361,14.361,,,,,,,,,
140000,山西省,2008,14.266,14.266,,,,,1.7,2.2,0.1,10.2,0.2
140000,山西省,2007,8.31318544295867,8.313,,,,,0.8,0.5,0.1,6.7,0.2
140000,山西省,2006,7.855,7.855,,,,,3.2,1.3,0.3,13.6,0.2
140000,山西省,2005,18.32,18.32,,,,,3.3,1.3,0.4,13.3,0.1
140000,山西省,2004,18.13,18.13,,,,,3.3,1.2,0.4,13.2,0.2
140000,山西省,2003,17.3,17.3,,,,,3.3,0.8,0.3,12.7,0.2
140000,山西省,2002,17.42,17.42,,,,,3.4,0.9,0.3,12.7,0.2
140000,山西省,2001,17.07,17.07,,,,,3.4,0.9,0.3,12.5,
140000,山西省,2000,17.32,17.3,,,,,3.5,0.8,0.3,12.8,
150000,内蒙古自治区,2019,129.2,129.2,,,,,,,,,
150000,内蒙古自治区,2018,,,,,,,,,,,
150000,内蒙古自治区,2017,,,,,,,,,,,
150000,内蒙古自治区,2016,115.6,115.6,,,,,,,,,
150000,内蒙古自治区,2015,119.6,119.6,,,,,,,,,
150000,内蒙古自治区,2014,118.6,118.6,,,,,,,,,
150000,内蒙古自治区,2013,115.8,115.8,,,,,,,,,
150000,内蒙古自治区,2012,116.949,116.949,,,,,,,,,
150000,内蒙古自治区,2011,111.594,111.594,,,,,,,,,
150000,内蒙古自治区,2010,108.555,108.555,,,,,,,,,
150000,内蒙古自治区,2009,105.944,105.944,,,,,,,,,
150000,内蒙古自治区,2008,100.188,100.188,,,,,14.7,43.9,2.7,38.9,
150000,内蒙古自治区,2007,94.2255737544975,94.228,,,,,16.1,43.6,3.5,31.0,
150000,内蒙古自治区,2006,89.078,89.078,,,,,8.6,63.0,2.4,54.3,0.1
150000,内蒙古自治区,2005,120.22,120.22,,,,,8.4,61.7,1.2,48.9,
150000,内蒙古自治区,2004,110.79,110.79,,,,,8.1,56.9,1.3,43.2,1.4
150000,内蒙古自治区,2003,108.236,108.236,,,,,8.5,54.9,1.7,41.8,1.4
150000,内蒙古自治区,2002,96.3,96.3,,,,,8.7,48.8,0.6,36.8,1.4
150000,内蒙古自治区,2001,108.95,108.95,,,,,8.5,57.4,2.5,40.1,0.6
150000,内蒙古自治区,2000,125.79,125.8,,,,,8.0,65.4,2.0,50.3,0.1
