省份编码,省份,年份,劳均粮食产量(公斤/人),劳均棉花产量(公斤/人),劳均油料产量(公斤/人),劳均糖料产量(公斤/人),劳均水果产量(公斤/人),劳均园林水果产量(公斤/人),劳均瓜果类产量(公斤/人),劳均蔬菜产量(公斤/人)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,,,,,,,,
110000,北京市,2016,,,,,,,,
110000,北京市,2015,,,,,,,,
110000,北京市,2014,,,,,,,,
110000,北京市,2013,,,,,,,,
110000,北京市,2012,1989.56649471015,0.475124595610737,23.4407624377022,,1986.6160706479,1391.68610649646,594.929964151438,4894.67430270176
110000,北京市,2011,2060.92916984006,0.871625624100872,23.5626639587036,,2045.67656765677,1405.90843699755,639.76813065922,5024.45798425997
110000,北京市,2010,1912.23521418836,0.760397820303118,25.6683855514496,,1903.80636965418,1338.81921789778,564.987151756395,5008.41314066616
110000,北京市,2009,2033.75243379547,1.25021088139867,29.5617008409991,,1958.19405652681,1393.68716854945,564.506887977356,5168.92109408937
110000,北京市,2008,2033.89116047717,2.20007198466921,35.1865602677051,,1926.04385876738,1379.54241096761,546.501447799766,5209.35379167896
110000,北京市,2007,1605.00544069641,3.1291866630605,34.3817419034261,,1963.85144697365,1358.62429003629,605.22715693736,5347.97970903281
110000,北京市,2006,1757.40502253703,3.60431423052157,34.8615582743078,,1825.14971023825,1200.3203477141,624.829362524147,5492.59175788796
110000,北京市,2005,1629.9793956044,3.55254120879121,42.7936126373626,,1921.00274725275,1306.98489010989,614.017857142857,7278.37912087912
110000,北京市,2004,1195.26526441284,13.2300093672826,49.2991569445627,,1930.60887337137,1267.25538618752,663.353487183854,8330.96312696926
110000,北京市,2003,938.692979618246,5.52248463280492,53.3047557424782,,1846.66612746684,1134.32546101585,712.340666450987,8530.27660951148
110000,北京市,2002,1247.15866040309,5.29928777087438,70.397029853008,,,,,
110000,北京市,2001,1525.04179690339,4.99091371665334,62.0425964963291,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,,,,,,,,
120000,天津市,2016,,,,,,,,
120000,天津市,2015,,,,,,,,
120000,天津市,2014,,,,,,,,
120000,天津市,2013,,,,,,,,
120000,天津市,2012,2223.50515463918,79.1298969072165,7.76082474226804,,799.840549828179,420.927835051546,378.912714776632,6153.97388316151
120000,天津市,2011,2201.31945861389,98.3132694008026,9.01992790586955,,852.075086716997,448.164320206761,403.910766510236,5866.76868666259
120000,天津市,2010,2136.27549314611,83.8649281176864,8.60849214309595,,802.96890672016,418.205282514209,384.763624205951,5607.64694082247
120000,天津市,2009,2056.71798920911,93.2556915383603,7.12198973549151,,882.348993288591,418.464271614686,463.884721673904,4919.73154362416
120000,天津市,2008,1943.49471486363,108.218713297664,6.26386532689547,,812.96881117056,384.568706772804,428.400104397756,4099.66331723868
120000,天津市,2007,1895.71322747915,119.939450545911,5.96476537086541,,797.620664111566,389.079326226287,408.541337885278,3534.72640020613
120000,天津市,2006,1798.30814561354,120.39413237018,6.33653328264107,,848.625289104331,380.240154611412,468.385134492919,3491.4830656148
120000,天津市,2005,1717.78374664251,104.373789743269,16.1696545693048,,852.541695296396,347.150977575114,505.390717721282,6780.46223999001
