省份编码,省份,年份,农林牧渔业增加值(亿元),农业增加值(亿元),林业增加值(亿元),牧业增加值(亿元),渔业增加值(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,122.82,,,,
110000,北京市,2016,132.0,66,25,35.4,3.3
110000,北京市,2015,142.6,70.3,26.5,38.9,4.4
110000,北京市,2014,161.3,70.9,39.8,43.7,4.6
110000,北京市,2013,161.8,77.9,33,44.3,4.5
110000,北京市,2012,150.2,76,23.5,44.1,4.5
110000,北京市,2011,136.27035,75.19454,8.10666,47.02035,4.0348
110000,北京市,2010,124.50578,71.55174,7.18633,40.02795,4.02876
110000,北京市,2009,118.3,64.3,10,38.9,3.6
110000,北京市,2008,113.0,59,9,40.0,3.0
110000,北京市,2007,101.0,53,8,35.0,3.0
110000,北京市,2006,91.9295739305264,49.2669257919106,6.7082,29.9333091436558,3.85753005288
110000,北京市,2005,108.6,51.4,6.9,43.6,3.8
110000,北京市,2004,105.9,48.1,6.4,44.9,4.0
110000,北京市,2003,98.3,44.2,6.7,40.3,4.4
110000,北京市,2002,98.0,46.7,6.7,40.0,4.6
110000,北京市,2001,93.1,48.7,4.3,36.0,4.1
110000,北京市,2000,90.0,50.3,3.1,33.4,3.1
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,174.0,,,,
120000,天津市,2016,222.0,121,5,54.0,40.2
120000,天津市,2015,210.5,116.1,4.6,50.0,38.1
120000,天津市,2014,201.5,111.4,1.9,48.9,37.7
120000,天津市,2013,188.5,105.1,1.8,45.3,34.8
120000,天津市,2012,171.6,95.1,1.6,44.0,29.4
120000,天津市,2011,159.7288,87.4216,1.4505,41.365,27.951
120000,天津市,2010,145.579258759803,81.8958445883493,1.39222408128437,36.8230598147347,24.090130275435
120000,天津市,2009,128.9,68.6,1.3,34.8,22.9
120000,天津市,2008,123.0,63,1,36.0,21.0
120000,天津市,2007,110.0,58,1,32.0,17.0
120000,天津市,2006,103.342701859103,54.449905050454,1.2308,29.6141963936873,17.0869776
120000,天津市,2005,112.4,48.1,1.1,43.0,17.5
120000,天津市,2004,104.9,47.1,0.9,38.9,15.4
120000,天津市,2003,92.6,43.6,0.9,32.4,12.8
120000,天津市,2002,84.0,43.4,0.9,28.0,11.7
120000,天津市,2001,78.6,43.2,0.9,24.6,9.9
120000,天津市,2000,73.5,41.7,0.9,21.3,9.7
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,3297.76,,,,
130000,河北省,2016,3644.8,2359.8,93.1,915.2,124.7
130000,河北省,2015,3578.7,2337.5,86.2,898.1,117.6
130000,河北省,2014,3576.5,2335.4,77.4,921.8,112.9
130000,河北省,2013,3500.4,2348.8,68.9,858.6,105.6
130000,河北省,2012,3186.7,2093.2,55.7,825.3,105.1
130000,河北省,2011,2905.73663821442,1876.80801222303,42.0696166063971,790.509567427954,96.6870419570381
130000,河北省,2010,2562.81419208855,1670.46146281989,36.6848967696733,681.74176947021,84.2128630287725
130000,河北省,2009,2207.3,1338.5,55.3,661.8,66.2
130000,河北省,2008,2035.0,1187,43,666.0,61.0
130000,河北省,2007,1805.0,1105,40,542.0,50.0
130000,河北省,2006,1456.57252822193,945.475315754739,33.7307,375.920013277191,41.44649919
