省份编码,省份,年份,实有茶园面积(千公顷),本年采摘茶园面积(千公顷)
110000,北京市,2019,,
110000,北京市,2018,,0
110000,北京市,2017,,0
110000,北京市,2016,,0
110000,北京市,2015,,0
110000,北京市,2014,,0
110000,北京市,2013,,0
110000,北京市,2012,,0
110000,北京市,2011,,0
110000,北京市,2010,,0
110000,北京市,2009,,0
110000,北京市,2008,,0
110000,北京市,2007,,0
110000,北京市,2006,,
110000,北京市,2005,,
110000,北京市,2004,,
110000,北京市,2003,,
110000,北京市,2002,,
110000,北京市,2001,,
110000,北京市,2000,,
120000,天津市,2019,,
120000,天津市,2018,,
120000,天津市,2017,,0
120000,天津市,2016,,0
120000,天津市,2015,,0
120000,天津市,2014,,0
120000,天津市,2013,,0
120000,天津市,2012,,0
120000,天津市,2011,,0
120000,天津市,2010,,0
120000,天津市,2009,,0
120000,天津市,2008,,0
120000,天津市,2007,,0
120000,天津市,2006,,
120000,天津市,2005,,
120000,天津市,2004,,
120000,天津市,2003,,
120000,天津市,2002,,
120000,天津市,2001,,
120000,天津市,2000,,
130000,河北省,2019,,
130000,河北省,2018,0.00233,0.00233
130000,河北省,2017,0.042,0.042
130000,河北省,2016,0.042,0.042
130000,河北省,2015,,0
130000,河北省,2014,,0
130000,河北省,2013,,0
130000,河北省,2012,,0
130000,河北省,2011,,0
130000,河北省,2010,,0
130000,河北省,2009,,0
130000,河北省,2008,,0
130000,河北省,2007,,0
130000,河北省,2006,,
130000,河北省,2005,,
130000,河北省,2004,,
130000,河北省,2003,,
130000,河北省,2002,,
130000,河北省,2001,,
130000,河北省,2000,,
140000,山西省,2019,0.2,0.2
140000,山西省,2018,0.1335,0.1335
140000,山西省,2017,0.1528,0.1528
140000,山西省,2016,0.1528,0.1528
140000,山西省,2015,0.0498,0.0498
140000,山西省,2014,0.0465,0.0465
140000,山西省,2013,0.0459,0.0459
140000,山西省,2012,0.0509,0.0509
140000,山西省,2011,0.0446,0.0446
140000,山西省,2010,0.026,0.026
140000,山西省,2009,0.0213,0.0213
140000,山西省,2008,,0
140000,山西省,2007,,0
140000,山西省,2006,,
140000,山西省,2005,,
140000,山西省,2004,,
140000,山西省,2003,,
140000,山西省,2002,,
140000,山西省,2001,,
140000,山西省,2000,,
150000,内蒙古自治区,2019,,
150000,内蒙古自治区,2018,,
150000,内蒙古自治区,2017,,0
150000,内蒙古自治区,2016,,0
150000,内蒙古自治区,2015,,0
150000,内蒙古自治区,2014,,0
150000,内蒙古自治区,2013,,0
150000,内蒙古自治区,2012,,0
150000,内蒙古自治区,2011,,0
150000,内蒙古自治区,2010,,0
150000,内蒙古自治区,2009,,0
150000,内蒙古自治区,2008,,0
150000,内蒙古自治区,2007,,0
150000,内蒙古自治区,2006,,
150000,内蒙古自治区,2005,,
150000,内蒙古自治区,2004,,
150000,内蒙古自治区,2003,,
150000,内蒙古自治区,2002,,
150000,内蒙古自治区,2001,,
150000,内蒙古自治区,2000,,
210000,辽宁省,2019,,
210000,辽宁省,2018,,
210000,辽宁省,2017,,0
210000,辽宁省,2016,,0
210000,辽宁省,2015,,0
210000,辽宁省,2014,,0
210000,辽宁省,2013,,0
210000,辽宁省,2012,,0
210000,辽宁省,2011,,0
210000,辽宁省,2010,,0
210000,辽宁省,2009,,0
210000,辽宁省,2008,,0
210000,辽宁省,2007,,0
210000,辽宁省,2006,,
210000,辽宁省,2005,,
210000,辽宁省,2004,,
210000,辽宁省,2003,,
210000,辽宁省,2002,,
210000,辽宁省,2001,,
210000,辽宁省,2000,,
220000,吉林省,2019,,
220000,吉林省,2018,,
220000,吉林省,2017,,0
220000,吉林省,2016,,0
220000,吉林省,2015,,0
220000,吉林省,2014,,0
220000,吉林省,2013,,0
220000,吉林省,2012,,0
220000,吉林省,2011,,0
220000,吉林省,2010,,0
220000,吉林省,2009,,0
220000,吉林省,2008,,0
220000,吉林省,2007,,0
220000,吉林省,2006,,
220000,吉林省,2005,,
220000,吉林省,2004,,
220000,吉林省,2003,,
220000,吉林省,2002,,
220000,吉林省,2001,,
220000,吉林省,2000,,
230000,黑龙江省,2019,,
230000,黑龙江省,2018,,0
230000,黑龙江省,2017,,0
230000,黑龙江省,2016,,0
230000,黑龙江省,2015,,0
230000,黑龙江省,2014,,0
230000,黑龙江省,2013,,0
230000,黑龙江省,2012,,0
230000,黑龙江省,2011,,0
230000,黑龙江省,2010,,0
230000,黑龙江省,2009,,0
230000,黑龙江省,2008,,0
230000,黑龙江省,2007,,0
230000,黑龙江省,2006,,
230000,黑龙江省,2005,,
230000,黑龙江省,2004,,
230000,黑龙江省,2003,,
230000,黑龙江省,2002,,
230000,黑龙江省,2001,,
230000,黑龙江省,2000,,
310000,上海市,2019,0.1,0.1
310000,上海市,2018,0.11387,0.11053
310000,上海市,2017,,0
310000,上海市,2016,,0
310000,上海市,2015,,0
310000,上海市,2014,,0
310000,上海市,2013,,0
310000,上海市,2012,,0
310000,上海市,2011,,0
310000,上海市,2010,,0
310000,上海市,2009,,0
310000,上海市,2008,,0
310000,上海市,2007,,0
310000,上海市,2006,0.0,0
310000,上海市,2005,,
310000,上海市,2004,,
310000,上海市,2003,,
310000,上海市,2002,,
310000,上海市,2001,,
310000,上海市,2000,,
320000,江苏省,2019,33.8,30.3
320000,江苏省,2018,33.735,31.327
320000,江苏省,2017,33.71,30.46
320000,江苏省,2016,33.780805,30.56790667
320000,江苏省,2015,33.77,30.3
320000,江苏省,2014,34.28,28.47
320000,江苏省,2013,33.98,28.42
320000,江苏省,2012,34.04,28.82
320000,江苏省,2011,32.25,26.68
320000,江苏省,2010,32.36,27.6
320000,江苏省,2009,31.363,25.6558
320000,江苏省,2008,30.0776066666667,25.37588
320000,江苏省,2007,28.63186,24.3916
320000,江苏省,2006,26.82,21.27
320000,江苏省,2005,23.85,19.5
320000,江苏省,2004,23.56,19.92
320000,江苏省,2003,22.72,17.42
320000,江苏省,2002,21.01,15.6
320000,江苏省,2001,20.69,15.58
320000,江苏省,2000,19.93,15.47
330000,浙江省,2019,201.4,182.7
330000,浙江省,2018,200.504,180.581
330000,浙江省,2017,198.526666666667,180.32
330000,浙江省,2016,196.98,179.353333333333
330000,浙江省,2015,194.54,177.913333333333
330000,浙江省,2014,195.626666666667,175.286666666667
330000,浙江省,2013,184.033333333333,167.853333333333
330000,浙江省,2012,183.033333333333,164.56
330000,浙江省,2011,181.96,164.393333333333
330000,浙江省,2010,177.933333333333,159.893333333333
330000,浙江省,2009,175.926666666667,158.3
330000,浙江省,2008,174.093333333333,154.26
330000,浙江省,2007,168.92,147.04
330000,浙江省,2006,158.67,136.8
330000,浙江省,2005,154.65,133.57
330000,浙江省,2004,147.92,126.42
330000,浙江省,2003,142.82,124.06
330000,浙江省,2002,134.83,119.65
330000,浙江省,2001,130.97,116.01
330000,浙江省,2000,128.86,111.82
340000,安徽省,2019,187.1,165.6
340000,安徽省,2018,176.319,151.47
340000,安徽省,2017,165.438822370068,145.026931226632
340000,安徽省,2016,160.824733333333,136.732055398979
340000,安徽省,2015,167.9,143.692
340000,安徽省,2014,166.562,144.602
340000,安徽省,2013,155.318,135.026
340000,安徽省,2012,149.692,131.048
340000,安徽省,2011,137.997,122.258
340000,安徽省,2010,133.529,119.621
340000,安徽省,2009,128.826,112.672
340000,安徽省,2008,128.927,114.41
340000,安徽省,2007,135.725,114.901
340000,安徽省,2006,119.55,106.83
340000,安徽省,2005,117.61,105.37
340000,安徽省,2004,113.32,103.21
340000,安徽省,2003,113.11,100.92
340000,安徽省,2002,110.14,99
340000,安徽省,2001,111.87,99.28
340000,安徽省,2000,108.37,93.38
350000,福建省,2019,219.8,203.3
350000,福建省,2018,210.892066666667,199.218666666667
350000,福建省,2017,207.113722565568,193.426697966301
350000,福建省,2016,204.432726,190.319195241867
350000,福建省,2015,207.695102703019,188.379612993108
350000,福建省,2014,205.935458386955,183.332830234174
350000,福建省,2013,201.026818009017,178.049228822959
350000,福建省,2012,195.648528480465,172.743448962985
350000,福建省,2011,190.607118342508,167.756371541321
350000,福建省,2010,185.244747291495,164.208771928115
350000,福建省,2009,183.135392593015,162.970643080523
350000,福建省,2008,181.424332146264,161.148269806413
350000,福建省,2007,166.293915883293,147.604532220114
350000,福建省,2006,159.82,139.87
350000,福建省,2005,155.23,132.6
350000,福建省,2004,145.06,123.3
350000,福建省,2003,138.58,121.17
350000,福建省,2002,133.353133333333,112.964266666667
350000,福建省,2001,130.649466666667,110.5352
350000,福建省,2000,129.214733333333,110.201533333333
360000,江西省,2019,109.1,85.2
360000,江西省,2018,103.548,79.184
360000,江西省,2017,104.373,73.344
360000,江西省,2016,93.282,67.834
360000,江西省,2015,85.059,63.823
360000,江西省,2014,78.096,59.12
360000,江西省,2013,72.591,55.015
360000,江西省,2012,65.492,49.927
360000,江西省,2011,58.99,45.3
360000,江西省,2010,56.77,43.16
360000,江西省,2009,50.82,40.27
360000,江西省,2008,44.2,35.71
360000,江西省,2007,43.87,36.33
360000,江西省,2006,39.296,32.048
360000,江西省,2005,38.15,31.06
360000,江西省,2004,34.34,25.39
360000,江西省,2003,33.95,26.91
360000,江西省,2002,35.67,27.97
360000,江西省,2001,39.42,32.13
360000,江西省,2000,50.05,40.69
370000,山东省,2019,25.1,18.2
370000,山东省,2018,23.144,17.763
370000,山东省,2017,20.6731022648975,16.1687345120468
370000,山东省,2016,21.40223,15.5072666666667
370000,山东省,2015,21.0134666666667,15.3605333333333
370000,山东省,2014,19.6242,14.2121333333333
370000,山东省,2013,18.8256666666667,13.5122
370000,山东省,2012,17.8342,12.7036666666667
370000,山东省,2011,17.2812666666667,11.9781333333333
370000,山东省,2010,16.3042,11.3946666666667
370000,山东省,2009,15.5566666666667,10.9642666666667
370000,山东省,2008,15.7329333333333,10.9477333333333
370000,山东省,2007,15.2106,10.8542
370000,山东省,2006,15.74,10.31
370000,山东省,2005,14.51,9.67
370000,山东省,2004,13.26,7.86
370000,山东省,2003,11.83,6.42
370000,山东省,2002,11.4,5.6
370000,山东省,2001,10.1,4.81
370000,山东省,2000,8.8,3.59
410000,河南省,2019,114.6,94.9
410000,河南省,2018,115.671,97.873
410000,河南省,2017,115.76393,97.5604
410000,河南省,2016,118.28708,99.33
410000,河南省,2015,114.0,93.04
410000,河南省,2014,105.47,88.49
410000,河南省,2013,97.69,78.98
410000,河南省,2012,87.63,73.52
410000,河南省,2011,78.52,71.9
410000,河南省,2010,65.15,59.906
410000,河南省,2009,59.8,59.797
410000,河南省,2008,55.07,44.24
410000,河南省,2007,47.08,36.92
410000,河南省,2006,34.95,30.25
410000,河南省,2005,33.09,28.19
410000,河南省,2004,26.4,22.01
410000,河南省,2003,24.56,19.41
410000,河南省,2002,22.65,18.89
410000,河南省,2001,20.98,17.77
410000,河南省,2000,20.68,17.23
420000,湖北省,2019,347.7,264.8
420000,湖北省,2018,321.495,232.675
420000,湖北省,2017,283.307551481058,202.897699762495
420000,湖北省,2016,267.529894666667,193.318176324415
420000,湖北省,2015,261.502106508674,188.017232962845
420000,湖北省,2014,251.031786459651,182.105091612494
420000,湖北省,2013,246.907182212941,174.842127006792
420000,湖北省,2012,225.446208011025,164.947406064358
420000,湖北省,2011,215.665630487151,155.71864265114
420000,湖北省,2010,195.081578134885,142.208666040243
420000,湖北省,2009,192.157341143942,139.144320855519
420000,湖北省,2008,175.781054225488,127.946933279827
420000,湖北省,2007,157.526826595842,119.287127458594
420000,湖北省,2006,146.442,107.118
420000,湖北省,2005,138.43,101.62
420000,湖北省,2004,126.25,91.7
420000,湖北省,2003,119.38,90.3
420000,湖北省,2002,115.16,86.33
420000,湖北省,2001,155.61,86.87
420000,湖北省,2000,121.02,90.27
430000,湖南省,2019,174.9,131.3
430000,湖南省,2018,164.9872,122.341666666667
430000,湖南省,2017,155.816468866629,114.093345313604
430000,湖南省,2016,143.457732771436,106.701170621198
430000,湖南省,2015,135.226008650126,100.204367003746
430000,湖南省,2014,130.971888884459,95.7744378749858
430000,湖南省,2013,118.247346042558,88.9694848771867
430000,湖南省,2012,111.034937188827,85.0473083614032
430000,湖南省,2011,104.184810016701,81.8841390827395
430000,湖南省,2010,98.2712680253142,78.5209890482864
430000,湖南省,2009,91.2446637455574,74.7777550795998
430000,湖南省,2008,86.5292336882579,70.4917729214103
430000,湖南省,2007,86.4398033231729,69.6541271929091
430000,湖南省,2006,79.9,65.36
430000,湖南省,2005,80.08,66.96
430000,湖南省,2004,77.43,64.88
430000,湖南省,2003,74.04,61.4
430000,湖南省,2002,72.37,61.28
430000,湖南省,2001,74.12,63.56
430000,湖南省,2000,74.05,62.1
440000,广东省,2019,72.2,57.8
440000,广东省,2018,63.3874,50.70992
440000,广东省,2017,58.41755133838,46.7333333333333
440000,广东省,2016,56.4009186666667,44.6933333333333
440000,广东省,2015,52.047355493092,41.6378843944736
440000,广东省,2014,50.8836036216434,40.7068828973147
440000,广东省,2013,46.3392825241259,37.0714260193007
440000,广东省,2012,43.5251044654016,34.8200835723213
440000,广东省,2011,42.4808815829578,33.9847052663662
440000,广东省,2010,41.8385402985124,33.4708322388099
440000,广东省,2009,38.4324538812153,30.7459631049722
440000,广东省,2008,37.3388083919234,29.8710467135387
440000,广东省,2007,37.5021075947302,30.0016860757842
440000,广东省,2006,40.1629333333333,32.1303466666667
440000,广东省,2005,36.0314666666667,28.8251733333333
440000,广东省,2004,38.96,31.16
440000,广东省,2003,38.67,30.94
440000,广东省,2002,40.5297333333333,32.5640820180972
440000,广东省,2001,43.0636666666667,34.6
440000,广东省,2000,43.2,34.72
450000,广西壮族自治区,2019,77.3,67.4
450000,广西壮族自治区,2018,71.732,58.45381
450000,广西壮族自治区,2017,74.6932808890346,60.854
450000,广西壮族自治区,2016,70.3429686666667,58.68
