省份编码,省份,年份,农村水电建设本年完成投资额(万元),农村发电设备容量(千瓦),农村新增发电设备容量(千瓦),农村在建电站规模(千瓦),农村当年新开工电站规模(千瓦),农村发电量(万千瓦时)
110000,北京市,2019,,22219,,,,497.5
110000,北京市,2018,,42920,,,,2430.0
110000,北京市,2017,,42920,,,,2430.0
110000,北京市,2016,,42920,,,,2417.0
110000,北京市,2015,,42920,,,,2046.0
110000,北京市,2014,,42920,,,,2714.0
110000,北京市,2013,,42920,,,,2714.0
110000,北京市,2012,,42920,,,,2418.0
110000,北京市,2011,,42920,,,,2418.0
110000,北京市,2010,,42920,,,,2489.1
110000,北京市,2009,,42920,,,,1393.0
110000,北京市,2008,,42920,,,,3641.0
110000,北京市,2007,,42920,,,,1475.0
110000,北京市,2006,,42920,,,,2479.0
110000,北京市,2005,30,42920,,,,2675.0
110000,北京市,2004,34,42920,,,,2897.0
110000,北京市,2003,86,42920,,,,2224.0
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,5800,,,,1185.41
120000,天津市,2018,,5800,,,,1469.0
120000,天津市,2017,,5800,,,,333.0
120000,天津市,2016,,5800,,,,1556.0
120000,天津市,2015,,5800,,,,1556.0
120000,天津市,2014,,5800,3300,,,1819.0
120000,天津市,2013,,5000,,,,1265.0
120000,天津市,2012,,5800,,,,1972.0
120000,天津市,2011,,5800,800,,,1283.0
120000,天津市,2010,,5000,,,,1400.0
120000,天津市,2009,,5000,,,,1400.0
120000,天津市,2008,,5000,,,,1400.0
120000,天津市,2007,,5000,,33490,18210,1396.0
120000,天津市,2006,,5000,,,,42.0
120000,天津市,2005,,5000,,,,42.0
120000,天津市,2004,,5000,,,,42.0
120000,天津市,2003,,5000,,,,866.0
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,345.83,407408,2540,17970,,59859.98
130000,河北省,2018,2810.76,403748,7730,18410,,67103.0
130000,河北省,2017,4080,396073,140,27710,,61054.0
130000,河北省,2016,9833,395833,505,27710,2560,48227.0
130000,河北省,2015,5066,395658,7930,28195,3045,42078.0
130000,河北省,2014,17451,388728,15645,34000,800,46936.0
130000,河北省,2013,5731.5,385308,3600,34840,4910,53396.0
130000,河北省,2012,3827.14,381693,2220,29930,,50475.0
130000,河北省,2011,8206,379373,8390,34510,8950,43023.0
130000,河北省,2010,8402.51,370983,1055,40500,13130,35087.25
130000,河北省,2009,5027,370178,4720,26010,6340,29127.0
130000,河北省,2008,2473,365458,7195,14570,5320,38428.0
130000,河北省,2007,5776,358263,7866,66475,3800,35288.0
130000,河北省,2006,7682,349292,10375,23075,6115,38610.0
130000,河北省,2005,11142,339262,7352,17695,9945,35233.0
130000,河北省,2004,4927,331910,6153,27305,15170,37178.0
130000,河北省,2003,3003,323934,4812,55670,48525,28640.0
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,3607.48,207521,895,60945,,30229.52
140000,山西省,2018,5580,206626,7755,60945,,42452.0
140000,山西省,2017,3765,198871,3075,61945,,39129.0
140000,山西省,2016,8149,196341,2430,63445,,40244.0
140000,山西省,2015,4268,193911,3390,64700,,32425.0
140000,山西省,2014,9846,191296,19340,66090,2390,30859.0
140000,山西省,2013,8754,185891,11850,65610,,34093.0
140000,山西省,2012,5954,179166,4075,66890,2390,35689.0
140000,山西省,2011,7370,178398,6291,66250,,28887.0
140000,山西省,2010,4554.88,173245,850,72085,3135,20308.59
140000,山西省,2009,4078,172600,10600,71100,875,17470.0
140000,山西省,2008,5058,162160,6130,86625,20000,29370.0
140000,山西省,2007,5172,157350,1335,16110,16110,29631.0
140000,山西省,2006,5845,157100,5480,66550,4770,30147.0
140000,山西省,2005,14576,151730,1075,62930,,27853.0
140000,山西省,2004,4429,150930,,39970,18240,34460.0
140000,山西省,2003,2350,150930,,22130,,27991.0
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,95020,,,,21713.75
150000,内蒙古自治区,2018,,95020,,,,19325.0
150000,内蒙古自治区,2017,500,95245,,,,19632.0
150000,内蒙古自治区,2016,500,95245,100,,,19731.0
150000,内蒙古自治区,2015,,95145,,,,16853.0
150000,内蒙古自治区,2014,,93475,,,,16885.0
150000,内蒙古自治区,2013,,93475,140,9900,,16780.0
150000,内蒙古自治区,2012,,87525,7500,9900,,16481.0
150000,内蒙古自治区,2011,560,80025,16740,9900,,14602.0
150000,内蒙古自治区,2010,216,63960,10500,9900,,10231.8
150000,内蒙古自治区,2009,296,53460,100,,,8375.0
150000,内蒙古自治区,2008,630,53460,,12000,12000,8248.0
150000,内蒙古自治区,2007,467,53460,100,14255,14255,8880.0
150000,内蒙古自治区,2006,850,53360,630,11130,630,9748.0
150000,内蒙古自治区,2005,980,52730,,11130,630,8826.0
150000,内蒙古自治区,2004,1200,52730,3200,10000,,8317.0
150000,内蒙古自治区,2003,265,49530,160,11000,,9317.0
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,112.19,471090,16791,122665,,66495.74
210000,辽宁省,2018,5928,454299,10845,122665,,81074.0
210000,辽宁省,2017,6123,443529,,133155,950,69017.0
210000,辽宁省,2016,16401,443529,850,129705,15060,88783.0
210000,辽宁省,2015,11381,442554,7311,114645,103890,55440.0
210000,辽宁省,2014,6425,435243,7870,26515,10400,79344.0
210000,辽宁省,2013,3837,427373,39160,24165,19780,121072.0
210000,辽宁省,2012,13187.16,387573,10309,48195,925,112062.0
210000,辽宁省,2011,8817,313348,3140,49675,6290,88562.0
210000,辽宁省,2010,4506,311488,4155,43525,4105,106461.49
210000,辽宁省,2009,1845,307333,13850,41110,3610,69624.0
210000,辽宁省,2008,6133,294984,7820,9195,6225,79376.0
