省份编码,省份,年份,第一产业法人单位数(个),第二产业法人单位数(个),工业法人单位数(个),第三产业法人单位数(个)
110000,北京市,2019,6648,56711,,850010
110000,北京市,2018,43,60550,,927890
110000,北京市,2017,9008,55793,,654823
110000,北京市,2016,9042,55250,,646874
110000,北京市,2015,9026,54574,,641029
110000,北京市,2014,8949,53433,34414,598321
110000,北京市,2013,60,51740,33314,575251
110000,北京市,2012,3143,49257,36155,352507
110000,北京市,2011,3111,48462,35880,339930
110000,北京市,2010,3133,48273,35952,333119
110000,北京市,2009,,,,
110000,北京市,2008,,,,
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,11851,62330,,247559
120000,天津市,2018,2,58229,,232920
120000,天津市,2017,12322,84250,,347974
120000,天津市,2016,9789,77536,,303998
120000,天津市,2015,7189,69642,,243372
120000,天津市,2014,5155,62959,50544,196037
120000,天津市,2013,1,53924,44683,157479
120000,天津市,2012,2939,57812,47734,146761
120000,天津市,2011,2226,53690,44976,129983
120000,天津市,2010,1803,51090,43483,115642
120000,天津市,2009,,,,
120000,天津市,2008,,,,
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,104011,334209,,880101
130000,河北省,2018,55,315838,,835062
130000,河北省,2017,89801,290623,,766990
130000,河北省,2016,62411,198384,,524464
130000,河北省,2015,46867,158127,,425143
130000,河北省,2014,34108,135975,118489,360865
130000,河北省,2013,38,115349,101325,319446
130000,河北省,2012,17972,115236,104674,253885
130000,河北省,2011,13822,109035,99655,238171
130000,河北省,2010,11789,107117,99163,226856
130000,河北省,2009,,,,
130000,河北省,2008,,,,
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,89111,88670,,456179
140000,山西省,2018,36,73378,,388779
140000,山西省,2017,99121,77335,,424346
140000,山西省,2016,87165,62498,,349239
140000,山西省,2015,72135,48137,,261897
140000,山西省,2014,61120,39551,30800,204219
140000,山西省,2013,34,34163,27971,170938
140000,山西省,2012,34118,42458,35025,167686
140000,山西省,2011,27869,39783,33247,152719
140000,山西省,2010,23340,38883,33225,142929
140000,山西省,2009,,,,
140000,山西省,2008,,,,
140000,山西省,2007,,,,
140000,山西省,2006,,,,
140000,山西省,2005,,,,
140000,山西省,2004,,,,
140000,山西省,2003,,,,
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,53421,58227,,270022
150000,内蒙古自治区,2018,66,50137,,246973
150000,内蒙古自治区,2017,53418,45915,,229568
150000,内蒙古自治区,2016,36601,37868,,197767
150000,内蒙古自治区,2015,28738,32509,,170668
150000,内蒙古自治区,2014,22892,29682,24083,156062
150000,内蒙古自治区,2013,70,25614,21376,132180
150000,内蒙古自治区,2012,8928,28924,24250,117284
150000,内蒙古自治区,2011,7094,28255,23886,111756
150000,内蒙古自治区,2010,5740,27160,23129,105566
150000,内蒙古自治区,2009,,,,
150000,内蒙古自治区,2008,,,,
150000,内蒙古自治区,2007,,,,
150000,内蒙古自治区,2006,,,,
150000,内蒙古自治区,2005,,,,
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,,,,
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,42302,128162,,450692
210000,辽宁省,2018,29,130808,,469476
