省份编码,省份,年份,企业法人单位数(个),事业法人单位数(个),机关法人单位数(个),社会团体法人单位数(个),其他类型机构法人单位数(个)
110000,北京市,2019,870824,11207,1845,4988,24505
110000,北京市,2018,,,,,
110000,北京市,2017,676829,12134,2156,5814,22691
110000,北京市,2016,669663,11978,2172,5738,21615
110000,北京市,2015,663135,12035,2187,5711,21561
110000,北京市,2014,619279,12139,2179,5709,21397
110000,北京市,2013,,,,,
110000,北京市,2012,374051,11173,2092,4193,13398
110000,北京市,2011,360799,11217,2089,4144,13254
110000,北京市,2010,353802,11256,2149,4129,13189
110000,北京市,2009,,,,,
110000,北京市,2008,,,,,
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,293307,6147,1573,1492,19221
120000,天津市,2018,,,,,
120000,天津市,2017,414784,6632,2042,1918,19170
120000,天津市,2016,362508,6758,2030,2129,17898
120000,天津市,2015,296954,6798,2043,2163,12245
120000,天津市,2014,240190,6921,2064,2192,12784
120000,天津市,2013,,,,,
120000,天津市,2012,187579,6396,1873,1769,9895
120000,天津市,2011,166426,6309,1861,1734,9569
120000,天津市,2010,149382,6234,1831,1865,9223
120000,天津市,2009,,,,,
120000,天津市,2008,,,,,
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,1108146,34708,11759,8879,154829
130000,河北省,2018,,,,,
130000,河北省,2017,954073,31652,11797,8286,141606
130000,河北省,2016,611099,32495,12105,8235,121325
130000,河北省,2015,487926,35033,12434,8594,86150
130000,河北省,2014,388801,35371,12529,8546,85701
130000,河北省,2013,,,,,
130000,河北省,2012,278564,31640,11802,5028,60059
130000,河北省,2011,252808,31944,11842,5122,59312
130000,河北省,2010,234754,33432,11998,5467,60111
130000,河北省,2009,,,,,
130000,河北省,2008,,,,,
130000,河北省,2007,,,,,
130000,河北省,2006,,,,,
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,470657,28053,8338,7633,119279
140000,山西省,2018,,,,,
140000,山西省,2017,429757,28266,8956,8106,125717
140000,山西省,2016,336910,28005,8995,8030,116962
140000,山西省,2015,243379,27785,8988,7470,94547
140000,山西省,2014,171179,27799,9057,7366,89489
140000,山西省,2013,,,,,
140000,山西省,2012,159461,24571,8898,5616,45716
140000,山西省,2011,140229,24109,8905,5380,41748
140000,山西省,2010,127218,23972,8914,5365,39683
140000,山西省,2009,,,,,
140000,山西省,2008,,,,,
140000,山西省,2007,,,,,
140000,山西省,2006,,,,,
140000,山西省,2005,,,,,
140000,山西省,2004,,,,,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,271654,19588,7632,8468,74328
150000,内蒙古自治区,2018,,,,,
150000,内蒙古自治区,2017,222801,18633,7697,7192,72578
150000,内蒙古自治区,2016,183081,18580,7557,8356,54662
150000,内蒙古自治区,2015,155636,18428,7548,9431,40872
150000,内蒙古自治区,2014,134578,18500,7605,9200,38753
150000,内蒙古自治区,2013,,,,,
150000,内蒙古自治区,2012,105156,17426,7677,5834,19043
150000,内蒙古自治区,2011,97871,17406,7665,5769,18394
150000,内蒙古自治区,2010,89791,17398,7650,5556,18071
150000,内蒙古自治区,2009,,,,,
150000,内蒙古自治区,2008,,,,,
150000,内蒙古自治区,2007,,,,,
150000,内蒙古自治区,2006,,,,,
150000,内蒙古自治区,2005,,,,,
150000,内蒙古自治区,2004,,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,514311,21171,8073,5546,72055
210000,辽宁省,2018,,,,,
210000,辽宁省,2017,543275,30808,9514,8803,62909
210000,辽宁省,2016,488742,30909,9604,9234,57985
210000,辽宁省,2015,453377,30884,9617,9286,49264
210000,辽宁省,2014,401336,30884,9638,9318,49136
210000,辽宁省,2013,,,,,
210000,辽宁省,2012,370163,29385,9763,9152,35138
210000,辽宁省,2011,312648,27992,9514,8191,30170
210000,辽宁省,2010,293675,27878,9489,8121,29851
210000,辽宁省,2009,,,,,
210000,辽宁省,2008,,,,,
210000,辽宁省,2007,,,,,
210000,辽宁省,2006,,,,,
210000,辽宁省,2005,,,,,
210000,辽宁省,2004,,,,,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,142289,17758,4985,2575,44466
220000,吉林省,2018,,,,,
220000,吉林省,2017,141199,18783,5889,3534,39640
220000,吉林省,2016,132492,19260,5880,4266,31555
220000,吉林省,2015,123843,19269,5876,4340,28016
220000,吉林省,2014,113983,19409,5886,4360,28489
220000,吉林省,2013,,,,,
220000,吉林省,2012,90302,16970,5631,3494,15550
220000,吉林省,2011,82914,17249,5678,3495,15301
220000,吉林省,2010,75975,17224,5699,3489,15614
220000,吉林省,2009,,,,,
220000,吉林省,2008,,,,,
220000,吉林省,2007,,,,,
220000,吉林省,2006,,,,,
220000,吉林省,2005,,,,,
220000,吉林省,2004,,,,,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,193326,20018,8787,4358,69463
230000,黑龙江省,2018,,,,,
230000,黑龙江省,2017,223467,20749,9595,4082,77417
230000,黑龙江省,2016,158568,21267,9583,4943,57366
230000,黑龙江省,2015,149370,21268,9572,6023,39078
230000,黑龙江省,2014,132421,21753,9756,6121,38991
230000,黑龙江省,2013,,,,,
230000,黑龙江省,2012,134426,19808,9919,6198,18857
230000,黑龙江省,2011,130121,19764,9935,5748,18582
230000,黑龙江省,2010,122302,19759,9962,5519,18256
230000,黑龙江省,2009,,,,,
230000,黑龙江省,2008,,,,,
230000,黑龙江省,2007,,,,,
230000,黑龙江省,2006,,,,,
230000,黑龙江省,2005,,,,,
230000,黑龙江省,2004,,,,,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,447643,7765,1363,3139,22443
310000,上海市,2018,,,,,
310000,上海市,2017,453393,7735,1676,3268,18423
310000,上海市,2016,432697,7802,1688,3376,18427
310000,上海市,2015,417855,7823,1678,3376,17859
310000,上海市,2014,403109,7832,1673,3372,18120
310000,上海市,2013,,,,,
310000,上海市,2012,427928,8463,1892,3330,13442
310000,上海市,2011,397868,8168,1854,3242,11823
310000,上海市,2010,375023,8254,1846,3177,11249
310000,上海市,2009,,,,,
310000,上海市,2008,,,,,
310000,上海市,2007,,,,,
310000,上海市,2006,,,,,
310000,上海市,2005,,,,,
310000,上海市,2004,,,,,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,2119006,40733,9354,30577,127547
320000,江苏省,2018,,,,,
320000,江苏省,2017,2148335,39479,10474,31021,126725
320000,江苏省,2016,1717140,39825,10620,26721,113426
320000,江苏省,2015,1388252,39866,10652,24681,87995
320000,江苏省,2014,1184337,40678,10803,22564,86411
320000,江苏省,2013,,,,,
320000,江苏省,2012,977842,37704,9997,17886,53483
320000,江苏省,2011,865414,37377,10061,17062,49323
320000,江苏省,2010,756400,37582,10192,13934,44097
320000,江苏省,2009,,,,,
320000,江苏省,2008,,,,,
320000,江苏省,2007,,,,,
320000,江苏省,2006,,,,,
320000,江苏省,2005,,,,,
320000,江苏省,2004,,,,,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,1719850,28654,7848,20317,128909
330000,浙江省,2018,,,,,
330000,浙江省,2017,1599310,32297,8262,21289,131307
330000,浙江省,2016,1307844,32194,8113,20527,128487
330000,浙江省,2015,1189601,32048,8133,20149,96431
330000,浙江省,2014,1080455,31597,8260,19556,95799
330000,浙江省,2013,,,,,
330000,浙江省,2012,739030,27797,7720,15431,75162
330000,浙江省,2011,659000,27337,7677,14818,69361
330000,浙江省,2010,570258,27269,7830,14059,66077
330000,浙江省,2009,,,,,
330000,浙江省,2008,,,,,
330000,浙江省,2007,,,,,
330000,浙江省,2006,,,,,
330000,浙江省,2005,,,,,
330000,浙江省,2004,,,,,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,786202,23131,8625,12650,115900
340000,安徽省,2018,,,,,
340000,安徽省,2017,727017,22036,9278,9267,105267
340000,安徽省,2016,518794,22725,9054,9730,90950
340000,安徽省,2015,454812,22695,9076,12020,66364
340000,安徽省,2014,363443,22794,9095,11645,60798
340000,安徽省,2013,,,,,
340000,安徽省,2012,254386,21297,9352,7922,31665
340000,安徽省,2011,214306,22844,9658,8489,31618
340000,安徽省,2010,171775,22789,9747,8207,30073
340000,安徽省,2009,,,,,
340000,安徽省,2008,,,,,
340000,安徽省,2007,,,,,
340000,安徽省,2006,,,,,
340000,安徽省,2005,,,,,
340000,安徽省,2004,,,,,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,819718,26728,7717,16480,70654
350000,福建省,2018,,,,,
350000,福建省,2017,748141,28939,9183,18185,65602
350000,福建省,2016,636091,29071,9109,18744,58733
350000,福建省,2015,556220,29103,9117,19023,50957
350000,福建省,2014,457591,29242,9092,18640,51510
350000,福建省,2013,,,,,
350000,福建省,2012,319214,26005,8032,11200,34640
350000,福建省,2011,278412,25724,8020,11053,32998
350000,福建省,2010,231539,25545,8010,10720,31997
350000,福建省,2009,,,,,
350000,福建省,2008,,,,,
350000,福建省,2007,,,,,
350000,福建省,2006,,,,,
350000,福建省,2005,,,,,
350000,福建省,2004,,,,,
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,433517,29254,8469,8708,90248
360000,江西省,2018,,,,,
360000,江西省,2017,439890,32792,9746,9721,80864
360000,江西省,2016,344148,33154,9699,10369,67282
360000,江西省,2015,277496,33047,9782,10238,54954
360000,江西省,2014,222139,33100,9760,10955,50609
360000,江西省,2013,,,,,
360000,江西省,2012,176556,25521,9366,6315,31520
360000,江西省,2011,130247,24614,9327,5821,29346
360000,江西省,2010,112502,24706,9361,6303,31687
360000,江西省,2009,,,,,
360000,江西省,2008,,,,,
