省份编码,省份,年份,法人单位数(个),农、林、牧、渔业法人单位数(个),采矿业法人单位数(个),制造业法人单位数(个),电力、燃气及水的生产和供应业法人单位数(个),建筑业法人单位数(个),交通运输、仓储和邮政业法人单位数(个),信息传输、计算机服务和软件业法人单位数(个),批发和零售业法人单位数(个),住宿和餐饮业法人单位数(个),金融业法人单位数(个),房地产业法人单位数(个),租赁和商务服务业法人单位数(个),科学研究、技术服务和地质勘查业法人单位数(个),水利、环境和公共设施管理业法人单位数(个),居民服务和其他服务业法人单位数(个),教育业法人单位数(个),卫生、社会保障和社会福利业法人单位数(个),文化、体育和娱乐业法人单位数(个),公共管理和社会组织法人单位数(个),国际组织业法人单位数(个)
110000,北京市,2019,913369,7105,57,23574,1146,33309,17848,68633,259365,32208,6933,25072,169189,136076,6986,33407,19869,6362,49183,17047,
110000,北京市,2018,988483,456,78,25646,1193,35130,19175,77133,273387,34458,12796,26884,184751,154092,7346,36756,21236,6607,53882,17477,
110000,北京市,2017,719624,9494,127,34406,729,21058,14913,36601,210061,17215,5138,19622,152084,111740,4179,19464,11418,4128,29908,17339,
110000,北京市,2016,711166,9537,128,34454,699,20507,14864,36026,208813,17134,4972,19040,151316,107916,4119,19510,11398,4061,29447,17225,
110000,北京市,2015,704629,9551,124,34144,659,20087,14754,47988,206521,17141,5117,18833,150385,92262,4170,19774,11339,4002,30574,17204,
110000,北京市,2014,660703,9474,126,34084,640,19019,14437,46848,197293,16649,4834,18244,140269,75727,3989,19429,11260,3885,27309,17187,
110000,北京市,2013,627051,561,127,33023,638,18426,14150,47608,190705,16323,,17806,134953,71148,3964,18734,11145,3811,26787,17142,
110000,北京市,2012,404907,3143,189,35495,471,13102,8098,22151,121945,13252,1794,14661,77035,38136,2488,14788,8304,3084,12754,14017,
110000,北京市,2011,391503,3111,186,35234,460,12582,7850,21135,118485,13003,1364,14384,73752,35568,2422,14651,8207,3049,12112,13948,
110000,北京市,2010,384525,3133,188,35314,450,12321,7755,20878,116396,12897,1298,14162,71741,33970,2398,14613,8192,3044,11762,14013,
110000,北京市,2009,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2019,321740,12403,82,41870,875,20734,14184,17960,84886,5114,5070,11520,41627,28778,1927,7658,6275,2326,7684,10767,
120000,天津市,2018,291151,449,72,39739,813,18846,13792,17802,79142,4935,4988,10832,39513,25989,1732,7237,5749,2262,7395,9864,
120000,天津市,2017,444546,13200,134,58413,919,25704,19379,17862,128601,6330,4912,12729,56982,57506,2265,11602,4540,2161,10716,10591,
120000,天津市,2016,391323,10591,144,57722,772,19760,17852,15818,119826,5652,4897,10443,47918,42071,2124,10889,4499,1969,7533,10843,
120000,天津市,2015,320203,7908,142,54114,655,15517,15560,12589,98551,4658,4218,8472,36907,28149,1904,9070,4307,1758,4821,10903,
120000,天津市,2014,264151,5739,136,50541,589,12415,13246,9386,80350,3781,3344,7256,29363,18593,1703,7663,4254,1654,3179,10959,
120000,天津市,2013,211404,481,93,44653,528,9241,10440,7844,66138,2981,,5842,23441,14491,1416,5798,3803,1500,2544,10170,
120000,天津市,2012,207512,2939,100,47162,472,10078,9726,3452,64701,3118,1876,5913,21553,10795,1458,7457,3467,1508,1863,9874,
120000,天津市,2011,185899,2226,88,44474,414,8714,8376,2666,57462,2841,1493,5306,18285,9357,1319,6707,3325,1446,1608,9792,
120000,天津市,2010,168535,1803,87,43003,393,7607,7347,2314,51763,3231,884,4735,14482,7525,1202,6236,3233,1406,1428,9856,
120000,天津市,2009,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2019,1318321,114610,4942,226936,5700,98615,32938,42292,374542,15905,4099,46774,109466,59330,9419,22727,28723,10867,24147,86289,
130000,河北省,2018,1150955,9885,4842,218111,5484,89523,31074,39141,358174,15538,3681,45063,99299,51677,7420,22280,28623,10764,23852,86524,
130000,河北省,2017,1147414,105372,6865,211132,5544,68466,27657,30159,337751,12923,5516,40644,95365,44124,8254,20702,22699,7973,16678,79590,
130000,河北省,2016,785259,73763,6332,151619,3601,37803,18661,13944,219536,8229,4847,25580,56208,26097,5535,14019,21537,7042,10845,80061,
130000,河北省,2015,630137,58834,6547,126557,2747,23139,14280,8114,165475,6000,4687,18376,40060,19522,4269,10454,20754,9919,8614,81789,
130000,河北省,2014,530948,44777,7081,110020,2140,17486,11511,5233,131451,5101,4580,15593,29344,15365,3707,7695,20277,9762,7901,81924,
130000,河北省,2013,434833,9590,6588,93568,1839,14024,9582,4211,111227,4458,,13782,24379,13650,3243,6292,19794,9432,7388,81786,
130000,河北省,2012,387093,17972,8200,94883,1591,10562,7754,5106,91157,4233,2597,11472,15638,6478,2315,5088,17885,6554,2675,74933,
130000,河北省,2011,361028,13822,8318,89874,1463,9380,7234,4699,81073,4069,2230,10546,13359,5877,2018,4732,18168,6654,2322,75190,
130000,河北省,2010,345762,11789,8617,89205,1341,7954,6529,4875,72724,4178,1669,9066,11434,5432,1877,4331,19003,7170,2272,76296,
130000,河北省,2009,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2019,633960,95968,6018,38137,5377,40990,16849,25146,172364,10083,2456,20042,55653,27128,6184,13381,17383,7382,15417,58002,
140000,山西省,2018,462193,7053,5942,36079,4452,28707,14626,17399,141041,8427,2401,16757,45373,21099,5510,11377,15682,6896,13635,59737,
140000,山西省,2017,600802,106983,7499,37197,4955,28426,14827,18806,178727,9121,3221,15980,49596,18000,5237,11101,12875,7050,12183,59018,
140000,山西省,2016,498902,94596,6965,32151,3662,20372,11375,11529,139240,7109,2883,12856,36562,13141,3848,15397,11769,6400,10128,58919,
140000,山西省,2015,382169,78524,6410,27601,2183,12500,8635,5915,94250,5056,2375,9678,24183,9640,3072,9963,10826,5760,7360,58238,
140000,山西省,2014,304890,66666,5938,23769,1552,8751,6731,2955,62599,3885,2133,8035,16412,7966,2705,4778,10345,5487,6073,58110,
140000,山西省,2013,205135,5022,5567,21612,1211,6192,5205,1744,45404,3411,,6747,12053,6911,2583,2801,10068,5321,5601,57682,
140000,山西省,2012,244262,34118,7595,26189,1241,7433,5382,3691,53059,3664,1785,6364,11201,5449,2369,4840,8990,5217,3398,52277,
140000,山西省,2011,220371,27869,7515,24620,1112,6536,4763,2632,45514,3382,1530,5651,9506,4810,2144,4181,8755,5149,2727,51975,
140000,山西省,2010,205152,23340,7838,24367,1020,5658,4101,2770,39691,3310,1257,4988,8404,4502,1968,3592,8762,5124,2579,51881,
