省份编码,省份,年份,城镇居民家庭人均现金消费支出(元),城镇居民家庭人均食品消费支出(元),城镇居民家庭人均衣着消费支出(元),城镇居民家庭人均居住消费支出(元),城镇居民家庭人均家庭设备及用品消费支出(元),城镇居民家庭人均医疗保健消费支出(元),城镇居民家庭人均交通通信消费支出(元),城镇居民家庭人均文教娱乐服务消费支出(元),城镇居民家庭人均其它消费支出(元)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,,,,,,,,,
110000,北京市,2014,,,,,,,,,
110000,北京市,2013,,,,,,,,,
110000,北京市,2012,24045.86,7535.29,2638.9,1970.94,1610.7,1658.37,3781.51,3695.98,1154.18
110000,北京市,2011,21984.37,6905.51,2265.88,1923.71,1562.55,1523.32,3521.2,3306.82,975.37
110000,北京市,2010,19934.48,6392.9,2087.91,1577.35,1377.77,1327.22,3420.91,2901.93,848.49
110000,北京市,2009,17893.3,5936.11,1795.68,1290.22,1225.68,1389.45,2767.85,2654.98,833.32
110000,北京市,2008,16460.26,5561.54,1571.74,1286.32,1096.57,1563.1,2293.23,2383.52,704.24
110000,北京市,2007,15330.44,4934.05,1512.88,1246.19,981.13,1294.07,2328.51,2383.96,649.66
110000,北京市,2006,14825.41,4560.52,1442.42,1212.89,977.47,1322.36,2173.26,2514.76,621.74
110000,北京市,2005,13244.2,4215.56,1184.14,1039.78,852.18,1295.76,1943.48,2186.55,526.76
110000,北京市,2004,12200.4,3925.54,1062.47,1065.67,823.84,1182.81,1562.19,2115.89,461.98
110000,北京市,2003,11123.84,3522.69,906.21,955.77,704.17,994.01,1688.08,1964.19,388.73
110000,北京市,2002,10284.6,3472.08,863.88,925.44,636.0,949.92,1270.8,1809.12,357.24
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,,,,,,,,,
120000,天津市,2014,,,,,,,,,
120000,天津市,2013,,,,,,,,,
120000,天津市,2012,20024.24,7343.64,1881.43,1854.22,1151.16,1556.35,3083.37,2254.22,899.87
120000,天津市,2011,18424.09,6663.31,1754.98,1763.44,1174.62,1415.39,2699.53,2116.01,836.82
120000,天津市,2010,16561.77,5940.44,1567.58,1615.57,1119.93,1275.64,2454.38,1899.5,688.73
120000,天津市,2009,14801.35,5404.53,1362.56,1505.7,911.92,1273.38,1968.37,1740.85,634.05
120000,天津市,2008,13422.47,5005.09,1153.66,1528.28,817.18,1220.92,1567.87,1608.97,520.49
120000,天津市,2007,12028.88,4249.31,1024.15,1417.45,760.56,1163.98,1309.94,1639.83,463.64
120000,天津市,2006,10548.05,3680.22,864.89,1368.2,634.39,1049.33,1092.87,1452.17,405.99
120000,天津市,2005,9653.26,3542.9,698.91,1291.6,524.2,996.35,998.01,1283.7,317.58
120000,天津市,2004,8802.44,3278.24,624.61,1230.17,497.48,823.99,787.71,1232.38,327.86
120000,天津市,2003,7867.53,2963.85,579.7,1095.61,467.03,697.76,721.28,1083.91,258.39
120000,天津市,2002,7191.96,2607.0,583.32,932.28,500.4,624.96,570.36,1150.56,222.96
