省份编码,省份,年份,城镇居民人均可支配收入(元),城镇居民人均总收入(元),城镇居民人均工资性收入(元),城镇居民人均经营净收入(元),城镇居民人均财产性收入(元),城镇居民人均转移性收入(元)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,,,,,,
110000,北京市,2014,,,,,,
110000,北京市,2013,,,,,,
110000,北京市,2012,36468.75,41103.11,27961.78,1430.22,717.56,10993.54
110000,北京市,2011,32903.03,37124.39,25161.22,1191.29,696.64,10075.23
110000,北京市,2010,29072.93,33360.42,23099.09,1170.65,655.91,8434.77
110000,北京市,2009,26738.48,30673.68,21105.61,1095.45,586.72,7885.9
110000,北京市,2008,24724.89,27677.94,18738.96,778.36,452.75,7707.87
110000,北京市,2007,21988.71,24575.58,17318.72,298.48,530.83,6427.54
110000,北京市,2006,19977.52,22417.16,16284.17,236.37,270.52,5626.09
110000,北京市,2005,17652.95,19533.33,13666.34,213.7,190.44,5462.85
110000,北京市,2004,15637.84,17116.46,11590.45,177.54,146.45,5202.02
110000,北京市,2003,13882.62,14959.3,10152.14,314.19,174.67,4318.3
110000,北京市,2002,12463.92,13251.84,8999.4,339.36,82.44,3830.64
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,,,,,,
120000,天津市,2014,,,,,,
120000,天津市,2013,,,,,,
120000,天津市,2012,29626.41,32944.01,21523.81,1200.1,515.49,9704.61
120000,天津市,2011,26920.86,29916.04,18794.08,1059.29,462.28,9600.4
120000,天津市,2010,24292.6,26942.0,16780.41,931.81,333.17,8896.61
120000,天津市,2009,21402.01,23565.67,14389.1,847.23,305.31,8024.04
120000,天津市,2008,19422.53,21174.04,12849.73,863.52,256.87,7203.93
120000,天津市,2007,16357.35,17828.15,10882.24,800.82,233.01,5912.08
120000,天津市,2006,14283.09,15476.04,9259.72,742.97,165.05,5308.3
120000,天津市,2005,12638.55,13563.32,8174.64,665.53,148.15,4574.99
120000,天津市,2004,11467.16,12279.73,7508.72,600.4,123.55,4047.06
120000,天津市,2003,10312.91,10971.57,6663.54,468.96,96.41,3742.66
120000,天津市,2002,9337.56,9838.56,6050.76,463.56,124.08,3200.16
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,,,,,,
130000,河北省,2014,,,,,,
130000,河北省,2013,,,,,,
130000,河北省,2012,20543.44,21899.42,13154.52,2257.48,338.47,6148.95
130000,河北省,2011,18292.23,19591.91,11686.6,1836.45,318.43,5750.43
130000,河北省,2010,16263.43,17334.42,10566.3,1043.72,323.97,5400.43
130000,河北省,2009,14718.25,15675.75,9830.57,977.23,193.71,4674.23
130000,河北省,2008,13441.09,14141.41,8891.5,1078.67,224.86,3946.39
130000,河北省,2007,11690.47,12335.96,8325.67,649.79,163.77,3196.73
130000,河北省,2006,10304.56,10887.19,7065.29,779.27,113.49,2929.14
130000,河北省,2005,9107.09,9616.8,6346.53,643.84,117.46,2508.96
