省份编码,省份,年份,农村居民家庭平均每百户洗衣机拥有量(台),农村居民家庭平均每百户电冰箱拥有量(台),农村居民家庭平均每百户空调拥有量(台),农村居民家庭平均每百户抽油烟机拥有量(台),农村居民家庭平均每百户自行车拥有量(辆),农村居民家庭平均每百户摩托车拥有量(辆),农村居民家庭平均每百户固定电话拥有量(部),农村居民家庭平均每百户移动电话拥有量(部),农村居民家庭平均每百户黑白电视机拥有量(台),农村居民家庭平均每百户彩色电视机拥有量(台),农村居民家庭平均每百户照相机拥有量(台),农村居民家庭平均每百户计算机拥有量(台)
110000,北京市,2019,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,,,
110000,北京市,2016,,,,,,,,,,,,
110000,北京市,2015,,,,,,,,,,,,
110000,北京市,2014,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,
110000,北京市,2012,99.0333333333333,102.7,112.6,70.8666666666667,146.833333333333,13.8666666666667,85.6333333333333,234.866666666667,0.2,136.033333333333,36.5666666666667,66.7
110000,北京市,2011,99.2333333333333,103.733333333333,107.566666666667,68.9,146.6,13.9666666666667,88.4666666666667,231.2,0.033333333333333,134.333333333333,36.7333333333333,62.8666666666667
110000,北京市,2010,101.47,106.53,98.27,64.13,171.07,29.2,108.27,219.07,0.13,136.67,35.73,59.33
110000,北京市,2009,100.8,104.67,86.53,58.93,180.27,29.87,112.13,208.53,0.4,137.6,34.13,52.27
110000,北京市,2008,99.07,103.6,77.2,53.6,185.07,33.2,115.6,194.93,0.67,134.53,32.0,45.6
110000,北京市,2007,96.6666666666667,102.666666666667,68.2666666666667,49.2,182.8,34.1333333333333,117.6,175.2,0.8,134.0,29.7333333333333,41.5
110000,北京市,2006,95.4666666666667,100.8,59.7333333333333,44.1333333333333,186.0,37.3333333333333,104.266666666667,157.9,2.13333333333333,133.2,30.4,36.1
110000,北京市,2005,97.0666666666667,100.0,53.4666666666667,42.0,196.0,45.3333333333333,105.066666666667,134.0,4.4,130.666666666667,33.0666666666667,29.9
110000,北京市,2004,94.9333333333333,100.666666666667,42.1333333333333,37.6,208.666666666667,42.9333333333333,104.133333333333,98.8,5.73333333333333,120.666666666667,34.2666666666667,28.0
110000,北京市,2003,94.0,96.9333333333333,35.0666666666667,29.4666666666667,212.8,41.8666666666667,100.666666666667,78.1,9.46666666666667,116.666666666667,30.5333333333333,20.7
110000,北京市,2002,92.4,93.07,29.6,26.4,208.13,41.33,95.6,50.4,14.53,110.0,26.67,14.8
110000,北京市,2001,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,,,
120000,天津市,2017,,,,,,,,,,,,
120000,天津市,2016,,,,,,,,,,,,
120000,天津市,2015,,,,,,,,,,,,
120000,天津市,2014,,,,,,,,,,,,
120000,天津市,2013,,,,,,,,,,,,
120000,天津市,2012,99.5714285714286,97.4285714285715,74.8571428571432,49.1428571428571,162.857142857143,26.7142857142857,56.2857142857143,195.571428571428,0.142857142857143,125.285714285714,22.7142857142858,43.7142857142856
120000,天津市,2011,99.4283333333333,96.4283333333333,70.0,44.8566666666667,161.856666666667,25.8566666666667,52.4283333333333,187.856666666667,0.143333333333333,122.428333333333,19.285,37.0
