省份编码,省份,年份,农村居民家庭人均纯收入(元),农村居民家庭人均工资性纯收入(元),农村居民家庭人均家庭经营纯收入(元),农村居民家庭人均财产性纯收入(元),农村居民家庭人均转移性纯收入(元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,,,,
110000,北京市,2016,,,,,
110000,北京市,2015,,,,,
110000,北京市,2014,,,,,
110000,北京市,2013,,,,,
110000,北京市,2012,16475.740758884,10843.4842925855,1318.10490595316,1716.3566567626,2597.79490358281
110000,北京市,2011,14735.68,9578.85,1363.27,1537.01,2256.55
110000,北京市,2010,13262.29,8229.19,1816.84,1339.88,1876.38
110000,北京市,2009,11668.59,7326.19,1539.98,1268.61,1533.81
110000,北京市,2008,10661.92,6389.31,2058.57,1142.8,1071.25
110000,北京市,2007,9439.63,5605.65,2303.72,803.22,727.04
110000,北京市,2006,8275.47,5047.39,1957.09,678.81,592.19
110000,北京市,2005,7346.26,4524.25023873635,1778.330564851,588.038230864886,455.640148381354
110000,北京市,2004,6170.33,3698.7384145898,1600.79563925708,417.78735381596,453.013517566944
110000,北京市,2003,5601.55,3480.3,1450.82,305.92,364.51
110000,北京市,2002,5398.48,3429.68,1371.27,341.27,256.25
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,,,,
120000,天津市,2016,,,,,
120000,天津市,2015,,,,,
120000,天津市,2014,,,,,
120000,天津市,2013,,,,,
120000,天津市,2012,14025.5370844799,7922.25701345588,4126.28604668197,920.999367299725,1055.99465704232
120000,天津市,2011,12321.22,6829.24,3908.07,742.43,841.48
120000,天津市,2010,10074.86,5261.97,3895.19,368.41,549.29
120000,天津市,2009,8687.56,4408.33,3551.58,267.53,460.12
120000,天津市,2008,7910.78,4064.95,3097.14,463.39,285.3
120000,天津市,2007,7010.06,3582.67,2957.3,161.95,308.14
120000,天津市,2006,6227.94,3247.92,2707.35,126.37,146.29
120000,天津市,2005,5579.87,2720.85022093177,2626.46124833864,152.881160834164,79.6776303958041
120000,天津市,2004,5019.53,2358.68563290769,2427.51293206997,93.6732456726149,139.65950817244
120000,天津市,2003,4566.01,2152.55,2162.87,140.74,109.85
120000,天津市,2002,4278.71,2060.23,2000.18,72.65,145.65
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,,,,
130000,河北省,2016,,,,,
130000,河北省,2015,,,,,
130000,河北省,2014,,,,,
130000,河北省,2013,,,,,
130000,河北省,2012,8081.38503202421,4005.28153167536,3254.56691329485,218.302165466311,603.234421587697
130000,河北省,2011,7119.69,3423.95,3006.2,206.36,483.18
130000,河北省,2010,5957.98,2653.42,2729.8,182.45,392.31
130000,河北省,2009,5149.67,2251.01,2440.44,123.9,334.31
130000,河北省,2008,4795.46,1979.52,2416.22,118.63,281.09
130000,河北省,2007,4293.43,1754.33,2249.67,115.8,173.64
130000,河北省,2006,3801.82,1514.68,2039.64,107.72,139.78
130000,河北省,2005,3481.64,1293.50413432279,1988.57644999467,93.7430277358536,105.814249625265
130000,河北省,2004,3171.06,1110.9230107577,1887.68234894903,79.0325115183877,93.4229705377404
130000,河北省,2003,2853.38,1072.33,1645.17,75.31,60.57
