省份编码,省份,年份,居民人均可支配收入(元),居民人均可支配收入_同比增长(%),城镇居民人均可支配收入(元),城镇居民人均可支配收入_同比增长(%),农村居民人均可支配收入(元),农村居民人均可支配收入_同比增长(%),居民人均消费支出(元),居民人均消费支出_同比增长(%),城镇居民人均消费支出(元),城镇居民人均消费支出_同比增长(%),农村居民人均消费支出(元),农村居民人均消费支出_同比增长(%)
110000,北京市,2019,67755.9123926971,,73848.5133682903,,28928.4309428525,,43038.2902533884,,46358.1744947577,,21881.0301088661,
110000,北京市,2018,62361.2157562477,,67989.8888559736,,26490.2916562364,,39842.6884507854,,42925.6479843023,,20195.3212168318,
110000,北京市,2017,57229.8322153316,,62406.3422178236,,24240.4948005553,,37425.3380067573,,40346.2859164958,,18810.4534380126,
110000,北京市,2016,52530.377768,,57275.310785,,22309.523199,,35415.749868,,38255.520087,,17329.028206,
110000,北京市,2015,48457.9854649198,,52859.1742737349,,20568.7207973434,,33802.7683989881,,36642.0044915062,,15811.2187796274,
110000,北京市,2014,44488.5675919509,9,48531.8451860488,8.9,18867.2993735765,10.3,31102.8935155604,6.6,33717.4542773098,6.6,14535.0569050341,7.2
110000,北京市,2013,40830.0420914767,,44563.9261012441,,17101.1753145131,,29175.633091432,,31632.2338729219,,13563.9128249016,
110000,北京市,2012,,,,,,,,,,,,
110000,北京市,2011,,,,,,,,,,,,
110000,北京市,2010,,,,,,,,,,,,
110000,北京市,2009,,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,
120000,天津市,2019,42404.1361871009,,46118.8889246731,,24804.1099095328,,31853.632338159,,34810.7172858471,,17843.3397397002,
120000,天津市,2018,39506.1468833922,,42976.2526372293,,23065.2252822093,,29902.9088573246,,32655.109967886,,16863.3285392341,
120000,天津市,2017,37022.3292107093,,40277.5393126148,,21753.6753384205,,27841.3841870035,,30283.6465873336,,16385.884207412,
120000,天津市,2016,34074.455235,,37109.572858,,20075.6406,,26129.347465,,28344.583246,,15912.058077,
120000,天津市,2015,31291.3605579493,,34101.3472975577,,18481.6288776037,,24162.4591959717,,26229.5246440028,,14739.4418622025,
120000,天津市,2014,28832.2861587767,9.4,31506.0338190399,8.7,17014.1765821485,10.8,22342.9775996681,9.4,24289.6401763394,8.9,13738.6235008376,10.0
120000,天津市,2013,26359.2037211364,,28979.8234170802,,15352.6016458919,,20418.6703458382,,22306.1753801879,,12491.1496680909,
120000,天津市,2012,,,,,,,,,,,,
120000,天津市,2011,,,,,,,,,,,,
120000,天津市,2010,,,,,,,,,,,,
120000,天津市,2009,,,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,
130000,河北省,2019,25664.7133066501,,35737.6834254187,,15373.0795244486,,17987.1910681264,,23483.0546309869,,12372.0235019569,
130000,河北省,2018,23445.6533144218,,32977.1758281844,,14030.8891610054,,16721.9992683517,,22127.4153939929,,11382.7979077606,
130000,河北省,2017,21484.126671226,,30547.7581097804,,12880.9386407945,,15436.9939776107,,20600.348287477,,10535.9442938644,
130000,河北省,2016,19725.417411,,28249.39182,,11919.354067,,14247.493365,,19105.889165,,9798.284165,
130000,河北省,2015,18118.0850958063,,26152.1620241461,,11050.5136622585,,13030.6885819895,,17586.622503509,,9022.83693654649,
130000,河北省,2014,16647.3953280252,9.6,24141.3351973245,8.6,10186.1399099418,10.9,11931.5397740581,9.7,16203.8185741239,8.2,8247.99213077167,11.8
130000,河北省,2013,15189.6406630491,,22226.7473183271,,9187.70993435057,,10872.1817745671,,14970.0349416043,,7377.1330209025,
130000,河北省,2012,,,,,,,,,,,,
130000,河北省,2011,,,,,,,,,,,,
130000,河北省,2010,,,,,,,,,,,,
130000,河北省,2009,,,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,
140000,山西省,2019,23828.4552952962,,33262.3655796351,,12902.3632424472,,15862.5774442488,,21158.9932143782,,9728.41626289184,
140000,山西省,2018,21990.1376377055,,31034.8022583685,,11750.0105235793,,14810.1222584624,,19789.8409180722,,9172.21812318985,
140000,山西省,2017,20420.0060465739,,29131.8079614008,,10787.5058994835,,13664.4427302769,,18403.97910273,,8424.01310950071,
