省份编码,省份,年份,城乡居民人民币储蓄存款年底余额(亿元)
110000,北京市,2019,37309.675
110000,北京市,2018,34018.9631
110000,北京市,2017,28962.2
110000,北京市,2016,28012.0329
110000,北京市,2015,23913.967
110000,北京市,2014,24158.4
110000,北京市,2013,23086.4149916846
110000,北京市,2012,21644.9
110000,北京市,2011,19126.1369907331
110000,北京市,2010,17003.1121859824
110000,北京市,2009,14672.1
110000,北京市,2008,11952.84
110000,北京市,2007,9155.34
110000,北京市,2006,8705.6
110000,北京市,2005,7477.7
110000,北京市,2004,6122.35
110000,北京市,2003,5293.54
110000,北京市,2002,4389.7
110000,北京市,2001,
110000,北京市,2000,
120000,天津市,2019,12639.6371
120000,天津市,2018,10746.1653
120000,天津市,2017,9558.0478
120000,天津市,2016,9125.3832
120000,天津市,2015,8743.7889
120000,天津市,2014,7916.9
120000,天津市,2013,7612.3069626508
120000,天津市,2012,7055.4
120000,天津市,2011,6123.0772715164
120000,天津市,2010,5558.2339041591
120000,天津市,2009,4885.86
120000,天津市,2008,3978.04
120000,天津市,2007,3083.07
120000,天津市,2006,2808.1
120000,天津市,2005,2461.5
120000,天津市,2004,2116.67
120000,天津市,2003,1825.53
120000,天津市,2002,1486.4
120000,天津市,2001,
120000,天津市,2000,
130000,河北省,2019,
130000,河北省,2018,
130000,河北省,2017,
130000,河北省,2016,
130000,河北省,2015,
130000,河北省,2014,25690.1
130000,河北省,2013,23357.1698057675
130000,河北省,2012,20665.1
130000,河北省,2011,17824.3291450538
130000,河北省,2010,15678.4344606213
130000,河北省,2009,13551.06
130000,河北省,2008,11434.68
130000,河北省,2007,8922.4
130000,河北省,2006,8014.16
130000,河北省,2005,7084.0
130000,河北省,2004,6207.48
130000,河北省,2003,5457.0
130000,河北省,2002,4808.3
130000,河北省,2001,
130000,河北省,2000,
140000,山西省,2019,
140000,山西省,2018,
140000,山西省,2017,
140000,山西省,2016,
140000,山西省,2015,
140000,山西省,2014,14145.2
140000,山西省,2013,13339.3742943287
140000,山西省,2012,11997.0
140000,山西省,2011,10455.460400546
140000,山西省,2010,9222.9696666039
140000,山西省,2009,8099.43
140000,山西省,2008,7048.61
140000,山西省,2007,5422.4
140000,山西省,2006,4796.18
140000,山西省,2005,4119.7
140000,山西省,2004,3342.31
140000,山西省,2003,2781.54
140000,山西省,2002,2307.3
140000,山西省,2001,
140000,山西省,2000,
150000,内蒙古自治区,2019,
150000,内蒙古自治区,2018,
150000,内蒙古自治区,2017,
150000,内蒙古自治区,2016,9960.13
150000,内蒙古自治区,2015,
150000,内蒙古自治区,2014,8013.7
150000,内蒙古自治区,2013,7455.1650016026
150000,内蒙古自治区,2012,6597.2
150000,内蒙古自治区,2011,5423.0599693417
150000,内蒙古自治区,2010,4618.1090165596
150000,内蒙古自治区,2009,3913.95
150000,内蒙古自治区,2008,3211.67
150000,内蒙古自治区,2007,2541.92
150000,内蒙古自治区,2006,2271.35
150000,内蒙古自治区,2005,1973.6
150000,内蒙古自治区,2004,1603.87
150000,内蒙古自治区,2003,1355.51
150000,内蒙古自治区,2002,1137.9
150000,内蒙古自治区,2001,
150000,内蒙古自治区,2000,
210000,辽宁省,2019,
210000,辽宁省,2018,
210000,辽宁省,2017,
210000,辽宁省,2016,
210000,辽宁省,2015,
210000,辽宁省,2014,21183.8
210000,辽宁省,2013,19659.5062479002
210000,辽宁省,2012,17785.9
210000,辽宁省,2011,15365.6579151411
210000,辽宁省,2010,13690.2653515882
210000,辽宁省,2009,12030.94
210000,辽宁省,2008,10154.71
210000,辽宁省,2007,8071.52
210000,辽宁省,2006,7701.4
210000,辽宁省,2005,6950.2
210000,辽宁省,2004,6048.52
210000,辽宁省,2003,5434.88
210000,辽宁省,2002,4665.0
210000,辽宁省,2001,
210000,辽宁省,2000,
220000,吉林省,2019,
220000,吉林省,2018,
220000,吉林省,2017,
220000,吉林省,2016,
220000,吉林省,2015,
220000,吉林省,2014,8556.7
220000,吉林省,2013,7745.3257340153
220000,吉林省,2012,6875.1
220000,吉林省,2011,5835.315536445
220000,吉林省,2010,5147.2553855982
220000,吉林省,2009,4614.39
220000,吉林省,2008,3923.14
220000,吉林省,2007,3186.77
220000,吉林省,2006,3107.52
220000,吉林省,2005,2798.1
220000,吉林省,2004,2405.59
220000,吉林省,2003,2161.39
220000,吉林省,2002,1878.5
220000,吉林省,2001,
220000,吉林省,2000,
230000,黑龙江省,2019,
230000,黑龙江省,2018,
230000,黑龙江省,2017,
230000,黑龙江省,2016,
230000,黑龙江省,2015,
230000,黑龙江省,2014,10856.9
230000,黑龙江省,2013,10058.5982045676
230000,黑龙江省,2012,9269.2
230000,黑龙江省,2011,8147.4090807522
230000,黑龙江省,2010,7254.705733402
230000,黑龙江省,2009,6430.12
230000,黑龙江省,2008,5545.08
230000,黑龙江省,2007,4478.19
230000,黑龙江省,2006,4373.59
230000,黑龙江省,2005,4078.6
230000,黑龙江省,2004,3585.45
230000,黑龙江省,2003,3342.43
230000,黑龙江省,2002,2915.7
230000,黑龙江省,2001,
230000,黑龙江省,2000,
310000,上海市,2019,31727.73
310000,上海市,2018,27071.74
310000,上海市,2017,24338.48
310000,上海市,2016,23639.8015
310000,上海市,2015,23384.7295
310000,上海市,2014,21269.3
310000,上海市,2013,20486.2536071674
310000,上海市,2012,19506.7
310000,上海市,2011,17288.4547267085
310000,上海市,2010,15650.2391213502
310000,上海市,2009,13707.32
310000,上海市,2008,11464.15
310000,上海市,2007,8745.22
310000,上海市,2006,8730.0
310000,上海市,2005,7665.6
310000,上海市,2004,6116.13
310000,上海市,2003,5103.15
310000,上海市,2002,3891.5
310000,上海市,2001,
310000,上海市,2000,
320000,江苏省,2019,
320000,江苏省,2018,
320000,江苏省,2017,
320000,江苏省,2016,
320000,江苏省,2015,
320000,江苏省,2014,36580.6
320000,江苏省,2013,33823.9012806226
320000,江苏省,2012,30057.2
320000,江苏省,2011,25914.7428861877
320000,江苏省,2010,23334.4774635164
320000,江苏省,2009,20080.63
320000,江苏省,2008,16718.66
320000,江苏省,2007,13014.91
320000,江苏省,2006,12183.5
320000,江苏省,2005,10581.3
320000,江苏省,2004,8863.1
320000,江苏省,2003,7638.17
320000,江苏省,2002,6276.2
320000,江苏省,2001,
320000,江苏省,2000,
330000,浙江省,2019,
330000,浙江省,2018,
330000,浙江省,2017,
330000,浙江省,2016,
330000,浙江省,2015,
330000,浙江省,2014,30666.4
330000,浙江省,2013,28922.9666285319
330000,浙江省,2012,26406.8
330000,浙江省,2011,23470.2541813157
330000,浙江省,2010,20612.1587364033
330000,浙江省,2009,17833.44
330000,浙江省,2008,14504.72
330000,浙江省,2007,11162.82
330000,浙江省,2006,10473.47
330000,浙江省,2005,8746.0
330000,浙江省,2004,7364.06
330000,浙江省,2003,6452.21
330000,浙江省,2002,5212.7
330000,浙江省,2001,
330000,浙江省,2000,
340000,安徽省,2019,
340000,安徽省,2018,
340000,安徽省,2017,
340000,安徽省,2016,
340000,安徽省,2015,
340000,安徽省,2014,14599.4
340000,安徽省,2013,12924.9106888498
340000,安徽省,2012,11178.6
340000,安徽省,2011,9233.5727168536
340000,安徽省,2010,7788.4800257567
340000,安徽省,2009,6619.48
340000,安徽省,2008,5647.51
340000,安徽省,2007,4546.48
340000,安徽省,2006,4077.8
340000,安徽省,2005,3508.7
340000,安徽省,2004,2972.36
340000,安徽省,2003,2475.83
340000,安徽省,2002,2047.5
340000,安徽省,2001,
340000,安徽省,2000,
350000,福建省,2019,
350000,福建省,2018,
350000,福建省,2017,
350000,福建省,2016,
350000,福建省,2015,
350000,福建省,2014,12579.0
350000,福建省,2013,11847.2538050613
350000,福建省,2012,10507.4
350000,福建省,2011,9068.6190149864
350000,福建省,2010,8101.0193512653
350000,福建省,2009,7078.81
350000,福建省,2008,5853.47
350000,福建省,2007,4709.7
350000,福建省,2006,4478.3
350000,福建省,2005,3903.1
350000,福建省,2004,3322.26
350000,福建省,2003,2924.65
350000,福建省,2002,2430.5
350000,福建省,2001,
350000,福建省,2000,
360000,江西省,2019,
360000,江西省,2018,
360000,江西省,2017,
360000,江西省,2016,
360000,江西省,2015,
360000,江西省,2014,10790.7
360000,江西省,2013,9725.1728930784
360000,江西省,2012,8471.9
360000,江西省,2011,7123.5691883141
360000,江西省,2010,6113.2432333652
360000,江西省,2009,5092.67
360000,江西省,2008,4166.19
360000,江西省,2007,3360.79
360000,江西省,2006,3151.69
360000,江西省,2005,2752.9
360000,江西省,2004,2347.72
360000,江西省,2003,2015.45
360000,江西省,2002,1706.6
360000,江西省,2001,
360000,江西省,2000,
370000,山东省,2019,
370000,山东省,2018,
370000,山东省,2017,
370000,山东省,2016,
370000,山东省,2015,
370000,山东省,2014,33178.6
370000,山东省,2013,29796.0832923113
370000,山东省,2012,26343.3
370000,山东省,2011,22173.272530563
370000,山东省,2010,19648.2092455716
370000,山东省,2009,17082.76
370000,山东省,2008,14382.19
370000,山东省,2007,11438.1
370000,山东省,2006,10358.03
370000,山东省,2005,9035.1
370000,山东省,2004,7721.46
370000,山东省,2003,6768.35
370000,山东省,2002,5803.5
370000,山东省,2001,
370000,山东省,2000,
410000,河南省,2019,
410000,河南省,2018,
410000,河南省,2017,
410000,河南省,2016,
410000,河南省,2015,
410000,河南省,2014,22417.2
410000,河南省,2013,20232.1249377036
410000,河南省,2012,17469.0
410000,河南省,2011,14648.4271005062
410000,河南省,2010,12884.0479723167
410000,河南省,2009,11207.4
410000,河南省,2008,9515.82
410000,河南省,2007,7812.24
410000,河南省,2006,7367.37
410000,河南省,2005,6488.6
410000,河南省,2004,5607.3
410000,河南省,2003,4919.09
410000,河南省,2002,4196.0
410000,河南省,2001,
410000,河南省,2000,
420000,湖北省,2019,
420000,湖北省,2018,
420000,湖北省,2017,
420000,湖北省,2016,
420000,湖北省,2015,
420000,湖北省,2014,17247.6
420000,湖北省,2013,15507.025453645
420000,湖北省,2012,13419.7
420000,湖北省,2011,11291.5729532454
420000,湖北省,2010,9798.0452905673
420000,湖北省,2009,8163.46
420000,湖北省,2008,6745.42
420000,湖北省,2007,5430.8
420000,湖北省,2006,5103.6
420000,湖北省,2005,4465.8
420000,湖北省,2004,3860.7
420000,湖北省,2003,3296.52
420000,湖北省,2002,2754.5
420000,湖北省,2001,
420000,湖北省,2000,
430000,湖南省,2019,
430000,湖南省,2018,
430000,湖南省,2017,
430000,湖南省,2016,
430000,湖南省,2015,
430000,湖南省,2014,16413.6
430000,湖南省,2013,14539.6778466325
430000,湖南省,2012,12578.3
430000,湖南省,2011,10584.8120544165
430000,湖南省,2010,9022.5804656036
430000,湖南省,2009,7809.77
430000,湖南省,2008,6549.45
430000,湖南省,2007,5321.74
430000,湖南省,2006,4762.31
430000,湖南省,2005,4092.1
430000,湖南省,2004,3483.23
430000,湖南省,2003,3036.45
430000,湖南省,2002,2576.4
430000,湖南省,2001,
430000,湖南省,2000,
440000,广东省,2019,
440000,广东省,2018,
440000,广东省,2017,
440000,广东省,2016,
440000,广东省,2015,
440000,广东省,2014,52410.6
440000,广东省,2013,49891.34950109
440000,广东省,2012,45533.8
440000,广东省,2011,40405.0712748654
440000,广东省,2010,36318.6624581047
440000,广东省,2009,31411.43
440000,广东省,2008,27500.65
440000,广东省,2007,22243.39
440000,广东省,2006,21584.6
440000,广东省,2005,19051.4
440000,广东省,2004,16193.41
440000,广东省,2003,14061.77
440000,广东省,2002,11813.3
440000,广东省,2001,
440000,广东省,2000,
450000,广西壮族自治区,2019,
450000,广西壮族自治区,2018,
450000,广西壮族自治区,2017,
450000,广西壮族自治区,2016,
450000,广西壮族自治区,2015,
450000,广西壮族自治区,2014,10023.0
450000,广西壮族自治区,2013,9118.9104241699
450000,广西壮族自治区,2012,7900.8
450000,广西壮族自治区,2011,6653.9630480438
450000,广西壮族自治区,2010,5702.4347641893
450000,广西壮族自治区,2009,4686.2
450000,广西壮族自治区,2008,3851.95
450000,广西壮族自治区,2007,3185.26
450000,广西壮族自治区,2006,2946.21
450000,广西壮族自治区,2005,2561.3
450000,广西壮族自治区,2004,2240.1
450000,广西壮族自治区,2003,1971.67
450000,广西壮族自治区,2002,1733.5
450000,广西壮族自治区,2001,
450000,广西壮族自治区,2000,
460000,海南省,2019,
460000,海南省,2018,
460000,海南省,2017,
460000,海南省,2016,
460000,海南省,2015,
460000,海南省,2014,2672.3
460000,海南省,2013,2465.3821926322
460000,海南省,2012,2172.7
460000,海南省,2011,1875.0742211304
460000,海南省,2010,1667.1438012989
460000,海南省,2009,1282.85
460000,海南省,2008,1058.46
460000,海南省,2007,863.12
460000,海南省,2006,790.57
460000,海南省,2005,697.6
460000,海南省,2004,615.92
460000,海南省,2003,546.87
460000,海南省,2002,483.5
460000,海南省,2001,
460000,海南省,2000,
500000,重庆市,2019,17860.3966
500000,重庆市,2018,15907.2272
500000,重庆市,2017,14367.3801
500000,重庆市,2016,13399.4384
500000,重庆市,2015,12207.2838
500000,重庆市,2014,10774.1
500000,重庆市,2013,9622.3098592063
500000,重庆市,2012,8361.6
500000,重庆市,2011,6990.2463550016
500000,重庆市,2010,5839.6576275277
500000,重庆市,2009,4908.7
500000,重庆市,2008,3988.96
500000,重庆市,2007,3228.19
500000,重庆市,2006,2949.05
500000,重庆市,2005,2545.9
500000,重庆市,2004,2189.73
500000,重庆市,2003,1896.56
500000,重庆市,2002,1582.3
500000,重庆市,2001,
500000,重庆市,2000,
510000,四川省,2019,
510000,四川省,2018,
510000,四川省,2017,
510000,四川省,2016,
510000,四川省,2015,
510000,四川省,2014,25312.5
510000,四川省,2013,22597.3035467198
510000,四川省,2012,19438.3
510000,四川省,2011,16147.3456055544
510000,四川省,2010,13650.8263923131
510000,四川省,2009,11575.2
510000,四川省,2008,9646.67
510000,四川省,2007,7450.91
510000,四川省,2006,6787.72
510000,四川省,2005,5902.7
510000,四川省,2004,5019.44
510000,四川省,2003,4333.82
510000,四川省,2002,3665.2
510000,四川省,2001,
510000,四川省,2000,
520000,贵州省,2019,
520000,贵州省,2018,
520000,贵州省,2017,
520000,贵州省,2016,
520000,贵州省,2015,
520000,贵州省,2014,6620.6
520000,贵州省,2013,5919.0538442564
520000,贵州省,2012,4806.1
520000,贵州省,2011,3934.4773686217
520000,贵州省,2010,3244.9896883442
520000,贵州省,2009,2676.1
520000,贵州省,2008,2237.05
520000,贵州省,2007,1790.13
520000,贵州省,2006,1596.87
520000,贵州省,2005,1350.9
520000,贵州省,2004,1094.55
520000,贵州省,2003,912.83
520000,贵州省,2002,758.7
520000,贵州省,2001,
520000,贵州省,2000,
530000,云南省,2019,
530000,云南省,2018,
530000,云南省,2017,
530000,云南省,2016,
530000,云南省,2015,
530000,云南省,2014,9699.9
530000,云南省,2013,8969.8096879987
530000,云南省,2012,7744.7
530000,云南省,2011,6656.0341099491
530000,云南省,2010,5719.9663110849
530000,云南省,2009,4668.62
530000,云南省,2008,3783.8
530000,云南省,2007,3046.4
530000,云南省,2006,2854.86
530000,云南省,2005,2430.3
530000,云南省,2004,2052.12
530000,云南省,2003,1766.5
530000,云南省,2002,1499.8
530000,云南省,2001,
530000,云南省,2000,
540000,西藏自治区,2019,
540000,西藏自治区,2018,
540000,西藏自治区,2017,
540000,西藏自治区,2016,
540000,西藏自治区,2015,
540000,西藏自治区,2014,559.3
540000,西藏自治区,2013,496.0316472972
540000,西藏自治区,2012,403.9
540000,西藏自治区,2011,318.8288116558
540000,西藏自治区,2010,267.1316756835
540000,西藏自治区,2009,226.37
540000,西藏自治区,2008,184.89
540000,西藏自治区,2007,159.56
540000,西藏自治区,2006,139.8
540000,西藏自治区,2005,123.1
540000,西藏自治区,2004,107.49
540000,西藏自治区,2003,91.9
540000,西藏自治区,2002,70.4
540000,西藏自治区,2001,
540000,西藏自治区,2000,
610000,陕西省,2019,
610000,陕西省,2018,
610000,陕西省,2017,
610000,陕西省,2016,
610000,陕西省,2015,
610000,陕西省,2014,13428.9
610000,陕西省,2013,12249.3580154704
610000,陕西省,2012,10770.0
610000,陕西省,2011,9172.0919494871
610000,陕西省,2010,7957.7835283825
610000,陕西省,2009,6743.81
610000,陕西省,2008,5494.54
610000,陕西省,2007,4278.4
610000,陕西省,2006,4067.7
610000,陕西省,2005,3534.0
610000,陕西省,2004,2948.35
610000,陕西省,2003,2519.94
610000,陕西省,2002,2108.1
610000,陕西省,2001,
610000,陕西省,2000,
620000,甘肃省,2019,
620000,甘肃省,2018,
620000,甘肃省,2017,
620000,甘肃省,2016,
620000,甘肃省,2015,
620000,甘肃省,2014,6674.7
620000,甘肃省,2013,5878.4741134873
620000,甘肃省,2012,5050.1
620000,甘肃省,2011,4231.4086314914
620000,甘肃省,2010,3598.2360913248
620000,甘肃省,2009,3026.94
620000,甘肃省,2008,2461.89
620000,甘肃省,2007,1914.95
620000,甘肃省,2006,1825.4
620000,甘肃省,2005,1586.7
620000,甘肃省,2004,1384.88
620000,甘肃省,2003,1217.38
620000,甘肃省,2002,1042.4
620000,甘肃省,2001,
620000,甘肃省,2000,
630000,青海省,2019,
630000,青海省,2018,
630000,青海省,2017,
630000,青海省,2016,
630000,青海省,2015,
630000,青海省,2014,1640.7
630000,青海省,2013,1504.1716388447
630000,青海省,2012,1275.3
630000,青海省,2011,1043.5362662568
630000,青海省,2010,868.2176958515
630000,青海省,2009,711.29
630000,青海省,2008,580.48
630000,青海省,2007,442.3
630000,青海省,2006,406.28
630000,青海省,2005,348.9
630000,青海省,2004,299.28
630000,青海省,2003,260.5
630000,青海省,2002,222.4
630000,青海省,2001,
630000,青海省,2000,
640000,宁夏回族自治区,2019,
640000,宁夏回族自治区,2018,
640000,宁夏回族自治区,2017,
640000,宁夏回族自治区,2016,
640000,宁夏回族自治区,2015,
640000,宁夏回族自治区,2014,2054.6
640000,宁夏回族自治区,2013,1887.2256894905
640000,宁夏回族自治区,2012,1679.4
640000,宁夏回族自治区,2011,1351.2994677723
640000,宁夏回族自治区,2010,1170.2545478279
640000,宁夏回族自治区,2009,967.72
640000,宁夏回族自治区,2008,794.06
640000,宁夏回族自治区,2007,613.96
640000,宁夏回族自治区,2006,581.13
640000,宁夏回族自治区,2005,509.5
640000,宁夏回族自治区,2004,425.52
640000,宁夏回族自治区,2003,377.7
640000,宁夏回族自治区,2002,306.8
640000,宁夏回族自治区,2001,
640000,宁夏回族自治区,2000,
650000,新疆维吾尔自治区,2019,
650000,新疆维吾尔自治区,2018,
650000,新疆维吾尔自治区,2017,
650000,新疆维吾尔自治区,2016,
650000,新疆维吾尔自治区,2015,
650000,新疆维吾尔自治区,2014,6187.7
650000,新疆维吾尔自治区,2013,5884.4982609515
650000,新疆维吾尔自治区,2012,5281.8
650000,新疆维吾尔自治区,2011,4421.9326162977
650000,新疆维吾尔自治区,2010,3713.4671722602
