省份编码,省份,年份,城镇居民家庭平均每百户摩托车拥有量(辆),城镇居民家庭平均每百户助力车拥有量(辆),城镇居民家庭平均每百户家用汽车拥有量(辆),城镇居民家庭平均每百户洗衣机拥有量(台),城镇居民家庭平均每百户电冰箱拥有量(台),城镇居民家庭平均每百户彩色电视机拥有量(台),城镇居民家庭平均每百户计算机拥有量(台),城镇居民家庭平均每百户组合音响拥有量(套),城镇居民家庭平均每百户摄像机拥有量(架),城镇居民家庭平均每百户照相机拥有量(台),城镇居民家庭平均每百户钢琴拥有量(架),城镇居民家庭平均每百户其他中高档乐器拥有量(件),城镇居民家庭平均每百户微波炉拥有量(台),城镇居民家庭平均每百户空调拥有量(台),城镇居民家庭平均每百户淋浴热水器拥有量(台),城镇居民家庭平均每百户消毒碗柜拥有量(台),城镇居民家庭平均每百户洗碗机拥有量(台),城镇居民家庭平均每百户健身器材拥有量(套),城镇居民家庭平均每百户固定电话拥有量(部),城镇居民家庭平均每百户移动电话拥有量(部)
110000,北京市,2019,,,,,,,,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,,,,,,,,,,,
110000,北京市,2016,,,,,,,,,,,,,,,,,,,,
110000,北京市,2015,,,,,,,,,,,,,,,,,,,,
110000,北京市,2014,,,,,,,,,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,,,,,,
110000,北京市,2012,3.9,15.07,42.32,101.15,103.4,141.2,112.13,25.45,24.64,90.16,5,7.83,88.13,178.71,98.7,7.63,1.26,7.71,92.46,225.92
110000,北京市,2011,3.6,12.19,37.71,99.83,102.64,137.96,103.51,23.31,21.3,84.5,4.38,6.1,86.81,171.41,97.15,7.27,0.98,6.42,92.41,214.71
110000,北京市,2010,3.88,10.06,33.83,100.46,103.45,139.6,103.93,28.5,22.65,92.21,4.92,7.51,89.77,169.19,97.98,8.39,1.46,6.96,99.39,220.66
110000,北京市,2009,3.88,9.07,29.55,100.44,103.6,137.63,96.96,28.21,21.93,89.35,3.99,6.72,87.92,162.68,98.08,7.54,1.28,6.73,100.24,212.67
110000,北京市,2008,3.36,7.36,22.7,98.63,102.77,134.0,85.93,27.35,18.84,81.63,3.64,5.63,85.6,152.48,95.39,6.96,0.95,5.97,99.86,191.35
110000,北京市,2007,6.42,7.4,19.85,102.24,108.13,146.99,91.62,33.02,16.4,98.88,3.8,9.71,87.84,157.29,98.85,6.89,0.62,9.06,105.67,207.11
110000,北京市,2006,6.13,6.62,18.14,106.89,104.77,155.3,95.7,37.37,18.9,112.66,4.55,12.35,90.83,157.09,98.07,9.94,0.9,10.97,107.68,206.07
110000,北京市,2005,6.32,5.08,14.06,104.96,104.02,152.81,89.16,37.3,16.25,109.14,4.12,11.32,89.14,146.47,97.01,8.73,0.97,11.86,106.84,190.0
110000,北京市,2004,5.65,3.99,12.64,102.02,102.6,150.61,79.44,35.98,13.63,100.44,4.18,9.81,86.86,135.66,94.07,7.56,1.1,11.88,106.81,164.52
110000,北京市,2003,5.59,4.61,6.6,99.25,100.4,146.99,68.31,37.61,11.31,103.33,3.74,13.76,79.2,119.31,85.42,6.24,0.75,10.94,102.3,133.68
