年份,食品烟酒类农村居民消费价格指数(上年=100),食品类农村居民消费价格指数(上年=100),粮食类农村居民消费价格指数(上年=100),薯类类农村居民消费价格指数(上年=100),豆类类农村居民消费价格指数(上年=100),食用油类农村居民消费价格指数(上年=100),菜类农村居民消费价格指数(上年=100),鲜菜类农村居民消费价格指数(上年=100),畜肉类类农村居民消费价格指数(上年=100),禽肉类类农村居民消费价格指数(上年=100),水产品类农村居民消费价格指数(上年=100),蛋类类农村居民消费价格指数(上年=100),奶类类农村居民消费价格指数(上年=100),干鲜瓜果类类农村居民消费价格指数(上年=100),鲜瓜果类农村居民消费价格指数(上年=100),糖果糕点类类农村居民消费价格指数(上年=100),调味品类农村居民消费价格指数(上年=100),其他食品类类农村居民消费价格指数(上年=100),茶及饮料类农村居民消费价格指数(上年=100),烟酒类农村居民消费价格指数(上年=100),在外餐饮类农村居民消费价格指数(上年=100)
2019,107.9,110.3,100.5,102.7,101.6,102.1,104,104.2,131.9,110.1,100.9,105.4,101.5,110.8,113.5,100.7,101.4,101.3,101.5,100.9,103.3
2018,101.1,101.0,100.8,105.7,100.6,98.3,105.6,106.0,94.6,106.2,102.7,112.7,100.8,104.5,105.9,101.6,101.5,101.2,101.5,100.9,102.3
2017,98.9,98.0,101.6,97.3,100.5,99.1,93.1,92.3,93.5,98.6,103.6,95.2,100.1,102.8,104.0,102.0,101.6,100.5,101.2,100.5,102.1
2016,104.0,104.8,100.4,111.5,100.9,102.5,111.1,112.0,112.2,101.3,103.3,96.8,100.1,97.9,97.3,101.0,101.5,101.2,100.3,101.5,102.9
2015,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
