年份,交通和通信类农村居民消费价格指数(上年=100),交通类农村居民消费价格指数(上年=100),交通工具类农村居民消费价格指数(上年=100),交通工具用燃料类农村居民消费价格指数(上年=100),交通工具使用和维修类农村居民消费价格指数(上年=100),交通费类农村居民消费价格指数(上年=100),通信类农村居民消费价格指数(上年=100)
2019,98.6,98.2,98.8,94.1,101.6,100.7,99.3
2018,101.8,103.2,98.9,112.7,101.6,101.2,99.2
2017,101.4,102.5,99.0,110.1,102.1,101.4,99.3
2016,98.9,98.7,98.2,96.1,101.5,101.5,99.3
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,,,,,,,
2011,,,,,,,
2010,,,,,,,
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
