年份,教育文化和娱乐类农村居民消费价格指数(上年=100),教育类农村居民消费价格指数(上年=100),教育用品类农村居民消费价格指数(上年=100),教育服务类农村居民消费价格指数(上年=100),文化娱乐类农村居民消费价格指数(上年=100),文娱耐用消费品类农村居民消费价格指数(上年=100),其他文娱用品类农村居民消费价格指数(上年=100),文化娱乐服务类农村居民消费价格指数(上年=100),旅游类农村居民消费价格指数(上年=100)
2019,101.9,102.5,102.1,102.5,100.5,99.1,102.2,100.5,101
2018,102.2,102.7,102.3,102.7,101.0,98.9,101.7,100.4,104
2017,102.3,102.8,102.2,102.9,101.1,99.6,101.1,100.6,104
2016,101.9,102.6,101.2,102.7,100.0,97.5,100.8,100.7,102.9
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,,,,,,,,,
2011,,,,,,,,,
2010,,,,,,,,,
2009,,,,,,,,,
2008,,,,,,,,,
2007,,,,,,,,,
2006,,,,,,,,,
2005,,,,,,,,,
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
