年份,各类医疗卫生机构平均住院日,医院平均住院日,综合医院平均住院日,中医医院平均住院日,中西医结合医院平均住院日,民族医院平均住院日,专科医院平均住院日,护理院平均住院日,基层医疗卫生机构平均住院日,社区卫生服务中心(站)平均住院日,卫生院平均住院日,街道卫生院平均住院日,乡镇卫生院平均住院日,门诊部平均住院日,专业公共卫生机构平均住院日,专科疾病防治院(所、站)平均住院日,妇幼保健院(所、站)平均住院日,其他医疗卫生机构平均住院日,疗养院平均住院日,临床检验中心平均住院日
2019,8.6,9.1,8.33,9.33,9.87,9.95,14.33,49.09,6.72,9.56,6.49,7.35,6.48,,6.01,18.56,5.48,9.8,9.8,
2018,8.7,9.3,8.5,9.5,10.4,9.8,14.3,47.2,6.7,9.7,6.4,7.4,6.4,,6.1,18.3,5.5,9.3,9.3,
2017,8.6,9.27,8.57,9.6,10.25,10.04,14.16,44.73,6.53,9.19,6.31,6.9,6.31,,6.03,18.32,5.44,9.82,9.82,
2016,8.754076065,9.407321207,8.6441462259,9.7714931735,10.4785812133,10.3656419714,14.2080553639,51.2911701316,6.662148845,9.5969101422,6.4405495975,7.1561652032,6.4,,6.0024646376,16.3793783769,5.4108401379,8.4427463073,,
2015,8.9,9.6,8.9,9.9,10.4,10.4,14.5,56.8,6.6,9.7,6.4,7.5,6.4,,6.2,16.7,5.5,9.7,9.7,
2014,8.859793166,9.6468773212,9.0200084712,9.9720331747,10.5859689366,10.7518110087,14.4417275655,77.8394009639,6.4975785824,9.5545285567,6.2724628866,7.2795376493,6.2671714911,,6.2303434778,14.9553031423,5.6811810437,8.7540845757,8.7540845757,
2013,8.85117690539783,9.84150826642084,9.22526807927148,10.126359953385,10.9437705015882,10.934754377323,14.8901111640921,76.6060200141833,6.16023676478146,9.37241367153107,5.92844711802973,7.23490816106704,5.9213364129,,6.18053476752902,15.7664244069366,5.54069512568651,9.53099943077281,9.53099943077281,
2012,8.84666783402147,10.0072176820792,9.3934706365969,10.1631581063932,10.8152097089184,11.2088604777464,15.5047711837694,72.637178786222,5.92852311065366,9.21529142277354,5.69023436523665,7.78053892591338,5.6774524306,,6.03402633607874,16.8592716615888,5.4370048739055,8.77581818561421,8.77581818561421,
2011,9.00314303642151,10.3046999487404,9.66895174734369,10.4899680419239,10.8617074423976,11.8988240957227,16.1048865416103,69.9571993486857,5.86972961438818,9.06717687646691,5.59442228943582,7.25200185979232,5.5832211584,5.98585681645088,6.01163523468168,16.0725949070136,5.43640658914032,9.08208712052964,9.08208712052964,
2010,8.87219587701078,10.4875531757181,9.77950686295831,10.6388376765461,,,17.3373925174133,,5.46564264185952,9.25265225046273,5.19145403220441,7.11983733455531,5.2,5.73611495815812,5.99150520399157,17.1999908162797,5.4008673846747,10.3269704785212,10.3269704785212,
2009,8.6,10.5,9.9,10.4,,,17.0,,,6.8,4.8,,4.7909529528,4.1,,16.6,5.4,,8.7,
2008,8.6108100421243,10.7210968942643,10.0950259550358,10.4577439490331,,,17.6,89.5390060463059,,8.51667057415382,4.46772929660676,6.94830966000386,4.4355387637,3.7206243530152,,16.3202753587369,5.36704245540481,,11.3198901469908,
2007,,10.8,,,,,,,,,,,4.817871131,,,,,,,
2006,,10.9,,,,,,,,,,,4.62,,,,,,,
2005,,10.9,,,,,,,,,,,4.63,,,,,,,
2004,,10.8,,,,,,,,,,,4.43,,,,,,,
2003,,11.0,,,,,,,,,,,4.21,,,,,,,
2002,,10.9,,,,,,,,,,,3.99,,,,,,,
2001,,,,,,,,,,,,,4.5,,,,,,,
2000,,,,,,,,,,,,,4.6,,,,,,,
