年份,各类医疗卫生机构入院人数,医院入院人数,综合医院入院人数,中医医院入院人数,中西医结合医院入院人数,民族医院入院人数,专科医院入院人数,护理院入院人数,基层医疗卫生机构入院人数,社区卫生服务中心(站)入院人数,卫生院入院人数,街道卫生院入院人数,乡镇卫生院入院人数,门诊部入院人数,专业公共卫生机构入院人数,专科疾病防治院(所、站)入院人数,妇幼保健院(所、站)入院人数,其他医疗卫生机构入院人数,疗养院入院人数,临床检验中心入院人数
2019,26596.1246,21183.0536,15841.6143,2878.0126,313.0451,96.7392,2023.5984,30.044,4295.14,349.8877,3934.3023,24.9165,3909.3858,10.9087,1091.2279,44.0209,1047.207,26.7031,26.7031,
2018,25454.3312,20016.9464,15040.347,2668.9218,289.0507,92.5541,1899.595,26.4777,4376.1848,354.026,4009.9894,24.9029,3985.0865,,1029.3051,48.336,980.9691,31.8949,31.8949,
2017,24435.8844,18915.428,14360.1,2492.9,261.3,74.8,1705.8,20.5,4450.0,365.4,4073.2,26.1,4047.1701,11.4,1029.7,47.5,982.2,40.7,40.7,
2016,22727.5798,17528.0,13402.0,2279.0,228.9628,59.5956,1545.5973,12.6481,4164.5314,328.7035,3819.1507,19.2092,3799.9415,16.6772,990.6385,54.3233,936.3152,44.7172,,
2015,21053.8,16086.8,12335.4,2101.8,203.3,56.2,1380.5,9.6,4036.6,322.1,3693.9,17.8,3676.0562,20.4,887.1,51.3,835.7,43.2,43.2,
2014,20441.1818,15375.1386,11844.1343,2010.5654,177.8587,49.2565,1286.8436,6.4801,4093.9652,321.0337,3752.1456,19.5403,3732.6053,21.0,928.8865,55.4321,873.4544,43.0064,43.0064,
2013,19215.4557,14007.4335,10847.9822,1826.6728,155.6275,40.6633,1132.3731,4.1146,4300.4699,322.1516,3958.0146,20.8631,3937.1515,20.3037,860.1517,54.1794,805.9723,47.22,47.22,
2012,17857.0984,12727.436,9914.8623,1641.6838,129.7442,34.0941,1004.0568,2.9948,4254.0,309.0,3931.0,23.0,3907.5111,14.22,824.9695,,781.7065,50.7833,50.7833,
2011,15297.6533,10754.7387,8431.2967,1349.2646,98.4419,29.2112,844.1212,2.4031,3774.6743,289.5122,3472.2137,23.4318,3448.7819,12.9381,720.5805,38.2835,682.297,47.6598,47.6598,
2010,14173.5485,9523.7665,7505.4624,1167.7235,91.3493,24.25,732.8438,2.1375,3949.8608,261.594,3676.9451,46.5649,3630.3802,11.3114,654.6113,32.6388,621.9725,45.3099,45.3099,
2009,13256.2637,8488.0298,6713.002,1034.3274,76.5424,21.4717,641.132,1.5543,4111.2629,224.7823,3870.1071,62.3849,3807.7222,16.3661,602.3397,30.1393,572.2004,54.6313,54.6313,
2008,11482.8056,7392.0221,5871.6932,888.694,,,550.0,,,141.0,3355.0,41.8519,3312.7226,11.8198,,27.9045,519.596,,36.0,
2007,,6487.1998,,,,,,,,,,,2662.1542,,,,,,,
2006,,5562.1907,,,,,,,,,,,1836.0548,,,,,,,
2005,,5108.0664,,,,,,,,,,,1621.9215,,,,,,,
2004,,4673.3415,,,,,,,,,,,1599.0,,,,,,,
2003,,4158.9323,,,,,,,,,,,1608.0,,,,,,,
2002,,3996.9323,,,,,,,,,,,1625.0,,,,,,,
2001,,,,,,,,,,,,,1700.0,,,,,,,
2000,,,,,,,,,,,,,1708.3335,,,,,,,
