年份,各类医疗卫生机构平均开放病床,医院平均开放病床,综合医院平均开放病床,中医医院平均开放病床,中西医结合医院平均开放病床,民族医院平均开放病床,专科医院平均开放病床,护理院平均开放病床,基层医疗卫生机构平均开放病床,社区卫生服务中心(站)平均开放病床,卫生院平均开放病床,街道卫生院平均开放病床,乡镇卫生院平均开放病床,门诊部平均开放病床,专业公共卫生机构平均开放病床,专科疾病防治院(所、站)平均开放病床,妇幼保健院(所、站)平均开放病床,其他医疗卫生机构平均开放病床,疗养院平均开放病床,临床检验中心平均开放病床
2019,8333975,6529102,4350567,894823,110324,38647,1065226,69514,1513572,205077,1308389,11619,1296770,,270015,37701,232314,21287,21287,
2018,7965374,6204184,4204628,836707,102606,35939,970175,54129,1477437,202396,1274974,11013,1263961,,260478,38128,222350,23275,23275,
2017,7520273,5824833,3996247,784417,93260,30972,877356,42581,1422011,191397,1230503,10947,1219556,,247791,37366,210425,25638,25638,
2016,7065836.37808219,5441600.57534247,3782150.17534247,733030.438356164,83508.3452054794,23962.3342465753,787038.994520548,31910.2876712329,1362536.0109589,181429.142465753,1180976.60547945,8225.1205479452,1172751.48493151,,234222.347945205,37679.9178082192,196542.430136986,27477.4438356164,,
2015,6675618,5093417,3574661,688535,74058,22624,709518,24021,1329653,178152,1151373,7973,1143400,,223702,37349,186353,28846,28846,
2014,6297848.04383562,4749848.52054795,3363323.33150685,638712.279452055,63680.4273972603,20599.3835616438,644971.153424658,18561.9452054795,1303749.49589041,175937.756164384,1127509.73972603,8494.2328767123,1119015.50684932,,212214.852054795,35024.8109589041,177190.04109589,32035.1753424658,32035.1753424658,
2013,5886039.5369863,4380685.5260274,3122119.27945205,583978.55890411,55198.7671232877,17341.5315068493,588098.920547945,13948.4684931507,1266885.05205479,172083.054794521,1094510.07945205,8652.87123287671,1085857.20821918,,204360.84109589,35762.6082191781,168598.232876712,34108.1178082192,34108.1178082192,
2012,5428096.06284153,3980482.67759563,2854665.61202186,524677.614754098,47010.131147541,13784.4153005464,529839.43442623,10505.4699453552,1224787.95901639,170280.513661202,1054387.74590164,9463.87158469945,1044923.87431694,,186841.87431694,32540.7759562842,154301.098360656,35983.5519125683,35983.5519125683,
2011,4916291.19452055,3553682.74246575,2566265.91780822,456983.054794521,36599.2931506849,12710.8301369863,473364.238356164,7759.40821917808,1157211.06849315,163367.293150685,986381.717808219,9613.4301369863,976768.287671233,7351.05753424658,168146.295890411,29578.9068493151,138567.389041096,37251.0876712328,37249.0821917808,2.0
2010,4581788.75342466,3269161.3890411,2367032.99178082,411542.775342466,,,437740.328767123,,1119993.85205479,147524.712328767,965268.835616438,17926.4602739726,947342.375342466,7088.30410958904,156459.912328767,26529.4520547945,129930.460273973,36173.6,36171.6,2.0
2009,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
