年份,各类医疗卫生机构病床使用率,医院病床使用率,综合医院病床使用率,中医医院病床使用率,中西医结合医院病床使用率,民族医院病床使用率,专科医院病床使用率,护理院病床使用率,基层医疗卫生机构病床使用率,社区卫生服务中心(站)病床使用率,卫生院病床使用率,街道卫生院病床使用率,乡镇卫生院病床使用率,门诊部病床使用率,专业公共卫生机构病床使用率,专科疾病防治院(所、站)病床使用率,妇幼保健院(所、站)病床使用率,其他医疗卫生机构病床使用率,疗养院病床使用率,临床检验中心病床使用率
2019,78.02,83.55,84.83,83.45,78.15,70.91,80.22,71.7,56.3,49.24,57.41,46.63,57.51,,68.86,68.71,68.88,42.89,42.89,
2018,84.2,84.2,85.1,84.8,80.0,71.6,81.3,72.2,58.4,51.4,59.5,51.8,59.6,,67.9,67.9,67.9,48.2,48.2,
2017,84.97,84.97,86.03,85.01,80.7,68.27,81.6,75.18,60.29,54.35,61.21,50.34,61.31,,70.48,67.58,70.99,53.54,53.54,
2016,85.2935502896,85.2935502896,93.6539164116,87.0777236001,80.5296138724,70.6725234992,82.5520148898,76.2908084351,59.7157396935,54.0877402351,60.5770258945,50.8597950349,60.6,,72.2508808718,70.9024319484,72.5093972877,51.1656634528,,
2015,85.4,85.4,86.1,84.7,81.5,71.4,83.2,76.5,59.1,54.2,59.9,52.7,59.9,,69.8,71.4,69.4,53.4,53.4,
2014,81.6,88.049771058,88.7703881269,87.3443180723,84.2109117117,71.3309681431,86.1780659185,78.5123193572,59.7108275902,55.03036013,60.4409999872,53.1926738367,60.4960206459,,74.9521281876,73.9743474215,75.1454042108,53.3744798847,53.3744798847,
2013,82.4187723433345,88.9907798173806,89.7600329236147,88.5827957823222,85.7210430052289,72.115038108688,86.3749703910123,78.0967753910627,61.8879713090446,56.1944323953796,62.7865086539413,56.9310432391117,62.833169106,,73.6965424319891,73.3124181436308,73.7780218532003,53.1808400089225,53.1808400089225,
2012,82.7961546131977,90.0830150304561,91.0082483376696,88.5631320824554,85.9020157729051,74.6444864478297,87.5987721262065,78.8343153007463,61.0227839750105,54.5974844979358,62.0596953016385,60.5498275437478,62.0733701682,,76.0174971015934,71.9084689373333,76.8840558384517,53.0347122774674,53.0347122774674,
2011,80.3467272205165,88.4752614817989,89.3019982575611,86.3375887892249,83.41105771786,74.2943834111478,86.9577267288632,80.6392875604127,57.3104216268286,53.4842238504439,58.1170813898724,57.6032046492037,58.1221390051,33.9300728699552,73.6838947714774,67.9048129539923,74.9175105878457,50.6001323779779,50.6001398214096,
2010,78.9545818318448,86.699648657833,87.4704833937404,84.0931630249884,,,85.7275158187859,,58.2787201013892,54.5343301665549,59.0618665748949,60.1694930796414,59.04,29.4054531659523,71.7751939189885,66.3964578008417,72.8734346368378,50.2112719152483,50.2140481967462,
2009,77.7,84.7,85.6,81.8,,,83.5,,,58.5,60.6,,60.7036175121,34.6,,63.5,70.7,,40.6,
2008,74.6477211976501,81.4532377910521,82.086952177219,77.3361018283224,,,82.2,85.0242965180576,,57.5566701129357,55.7995236617704,54.9587441243552,55.8174670378,28.3459524395559,,58.6337703131156,68.9915946786012,,49.6661717043702,
2007,70.8630634178794,78.2,,,,,,,,,,,48.4043234205,,,,,,,
2006,64.9,72.4,,,,,,,,,,,39.35,,,,,,,
2005,62.9,70.3,,,,,,,,,,,37.7,,,,,,,
2004,61.3,68.4,,,,,,,,,,,37.14,,,,,,,
2003,58.7,65.3,,,,,,,,,,,36.24,,,,,,,
2002,57.4,64.6,,,,,,,,,,,34.72,,,,,,,
2001,,,,,,,,,,,,,31.3,,,,,,,
2000,60.8,,,,,,,,,,,,33.2,,,,,,,
