年份,各类医疗卫生机构出院者占用总床日数,医院出院者占用总床日数,综合医院出院者占用总床日数,中医医院出院者占用总床日数,中西医结合医院出院者占用总床日数,民族医院出院者占用总床日数,专科医院出院者占用总床日数,护理院出院者占用总床日数,基层医疗卫生机构出院者占用总床日数,社区卫生服务中心(站)出院者占用总床日数,卫生院出院者占用总床日数,街道卫生院出院者占用总床日数,乡镇卫生院出院者占用总床日数,门诊部出院者占用总床日数,专业公共卫生机构出院者占用总床日数,专科疾病防治院(所、站)出院者占用总床日数,妇幼保健院(所、站)出院者占用总床日数,其他医疗卫生机构出院者占用总床日数,疗养院出院者占用总床日数,临床检验中心出院者占用总床日数
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,1374314002.0,1105099476.0,813507427.0,140700735.0,10675049.0,3460654.0,135251881.0,1503730.0,221357676.0,26965240.0,193602933.0,1684524.0,191918409.0,785943.0,43118598.0,6234656.0,36883942.0,4738252.0,4738252.0,
2010,1254350157.0,994003966.0,731099171.0,123420475.0,,,125597498.0,,216546291.0,24594660.0,191264676.0,3464819.0,187799857.0,683395.0,39099125.0,5618635.0,33480490.0,4700775.0,4700775.0,
2009,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
