年份,各类医疗卫生机构实际占用总床日数,医院实际占用总床日数,综合医院实际占用总床日数,中医医院实际占用总床日数,中西医结合医院实际占用总床日数,民族医院实际占用总床日数,专科医院实际占用总床日数,护理院实际占用总床日数,基层医疗卫生机构实际占用总床日数,社区卫生服务中心(站)实际占用总床日数,卫生院实际占用总床日数,街道卫生院实际占用总床日数,乡镇卫生院实际占用总床日数,门诊部实际占用总床日数,专业公共卫生机构实际占用总床日数,专科疾病防治院(所、站)实际占用总床日数,妇幼保健院(所、站)实际占用总床日数,其他医疗卫生机构实际占用总床日数,疗养院实际占用总床日数,临床检验中心实际占用总床日数
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2011,1441778276.0,1147607486.0,836480262.0,144010075.0,11142668.0,3446853.0,150243775.0,2283853.0,242068928.0,31892141.0,209238537.0,2021240.0,207217297.0,910390.0,45222310.0,7331208.0,37891102.0,6879552.0,6879552.0,
2010,1320399235.0,1034538275.0,755716148.0,126318958.0,,,136971327.0,,238242100.0,29364839.0,208088614.0,3936985.0,204151629.0,760787.0,40989283.0,6429335.0,34559948.0,6629577.0,6629577.0,
2009,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
