省份编码,省份,年份,社区服务机构数(个),社区服务中心数(个),社区服务站数(个),其它社区服务设施数(个),便民、利民服务网点(个),社区服务机构覆盖率(%)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,11913,,,,,94.9964260185847
110000,北京市,2015,11528,199,6409,4654,5247,166.8065402981
110000,北京市,2014,10911,193,6350,4351,10372,154.0
110000,北京市,2013,10467,192,6315,3942,11004,154.0
110000,北京市,2012,10267,186,6040,4023,11169,152.0
110000,北京市,2011,9339,180,5231,3928,12354,139.1
110000,北京市,2010,4288,175,3796,317,11894,64.6464646464647
110000,北京市,2009,3150,178,2634,338,6284,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,2952,,,,,40.8303854030907
120000,天津市,2015,2069,345,1307,278,4491,38.6656699682
120000,天津市,2014,1793,273,1263,244,5683,33.1
120000,天津市,2013,1739,215,1282,231,10501,33.1
120000,天津市,2012,1321,212,761,338,11789,25.8
120000,天津市,2011,1484,149,550,785,13021,28.32
120000,天津市,2010,1295,215,373,707,13569,24.1965620328849
120000,天津市,2009,1946,141,1315,490,14763,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,37598,,,,,4.89312775662533
130000,河北省,2015,37106,697,1876,9177,3136,70.1317356215
130000,河北省,2014,10028,785,1515,7701,4338,48.0
130000,河北省,2013,25148,424,1564,23128,3397,48.0
130000,河北省,2012,5504,302,3066,2108,3232,10.6
130000,河北省,2011,6173,284,1238,4651,2309,11.82
130000,河北省,2010,5462,208,1027,4227,5664,10.4716257668712
130000,河北省,2009,5846,188,2819,2839,29722,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,5294,,,,,8.23073639975048
140000,山西省,2015,3222,536,1669,578,5023,10.5927606273
140000,山西省,2014,2910,530,1827,529,5400,10.1
140000,山西省,2013,3069,435,2293,323,6263,10.1
140000,山西省,2012,2021,334,1394,279,6358,6.7
140000,山西省,2011,1864,262,1117,485,6610,6.2
140000,山西省,2010,2064,266,1197,601,19537,6.86581065797352
140000,山西省,2009,2080,176,1393,511,28845,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
