省份编码,省份,年份,孤儿数(人),家庭儿童收养登记总数(件),中国公民收养登记数(件),外国公民收养登记数(件)
110000,北京市,2019,1747,23,21,2
110000,北京市,2018,2138,144,121,23
110000,北京市,2017,2149,215,177,38
110000,北京市,2016,2071,140,96,44
110000,北京市,2015,2152,174,122,52
110000,北京市,2014,2287,199,145,54
110000,北京市,2013,2374,218,149,69
110000,北京市,2012,2488,168,123,45
110000,北京市,2011,2473,387,302,85
110000,北京市,2010,,,,
110000,北京市,2009,,,,
110000,北京市,2008,,,,
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,635,26,13,13
120000,天津市,2018,687,55,30,25
120000,天津市,2017,815,44,22,22
120000,天津市,2016,805,62,20,42
120000,天津市,2015,862,87,61,26
120000,天津市,2014,884,129,110,19
120000,天津市,2013,835,166,123,43
120000,天津市,2012,904,177,145,32
120000,天津市,2011,119,213,167,46
120000,天津市,2010,,,,
120000,天津市,2009,,,,
120000,天津市,2008,,,,
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,14049,360,345,15
130000,河北省,2018,16241,302,280,22
130000,河北省,2017,16744,277,250,27
130000,河北省,2016,16479,255,219,36
130000,河北省,2015,16060,377,348,29
130000,河北省,2014,15663,400,346,54
130000,河北省,2013,15278,439,391,48
130000,河北省,2012,15979,453,390,63
130000,河北省,2011,9188,551,510,41
130000,河北省,2010,,,,
130000,河北省,2009,,,,
130000,河北省,2008,,,,
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,7778,105,71,34
140000,山西省,2018,10228,238,148,90
140000,山西省,2017,12228,229,95,134
140000,山西省,2016,12850,244,102,142
140000,山西省,2015,13545,258,85,173
140000,山西省,2014,15349,252,78,174
140000,山西省,2013,16115,255,97,158
140000,山西省,2012,15569,302,116,186
140000,山西省,2011,12208,401,248,153
140000,山西省,2010,,,,
140000,山西省,2009,,,,
140000,山西省,2008,,,,
140000,山西省,2007,,,,
140000,山西省,2006,,,,
140000,山西省,2005,,,,
140000,山西省,2004,,,,
140000,山西省,2003,,,,
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,2725,120,88,32
150000,内蒙古自治区,2018,4182,185,125,60
150000,内蒙古自治区,2017,4848,246,178,68
150000,内蒙古自治区,2016,5185,197,102,95
150000,内蒙古自治区,2015,5526,183,84,99
150000,内蒙古自治区,2014,5883,225,132,93
150000,内蒙古自治区,2013,6127,198,155,43
150000,内蒙古自治区,2012,6902,237,165,72
150000,内蒙古自治区,2011,6019,185,185,
150000,内蒙古自治区,2010,,,,
150000,内蒙古自治区,2009,,,,
150000,内蒙古自治区,2008,,,,
150000,内蒙古自治区,2007,,,,
150000,内蒙古自治区,2006,,,,
150000,内蒙古自治区,2005,,,,
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,,,,
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,5798,94,63,31
210000,辽宁省,2018,6429,158,148,10
210000,辽宁省,2017,6830,178,155,23
210000,辽宁省,2016,7233,183,160,23
210000,辽宁省,2015,7727,221,166,55
210000,辽宁省,2014,7760,184,172,12
210000,辽宁省,2013,7702,208,193,15
210000,辽宁省,2012,8192,240,215,25
210000,辽宁省,2011,5446,279,251,28
210000,辽宁省,2010,,,,
210000,辽宁省,2009,,,,
210000,辽宁省,2008,,,,
210000,辽宁省,2007,,,,
210000,辽宁省,2006,,,,
210000,辽宁省,2005,,,,
210000,辽宁省,2004,,,,
210000,辽宁省,2003,,,,
210000,辽宁省,2002,,,,
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,3958,21,6,15
220000,吉林省,2018,4252,51,30,21
220000,吉林省,2017,4963,24,10,14
220000,吉林省,2016,5106,23,7,16
220000,吉林省,2015,5196,32,17,15
220000,吉林省,2014,5401,43,21,22
220000,吉林省,2013,5880,37,18,19
220000,吉林省,2012,5905,59,26,33
220000,吉林省,2011,4338,65,65,
220000,吉林省,2010,,,,
220000,吉林省,2009,,,,
220000,吉林省,2008,,,,
220000,吉林省,2007,,,,
220000,吉林省,2006,,,,
220000,吉林省,2005,,,,
220000,吉林省,2004,,,,
220000,吉林省,2003,,,,
220000,吉林省,2002,,,,
220000,吉林省,2001,,,,
