省份编码,省份,年份,社会组织单位数(个),社会团体单位数(个),基金会单位数(个),民办非企业单位单位数(个),社会组织职工人数(人),社会组织女性职工人数(人),社会团体职工人数(人),基金会职工人数(人),民办非企业单位职工人数(人),社会组织增加值(亿元)
110000,北京市,2019,12849,4556,771,7522,,,,,,
110000,北京市,2018,12530,4539,729,7262,,,,,,
110000,北京市,2017,12164,4586,609,6969,,,,,,
110000,北京市,2016,10754,4267,515,5972,,,,,,
110000,北京市,2015,9721,3961,382,5378,124162,51499,39591,2852,81719,
110000,北京市,2014,9083,3730,318,5035,104147,37214,37242,2304,64601,
110000,北京市,2013,8560,3573,275,4712,119336,47079,34641,2301,82394,
110000,北京市,2012,7993,3392,219,4382,112571,40847,32205,2006,78360,23.28
110000,北京市,2011,7589,3314,186,4089,106758,37023,30961,1586,74211,32.97
110000,北京市,2010,7173,3220,144,3809,100597,26324,30474,702,69421,30.5585
110000,北京市,2009,6856,3167,120,3569,97220,28452,28716,344,68160,17.13349
110000,北京市,2008,6559,3106,103,3350,94910,26441,27740,308,66862,14.17526
110000,北京市,2007,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,5614,2272,99,3243,,,,,,
120000,天津市,2018,5148,2103,85,2960,,,,,,
120000,天津市,2017,5048,2044,77,2927,,,,,,
120000,天津市,2016,5062,2153,69,2840,,,,,,
120000,天津市,2015,5137,2408,70,2659,40676,16878,12053,111,28512,
120000,天津市,2014,4729,2215,64,2450,38270,15926,11483,111,26676,
120000,天津市,2013,4516,2156,56,2304,42573,18833,8728,345,33500,
120000,天津市,2012,4235,2018,53,2164,44131,18928,8670,327,35134,4.15
120000,天津市,2011,4190,2020,45,2125,44365,19547,8768,302,35295,4.05
120000,天津市,2010,4155,2039,43,2073,43747,20153,8695,215,34837,3.71237
120000,天津市,2009,4143,2055,39,2049,35414,15599,8837,195,26382,3.49871
120000,天津市,2008,4019,2013,37,1969,27775,12776,8231,186,19358,3.06489
120000,天津市,2007,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,30026,10329,144,19553,,,,,,
130000,河北省,2018,26427,9892,121,16414,,,,,,
130000,河北省,2017,21928,9141,103,12684,,,,,,
130000,河北省,2016,20916,10181,85,10650,,,,,,
130000,河北省,2015,19328,9871,61,9396,369688,155341,235453,274,133961,
130000,河北省,2014,17642,9810,49,7783,260419,71292,131274,271,128874,
130000,河北省,2013,16530,9536,49,6945,248136,65881,132639,271,115226,
130000,河北省,2012,16534,9909,39,6586,231258,62245,121963,382,108913,10.94
130000,河北省,2011,15823,9660,30,6133,204062,56894,109604,157,94301,4.84
130000,河北省,2010,15283,9199,25,6059,154997,36681,85639,78,69280,3.81993
130000,河北省,2009,15068,9197,24,5847,143116,35930,80284,75,62757,3.84245
130000,河北省,2008,14884,9000,20,5864,124617,33114,66978,63,57576,3.21035
130000,河北省,2007,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
