省份编码,省份,年份,社会福利企业机构数(个),社会福利企业残疾职工(万人),社会福利企业利润额(亿元)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,,,
110000,北京市,2016,,,
110000,北京市,2015,,,
110000,北京市,2014,574,1.0443,0.43715
110000,北京市,2013,612,1.12,0.83799
110000,北京市,2012,664,1.2,0.6
110000,北京市,2011,670,1.3,0.8
110000,北京市,2010,701,1.2,1.1
110000,北京市,2009,,,
110000,北京市,2008,,,
110000,北京市,2007,,,
110000,北京市,2006,,,
110000,北京市,2005,,,
110000,北京市,2004,,,
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,,,
120000,天津市,2016,,,
120000,天津市,2015,,,
120000,天津市,2014,223,0.6412,0.23412
120000,天津市,2013,231,0.7057,2.90726
120000,天津市,2012,248,0.8,1.5
120000,天津市,2011,318,0.9,2.4
120000,天津市,2010,336,0.8,2.4
120000,天津市,2009,,,
120000,天津市,2008,,,
120000,天津市,2007,,,
120000,天津市,2006,,,
120000,天津市,2005,,,
120000,天津市,2004,,,
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,,,
130000,河北省,2016,,,
130000,河北省,2015,,,
130000,河北省,2014,541,1.3576,1.37563
130000,河北省,2013,753,1.81,1.15598
130000,河北省,2012,924,2.1,2.2
130000,河北省,2011,1021,2.2,3.4
130000,河北省,2010,1071,2.4,4.2
130000,河北省,2009,,,
130000,河北省,2008,,,
130000,河北省,2007,,,
130000,河北省,2006,,,
130000,河北省,2005,,,
130000,河北省,2004,,,
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,,,
140000,山西省,2016,,,
140000,山西省,2015,,,
140000,山西省,2014,378,1.4796,0.54727
140000,山西省,2013,424,1.7187,0.43028
140000,山西省,2012,459,1.7,0.5
140000,山西省,2011,516,1.8,0.5
140000,山西省,2010,555,1.8,0.6
140000,山西省,2009,,,
140000,山西省,2008,,,
140000,山西省,2007,,,
140000,山西省,2006,,,
140000,山西省,2005,,,
140000,山西省,2004,,,
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,,,
150000,内蒙古自治区,2018,,,
150000,内蒙古自治区,2017,,,
150000,内蒙古自治区,2016,,,
150000,内蒙古自治区,2015,,,
150000,内蒙古自治区,2014,144,0.4807,0.26028
150000,内蒙古自治区,2013,163,0.526,0.402
150000,内蒙古自治区,2012,171,0.6,0.4
150000,内蒙古自治区,2011,212,0.6,0.5
150000,内蒙古自治区,2010,227,0.6,0.4
150000,内蒙古自治区,2009,,,
150000,内蒙古自治区,2008,,,
150000,内蒙古自治区,2007,,,
150000,内蒙古自治区,2006,,,
150000,内蒙古自治区,2005,,,
150000,内蒙古自治区,2004,,,
150000,内蒙古自治区,2003,,,
150000,内蒙古自治区,2002,,,
150000,内蒙古自治区,2001,,,
150000,内蒙古自治区,2000,,,
210000,辽宁省,2019,,,
210000,辽宁省,2018,,,
