省份编码,省份,年份,福利彩票发行单位(个),福利彩票销售额(亿元),福利彩票提取公益金(亿元),福利彩票公益金支出(亿元)
110000,北京市,2019,17,39.32033446,12.7103329868,9.1473
110000,北京市,2018,17,47.33053716,14.8142644912,9.74418
110000,北京市,2017,17,46.7,14.9,10.9
110000,北京市,2016,17,47.084243,14.85,11.19409
110000,北京市,2015,17,50.352449,15.547366,11.82579
110000,北京市,2014,17,53.356104720000005,17.2222,11.50737
110000,北京市,2013,18,50.936873999999996,16.28329,9.39328
110000,北京市,2012,18,50.7,16.6,7.7
110000,北京市,2011,18,50.4,16.4,7.9
110000,北京市,2010,18,38.2,12.6,6.3
110000,北京市,2009,,,,
110000,北京市,2008,,,,
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,8,33.0403220383,9.306118316026,3.9857
120000,天津市,2018,8,38.5149708655,10.781734610682,4.91271
120000,天津市,2017,10,38.2,10.9,5.4
120000,天津市,2016,10,38.082194,10.7,4.35029
120000,天津市,2015,10,37.840164,10.591007,7.90259
120000,天津市,2014,11,42.633860840000004,12.5599,1.67238
120000,天津市,2013,9,30.040571000000003,8.697326,1.39283
120000,天津市,2012,11,22.8,6.7,3.3
120000,天津市,2011,25,16.1,5.0,1.6
120000,天津市,2010,25,12.4,3.8,1.1
120000,天津市,2009,,,,
120000,天津市,2008,,,,
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,24,54.0260877255,16.25405029641,7.51454
130000,河北省,2018,22,58.8779937319,17.35642811647,5.88196
130000,河北省,2017,21,55.9,16.8,7.4
130000,河北省,2016,20,62.659167000000004,18.27,7.94603
130000,河北省,2015,13,76.371669,21.560764,8.82372
130000,河北省,2014,16,80.0886643577,22.75024,7.98078
130000,河北省,2013,16,70.377651,20.514057,7.42898
130000,河北省,2012,17,54.6,16.7,4.4
130000,河北省,2011,17,47.1,14.6,4.6
130000,河北省,2010,15,34.7,10.9,4.1
130000,河北省,2009,,,,
130000,河北省,2008,,,,
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,12,33.2313092086,9.876391570492,7.79092
140000,山西省,2018,12,40.7158008199,11.780310658026,7.33087
140000,山西省,2017,12,44.0,12.8,6.3
140000,山西省,2016,12,43.642083,12.57,5.38212
140000,山西省,2015,12,42.373514,11.987716,4.9757
140000,山西省,2014,12,40.847728914200005,11.68983,3.34374
140000,山西省,2013,12,29.319640999999997,8.798144,2.80943
140000,山西省,2012,12,25.5,7.8,3.4
140000,山西省,2011,12,21.4,6.8,3.9
140000,山西省,2010,12,16.0,5.3,1.9
140000,山西省,2009,,,,
140000,山西省,2008,,,,
140000,山西省,2007,,,,
140000,山西省,2006,,,,
140000,山西省,2005,,,,
140000,山西省,2004,,,,
140000,山西省,2003,,,,
140000,山西省,2002,,,,
140000,山西省,2001,,,,
140000,山西省,2000,,,,
150000,内蒙古自治区,2019,15,42.1550581002,12.279357674844,5.6275
150000,内蒙古自治区,2018,15,64.0786704819,18.340725135294,6.55782
150000,内蒙古自治区,2017,15,62.7,18.1,7.3
150000,内蒙古自治区,2016,16,57.973012,16.6,7.65632
150000,内蒙古自治区,2015,15,53.589387,15.182784,6.93312
150000,内蒙古自治区,2014,16,49.6141496,14.74579,5.70084
150000,内蒙古自治区,2013,16,39.570485,12.002401,3.30193
150000,内蒙古自治区,2012,16,28.1,8.7,3.4
150000,内蒙古自治区,2011,16,25.9,8.2,3.7
150000,内蒙古自治区,2010,16,20.1,6.3,3.0
150000,内蒙古自治区,2009,,,,
150000,内蒙古自治区,2008,,,,
150000,内蒙古自治区,2007,,,,
150000,内蒙古自治区,2006,,,,
150000,内蒙古自治区,2005,,,,
150000,内蒙古自治区,2004,,,,
150000,内蒙古自治区,2003,,,,
150000,内蒙古自治区,2002,,,,
150000,内蒙古自治区,2001,,,,
150000,内蒙古自治区,2000,,,,
210000,辽宁省,2019,8,89.0581638588,25.758635637136,7.95561
210000,辽宁省,2018,15,105.0755736552,30.06335226437,8.94681
210000,辽宁省,2017,17,105.3,30.5,10.7
210000,辽宁省,2016,18,109.541728,31.15,8.55318
210000,辽宁省,2015,19,109.578572,30.643761,10.2676
210000,辽宁省,2014,20,106.56030286999999,30.18987,7.64362
210000,辽宁省,2013,21,92.944133,26.955853,9.69982
210000,辽宁省,2012,18,79.8,24.1,7.3
210000,辽宁省,2011,18,62.8,19.4,6.4
210000,辽宁省,2010,18,54.4,16.8,5.2
210000,辽宁省,2009,,,,
210000,辽宁省,2008,,,,
210000,辽宁省,2007,,,,
210000,辽宁省,2006,,,,
210000,辽宁省,2005,,,,
210000,辽宁省,2004,,,,
210000,辽宁省,2003,,,,
210000,辽宁省,2002,,,,
210000,辽宁省,2001,,,,
210000,辽宁省,2000,,,,
220000,吉林省,2019,42,25.8989058821,7.524074586462,3.57024
220000,吉林省,2018,42,39.6421242298,11.800557037776,2.86918
220000,吉林省,2017,42,34.6,10.1,3.0
220000,吉林省,2016,48,35.684577000000004,10.26,2.31484
220000,吉林省,2015,52,34.987046,9.799845,2.73465
220000,吉林省,2014,53,46.2690962336,12.91503,1.31251
220000,吉林省,2013,53,41.605271,11.779181,1.73293
220000,吉林省,2012,56,25.6,7.3,0.9
220000,吉林省,2011,60,20.8,6.5,1.1
220000,吉林省,2010,60,17.6,5.7,2.2
220000,吉林省,2009,,,,
220000,吉林省,2008,,,,
220000,吉林省,2007,,,,
220000,吉林省,2006,,,,
220000,吉林省,2005,,,,
220000,吉林省,2004,,,,
220000,吉林省,2003,,,,
220000,吉林省,2002,,,,
220000,吉林省,2001,,,,
220000,吉林省,2000,,,,
230000,黑龙江省,2019,15,38.6529855867,11.827096003274,3.66832
230000,黑龙江省,2018,15,46.0193020163,13.744934733064,3.89075
230000,黑龙江省,2017,17,47.7,14.5,5.9
230000,黑龙江省,2016,18,50.520723,15.06,5.52624
230000,黑龙江省,2015,20,50.055737,14.755238,5.87417
230000,黑龙江省,2014,21,51.71087064,15.48209,3.38476
230000,黑龙江省,2013,22,44.003504,13.373029,4.43814
230000,黑龙江省,2012,24,35.8,11.3,2.6
230000,黑龙江省,2011,24,28.6,9.4,3.0
230000,黑龙江省,2010,23,24.3,8.2,2.8
230000,黑龙江省,2009,,,,
230000,黑龙江省,2008,,,,
230000,黑龙江省,2007,,,,
230000,黑龙江省,2006,,,,
230000,黑龙江省,2005,,,,
230000,黑龙江省,2004,,,,
230000,黑龙江省,2003,,,,
230000,黑龙江省,2002,,,,
230000,黑龙江省,2001,,,,
230000,黑龙江省,2000,,,,
310000,上海市,2019,17,51.5783214587,15.813901983514,7.94316
310000,上海市,2018,17,51.2340773284,15.60410676035,7.47368
310000,上海市,2017,17,48.6,15.3,6.9
310000,上海市,2016,17,44.977002,13.8,7.20328
310000,上海市,2015,18,42.885176,12.915956,5.87213
310000,上海市,2014,18,48.2149323064,15.07083,6.31087
310000,上海市,2013,17,37.529373,11.787828,5.93476
310000,上海市,2012,17,38.4,12.6,5.1
310000,上海市,2011,18,38.3,12.6,5.4
310000,上海市,2010,19,29.5,9.9,4.2
310000,上海市,2009,,,,
310000,上海市,2008,,,,
310000,上海市,2007,,,,
310000,上海市,2006,,,,
310000,上海市,2005,,,,
310000,上海市,2004,,,,
310000,上海市,2003,,,,
310000,上海市,2002,,,,
310000,上海市,2001,,,,
310000,上海市,2000,,,,
320000,江苏省,2019,75,126.2483726725,35.61383698935,14.4808
320000,江苏省,2018,74,159.7979688489,44.423385521588,13.52962
320000,江苏省,2017,76,153.8,43.5,13.2
320000,江苏省,2016,78,148.762599,41.86,11.96755
320000,江苏省,2015,79,144.483057,39.564682,12.22137
320000,江苏省,2014,79,139.0860657785,38.23373,11.31385
320000,江苏省,2013,81,128.502901,35.752179,11.798
320000,江苏省,2012,81,134.0,38.1,7.4
320000,江苏省,2011,80,117.9,34.0,6.5
320000,江苏省,2010,81,72.3,21.5,6.1
320000,江苏省,2009,,,,
320000,江苏省,2008,,,,
320000,江苏省,2007,,,,
320000,江苏省,2006,,,,
320000,江苏省,2005,,,,
320000,江苏省,2004,,,,
320000,江苏省,2003,,,,
320000,江苏省,2002,,,,
320000,江苏省,2001,,,,
320000,江苏省,2000,,,,
330000,浙江省,2019,51,153.881043349,44.33288747418,17.06291
330000,浙江省,2018,53,167.7928214635,47.629870723692,18.65315
330000,浙江省,2017,56,156.4,45.0,18.5
330000,浙江省,2016,59,151.305459,42.62,17.59813
330000,浙江省,2015,70,146.86617,40.115178,19.88682
330000,浙江省,2014,72,137.7688331848,37.57308,16.37523
330000,浙江省,2013,73,124.48515900000001,24.647481,14.17875
330000,浙江省,2012,72,102.4,29.9,11.8
330000,浙江省,2011,72,92.7,27.3,6.8
330000,浙江省,2010,72,73.4,21.3,6.3
330000,浙江省,2009,,,,
330000,浙江省,2008,,,,
330000,浙江省,2007,,,,
330000,浙江省,2006,,,,
330000,浙江省,2005,,,,
330000,浙江省,2004,,,,
330000,浙江省,2003,,,,
330000,浙江省,2002,,,,
330000,浙江省,2001,,,,
330000,浙江省,2000,,,,
340000,安徽省,2019,45,69.1826152231,19.659987377882,8.46734
340000,安徽省,2018,43,75.8482935524,21.145133577492,9.97676
340000,安徽省,2017,46,74.1,20.8,9.1
340000,安徽省,2016,48,68.157719,18.99,6.91315
340000,安徽省,2015,48,65.62546,17.748096,8.45984
340000,安徽省,2014,37,69.331284537,19.13623,10.02701
340000,安徽省,2013,37,59.07689499999999,16.514538,6.792
340000,安徽省,2012,38,43.7,12.9,4.1
340000,安徽省,2011,42,35.6,10.7,3.7
340000,安徽省,2010,42,25.2,7.8,4.3
340000,安徽省,2009,,,,
340000,安徽省,2008,,,,
340000,安徽省,2007,,,,
340000,安徽省,2006,,,,
