省份编码,省份,年份,城市医疗救助人次(万人次),城市医疗救助资助参加医疗保险(万人),农村医疗救助医疗救助(万人次),农村医疗救助资助参加合作医疗(万人),城市医疗救助支出(万元),农村医疗救助支出(万元)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,,3.0031,,2.7151,,
110000,北京市,2014,,5.2689,,6.0193,,
110000,北京市,2013,,4.6803,,4.9843,,
110000,北京市,2012,8.1,4.9,3.2,5.5,6686.1,3580
110000,北京市,2011,3.4403,6.0542,5.0946,7.8449,9145.6,2908.7
110000,北京市,2010,2.6791,4.8222,1.6549,8.4682,5001.0,1795.9
110000,北京市,2009,,,,,,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,,31.3973,,,,
120000,天津市,2014,,29.9699,,,,
120000,天津市,2013,,28.5401,,,,
120000,天津市,2012,11.9,30.4,,,7670.1,5105.2
120000,天津市,2011,6.2337,5.7612,2.4212,22.8159,4211.4,4621.1
120000,天津市,2010,1.2105,6.6933,1.2466,1.8962,4447.8,1760.5
120000,天津市,2009,,,,,,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,,19.5271,,283.1938,,
130000,河北省,2014,,16.4214,,196.6463,,
130000,河北省,2013,,21.4401,,193.5194,,
130000,河北省,2012,10.2,17.9,34.5,171.0,17950.6,40818.8
130000,河北省,2011,10.1723,19.4502,27.1698,184.8292,18233.3,37094.2
130000,河北省,2010,9.484,25.5984,37.1046,215.0927,15026.8,31139.1
130000,河北省,2009,,,,,,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,,49.3298,,108.4413,,
140000,山西省,2014,,59.1221,,137.4637,,
140000,山西省,2013,,62.1343,,135.6756,,
140000,山西省,2012,14.7,66.2,13.4,95.0,23598.6,30847.5
140000,山西省,2011,14.6397,56.7134,12.2989,72.6381,21936.4,26719.8
140000,山西省,2010,15.776,67.1402,11.3017,76.9156,18398.5,18835.5
140000,山西省,2009,,,,,,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
