省份编码,省份,年份,殡葬类单位数(个),殡葬类职工总数(人),火化炉数(台),处理遗体数(万具),安葬数(万人),火化率(%)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,54,,86,9.1482,2.0767,85.1276468043
110000,北京市,2014,54,1703,90,9.0584,2.1231,75.5
110000,北京市,2013,54,1746,90,8.8104,1.8873,88.1
110000,北京市,2012,53,1825,83,8.8,2.3,
110000,北京市,2011,53,1743,79,8.2,2.0,
110000,北京市,2010,50,1608,78,8.51,2.66,
110000,北京市,2009,50,1748,80,7.9955,2.2095,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,28,,67,6.7792,0.6623,78.1133514698
120000,天津市,2014,28,818,66,6.6628,0.6875,66.6
120000,天津市,2013,29,917,71,6.6959,0.8571,74.4
120000,天津市,2012,28,843,65,6.5,0.8,
120000,天津市,2011,28,845,65,6.0,0.9,
120000,天津市,2010,29,1011,73,7.77,1.02,
120000,天津市,2009,28,910,62,5.9245,1.0274,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,178,,376,18.9443,0.7856,44.0659909399
130000,河北省,2014,183,3442,374,20.629,0.8963,38.9
130000,河北省,2013,182,3313,361,22.4811,1.082,45.0
130000,河北省,2012,188,3375,362,25.3,1.2,
130000,河北省,2011,188,3399,358,28.3,1.9,
130000,河北省,2010,187,3511,343,28.1,1.66,
130000,河北省,2009,189,3598,339,29.0986,0.8143,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,66,,65,2.1526,0.4064,10.5665467626
140000,山西省,2014,65,974,65,2.225,0.3783,8.9
140000,山西省,2013,61,930,60,2.0842,0.3375,10.4
140000,山西省,2012,44,599,56,1.9,0.3,
140000,山西省,2011,45,615,54,2.1,0.2,
140000,山西省,2010,41,610,173,2.04,0.2,
140000,山西省,2009,41,571,53,1.9722,0.1442,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
