省份编码,省份,年份,国家重点优抚对象(万人),国家重点优抚对象定期抚恤人数(万人),国家重点优抚对象定期补助人数(万人),国家重点优抚对象伤残人员(万人),安置义务兵、士官、复员干部人数(万人),接收军队离退休人员人数(万人)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,4.4391,0.1572,3.1107,1.1712,,0.4216
110000,北京市,2014,4.4537,0.1708,3.1392,1.1437,,0.5008
110000,北京市,2013,4.3427,0.1775,3.0477,1.1175,,0.8474
110000,北京市,2012,4.3,0.2,3.0,1.1,0.4,0.4031
110000,北京市,2011,4.1,0.2,2.7,1.1,0.4,0.3037
110000,北京市,2010,,,,,,
110000,北京市,2009,,,,,,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,4.6098,0.083,3.8156,0.7112,,0.0355
120000,天津市,2014,4.6188,0.0809,3.8366,0.7013,,0.0243
120000,天津市,2013,4.5356,0.0842,3.7571,0.6943,,0.0234
120000,天津市,2012,4.5,0.1,3.7,0.8,0.3,0.0618
120000,天津市,2011,4.3,0.1,3.5,0.7,0.3,0.0707
120000,天津市,2010,,,,,,
120000,天津市,2009,,,,,,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,56.7184,1.0847,51.353,4.2807,,0.1296
130000,河北省,2014,56.6354,1.4181,50.5823,4.635,,0.1244
130000,河北省,2013,58.3337,2.2026,50.6593,5.4718,,0.1986
130000,河北省,2012,58.8,2.8,49.8,6.2,1.9,0.1761
130000,河北省,2011,48.9,3.1,39.1,6.6,1.9,0.1038
130000,河北省,2010,,,,,,
130000,河北省,2009,,,,,,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,17.9764,0.7814,14.9433,2.2517,,0.0111
140000,山西省,2014,18.1493,0.8234,14.9179,2.408,,0.0337
140000,山西省,2013,18.477,1.0329,14.7934,2.6507,,0.0959
140000,山西省,2012,17.6,1.1,13.7,2.8,0.9,0.0127
140000,山西省,2011,14.8,1.2,10.6,2.9,0.8,0.0333
140000,山西省,2010,,,,,,
140000,山西省,2009,,,,,,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
