省份编码,省份,年份,自治组织单位数(个),社区居委会单位数(个),村民委员会单位数(个),自治组织职工人数(人),自治组织女性职工人数(人),社区居委会职工人数(人),村民委员会职工人数(人),自治组织增加值(亿元)
110000,北京市,2019,7122,3231,3891,,,,,
110000,北京市,2018,7124,3209,3915,,,,,
110000,北京市,2017,7060,3140,3920,,,,,
110000,北京市,2016,6995,3054,3941,,,,,
110000,北京市,2015,6911,2975,3936,34631,18382,20424,14207,
110000,北京市,2014,6869,2932,3937,34283,18046,19989,14294,
110000,北京市,2013,6797,2859,3938,34199,17761,19739,14460,
110000,北京市,2012,6756,2816,3940,32000,16000,19000,14000,25.5
110000,北京市,2011,6714,2773,3941,31000,16000,18000,13000,24.9
110000,北京市,2010,6633,2689,3944,32000,16000,18000,13000,16.75928
110000,北京市,2009,6615,2665,3950,31865,15378,18198,13667,14.95991
110000,北京市,2008,6560,2609,3951,31000,15104,18000,13000,12.01295
110000,北京市,2007,,,,,,,,
110000,北京市,2006,,,,,,,,
110000,北京市,2005,,,,,,,,
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,5162,1619,3543,,,,,
120000,天津市,2018,5213,1657,3556,,,,,
120000,天津市,2017,5337,1657,3680,,,,,
120000,天津市,2016,5371,1690,3681,,,,,
120000,天津市,2015,5351,1665,3686,22421,10845,10421,12000,
120000,天津市,2014,5273,1575,3698,25204,11731,10007,15197,
120000,天津市,2013,5261,1554,3707,21591,9768,9575,12016,
120000,天津市,2012,5129,1347,3782,20000,10000,9000,11000,5.2
120000,天津市,2011,5240,1456,3784,20000,11000,9000,11000,4.9
120000,天津市,2010,5352,1524,3828,21000,10000,9000,11000,6.02304
120000,天津市,2009,5264,1443,3821,20768,10440,9155,11613,85.26041
120000,天津市,2008,5342,1504,3838,21000,8250,9000,12000,77.58737
120000,天津市,2007,,,,,,,,
120000,天津市,2006,,,,,,,,
120000,天津市,2005,,,,,,,,
120000,天津市,2004,,,,,,,,
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,53070,4352,48718,,,,,
130000,河北省,2018,52957,4233,48724,,,,,
130000,河北省,2017,53086,4415,48671,,,,,
130000,河北省,2016,53054,4194,48860,,,,,
130000,河北省,2015,52909,3935,48974,187453,34416,19200,168253,
130000,河北省,2014,52471,3835,48636,185017,32504,18950,166067,
130000,河北省,2013,52365,3662,48703,185745,31995,18086,167659,
130000,河北省,2012,52150,3429,48721,184000,32000,17000,167000,9.5
130000,河北省,2011,52218,3249,48969,187000,31000,16000,171000,9.0
130000,河北省,2010,52160,3189,48971,183000,31000,15000,168000,8.25924
130000,河北省,2009,52156,3121,49035,182013,30544,14462,167551,8.82718
130000,河北省,2008,52401,3185,49216,183000,28235,15000,168000,6.26669
130000,河北省,2007,,,,,,,,
130000,河北省,2006,,,,,,,,
130000,河北省,2005,,,,,,,,
130000,河北省,2004,,,,,,,,
130000,河北省,2003,,,,,,,,
130000,河北省,2002,,,,,,,,
130000,河北省,2001,,,,,,,,
130000,河北省,2000,,,,,,,,
140000,山西省,2019,27991,2606,25385,,,,,
140000,山西省,2018,29216,2593,26623,,,,,
140000,山西省,2017,30258,2377,27881,,,,,
140000,山西省,2016,30459,2353,28106,,,,,
140000,山西省,2015,30417,2330,28087,110725,26393,10790,99935,
140000,山西省,2014,30354,2282,28072,110893,26208,10803,100090,
140000,山西省,2013,30403,2130,28273,111714,24826,9740,101974,
140000,山西省,2012,30140,2013,28127,111000,25000,10000,101000,9.3
140000,山西省,2011,30082,1972,28110,105000,25000,9000,96000,10.2
140000,山西省,2010,30062,1942,28120,103000,14000,9000,95000,6.1321
140000,山西省,2009,30028,1893,28135,103016,13104,8433,94583,5.66866
