省份编码,省份,年份,社会捐赠款物合计(亿元),社会捐赠款(亿元),民政部门社会捐赠款(亿元),各类社会组织社会捐赠款(亿元),社会捐赠其他物资折款(亿元),接收社会捐赠衣被数量(亿件)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,49.24841,47.61941,8.84798,38.77143,1.629,
110000,北京市,2014,40.65636,38.59535,8.14366,30.45169,2.06101,
110000,北京市,2013,40.81072,39.66503,8.92922,30.73581,1.14569,
110000,北京市,2012,37.1,36.5,11.1,25.4,0.6,
110000,北京市,2011,31.0,30.4,6.7,23.7,0.6,
110000,北京市,2010,12.1,12.0,4.0,8.0,0.1,
110000,北京市,2009,,,,,,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,3.02063,3.02063,0.74964,2.27099,,
120000,天津市,2014,2.90822,2.87829,0.57707,2.30122,,
120000,天津市,2013,2.28249,2.21231,1.34139,0.87092,0.07018,
120000,天津市,2012,1.3,1.3,0.5,0.8,,
120000,天津市,2011,1.4,1.4,0.8,0.6,,
120000,天津市,2010,1.7,1.7,1.2,0.5,,
120000,天津市,2009,,,,,,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,2.42229,2.42229,0.03804,2.38425,,
130000,河北省,2014,2.41457,2.41447,0.11708,2.29739,,
130000,河北省,2013,2.7306,2.7306,0.34847,2.38213,,
130000,河北省,2012,3.8,3.7,2.5,1.2,0.1,
130000,河北省,2011,1.4,1.4,0.3,1.1,,
130000,河北省,2010,2.7,2.7,1.0,1.7,,
130000,河北省,2009,,,,,,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,1.22061,1.21257,0.13575,1.07682,,
140000,山西省,2014,1.34118,1.33031,0.11707,1.21324,,
140000,山西省,2013,2.06743,2.06743,0.53913,1.5283,,
140000,山西省,2012,0.7,0.7,0.4,0.3,,
140000,山西省,2011,2.2,2.2,0.4,1.8,,
140000,山西省,2010,2.4,2.4,1.7,0.7,,
140000,山西省,2009,,,,,,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
