省份编码,省份,年份,限额以上批发和零售业企业主营业务收入(亿元),限额以上批发和零售业企业主营业务成本(亿元),限额以上批发和零售业企业主营业务利润(亿元)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,,,
110000,北京市,2016,,,
110000,北京市,2015,,,
110000,北京市,2014,,,
110000,北京市,2013,,,
110000,北京市,2012,,,2715.6189
110000,北京市,2011,,,2725.9243
110000,北京市,2010,,,2407.24863
110000,北京市,2009,,,1823.63634
110000,北京市,2008,22456.9101,20634.3993,1772.0049
110000,北京市,2007,15767.66928,14479.83551,1262.12796
110000,北京市,2006,12093.8708,11184.166,895.573
110000,北京市,2005,9808.53514,9021.77273,774.97275
110000,北京市,2004,8578.88618,7875.02403,329.801
110000,北京市,2003,3883.51995,3583.8535,133.39239
110000,北京市,2002,3110.8233,2864.9239,112.4405
110000,北京市,2001,2565.8269,2354.7904,99.3309
110000,北京市,2000,2446.4228,2255.4378,87.9124
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,,,
120000,天津市,2016,,,
120000,天津市,2015,,,
120000,天津市,2014,,,
120000,天津市,2013,,,
120000,天津市,2012,,,761.1312
120000,天津市,2011,,,653.8123
120000,天津市,2010,,,475.79543
120000,天津市,2009,,,349.26362
120000,天津市,2008,8652.0239,8208.0124,433.7135
120000,天津市,2007,5435.24715,5129.37423,233.60361
120000,天津市,2006,4498.5172,4275.4771,193.9345
120000,天津市,2005,3880.35401,3677.67326,145.07262
120000,天津市,2004,3258.22122,3070.62863,97.97271
120000,天津市,2003,1603.44232,1522.9857,32.53299
120000,天津市,2002,1210.237,1148.8899,25.2937
120000,天津市,2001,1180.3776,1111.8741,25.9935
120000,天津市,2000,880.3355,833.3146,22.58
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,,,
130000,河北省,2016,,,
130000,河北省,2015,,,
130000,河北省,2014,,,
130000,河北省,2013,,,
130000,河北省,2012,,,532.6964
130000,河北省,2011,,,398.6156
130000,河北省,2010,,,304.38887
130000,河北省,2009,,,211.58627
130000,河北省,2008,3561.2419,3262.022,274.9705
130000,河北省,2007,1945.94603,1770.82436,150.42842
130000,河北省,2006,1621.3351,1482.8887,125.0609
130000,河北省,2005,1470.23508,1298.17195,99.96021
130000,河北省,2004,1284.01029,1154.91066,96.82907
130000,河北省,2003,855.96717,787.67049,33.27394
130000,河北省,2002,793.0659,730.7644,31.4843
130000,河北省,2001,799.4858,737.471,26.9635
130000,河北省,2000,749.8985,690.0212,25.9868
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,,,
140000,山西省,2016,,,
140000,山西省,2015,,,
140000,山西省,2014,,,
140000,山西省,2013,,,
140000,山西省,2012,,,131.6726
140000,山西省,2011,,,455.2989
140000,山西省,2010,,,354.83786
140000,山西省,2009,,,226.42001
140000,山西省,2008,3635.8597,3332.9361,271.8636
140000,山西省,2007,2028.09366,1798.22277,159.767
140000,山西省,2006,1450.8162,1313.8039,119.2185
140000,山西省,2005,1330.30237,1177.28127,117.13929
140000,山西省,2004,1360.841,1204.56764,111.49619
140000,山西省,2003,542.10588,493.0349,24.75325
140000,山西省,2002,440.458,397.9201,19.18
140000,山西省,2001,391.3948,349.9048,12.5691
140000,山西省,2000,338.0141,303.9014,11.5935
