省份编码,省份,年份,亿元以上商品交易市场数(个),亿元以上商品交易市场摊位数(个),亿元以上商品交易市场营业面积(万平方米),亿元以上商品交易市场成交额(亿元),亿元以上商品交易批发市场成交额(亿元),亿元以上商品交易零售市场成交额(亿元)
110000,北京市,2019,86,62397,585.125,4108.0412,3030.8134,1077.2278
110000,北京市,2018,94,67919,608.7214,3934.854,2864.8138,1070.0402
110000,北京市,2017,114,83672,660.1844,3922.0612,2629.4904,1292.5708
110000,北京市,2016,136,101729,724.2024,3999.6093,2699.6258,1299.9835
110000,北京市,2015,125,97157,692.2556,3482.4865,2191.5922,1290.8943
110000,北京市,2014,131,108167,692.7201,3390.2706,2182.4695,1207.8011
110000,北京市,2013,140,113914,724.9819,3352.7247,2188.6362,1164.0885
110000,北京市,2012,143,115526,737.082,3045.7075,1858.4845,1187.223
110000,北京市,2011,140,116505,737.7453,2547.7997,1703.1032,844.6965
110000,北京市,2010,135,110047,689.9092,2489.7505,1457.0175,1032.733
110000,北京市,2009,126,101518,1114.0981,1914.381,1222.5806,691.8004
110000,北京市,2008,120,97214,617.8708,1779.8628,1092.5758,687.287
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,42,26679,310.8775,1072.808,1026.9936,45.8144
120000,天津市,2018,43,28233,307.9301,1177.9537,1124.5843,53.3694
120000,天津市,2017,44,30655,316.3445,1315.406,1256.9049,58.5011
120000,天津市,2016,55,38238,359.4076,1430.3082,1360.367,69.9412
120000,天津市,2015,56,38460,413.6845,1598.3591,1520.0084,78.3507
120000,天津市,2014,65,41839,458.5667,1790.9279,1701.1471,89.7808
120000,天津市,2013,75,43403,521.2689,2748.803,2649.8815,98.9215
120000,天津市,2012,78,49450,503.4083,2276.3167,2181.5027,94.814
120000,天津市,2011,77,51119,523.1306,2565.7864,2460.5984,105.188
120000,天津市,2010,81,50499,537.0229,2671.8648,2424.4776,247.3872
120000,天津市,2009,86,54777,439.503,2016.3111,1875.2888,141.0223
120000,天津市,2008,90,51912,372.2781,1447.6084,1321.6032,126.0052
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,190,249798,2360.2821,5982.4318,5716.1193,266.3125
130000,河北省,2018,200,242828,2307.1712,5848.3147,5574.3099,274.0048
130000,河北省,2017,217,282964,2644.6547,5918.0279,5628.3636,289.6643
130000,河北省,2016,225,302160,2656.6409,5540.3984,5248.8704,291.528
130000,河北省,2015,236,310062,2621.2084,5365.6163,5064.4987,301.1176
130000,河北省,2014,244,305169,2699.7973,5193.0114,4886.5664,306.445
130000,河北省,2013,253,303689,2872.4442,4874.531,4551.4408,323.0902
130000,河北省,2012,268,312614,2861.9765,4773.9831,4475.8613,298.1218
130000,河北省,2011,278,306369,2670.4328,4430.5944,4112.8465,317.7479
130000,河北省,2010,281,305275,2598.9531,4125.1581,3867.8183,257.3398
130000,河北省,2009,281,286813,2481.1279,3507.9782,3260.0228,247.9554
130000,河北省,2008,259,262332,2342.9577,3168.5817,2905.4054,263.1763
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,30,24840,251.1492,688.6436,650.09,38.5536
140000,山西省,2018,31,25251,253.1542,619.4751,586.3173,33.1578
140000,山西省,2017,32,25059,250.4128,639.5752,613.843,25.7322
140000,山西省,2016,32,24986,255.2764,634.5511,612.4909,22.0602
140000,山西省,2015,36,27787,272.2514,630.365,596.6596,33.7054
140000,山西省,2014,39,29948,279.2525,611.1235,575.7099,35.4136
140000,山西省,2013,40,34182,265.2647,589.5944,564.8058,24.7886
140000,山西省,2012,41,31724,262.8013,517.3165,493.7749,23.5416
140000,山西省,2011,40,29966,253.9276,497.9411,468.5996,29.3415
140000,山西省,2010,44,30970,254.3176,487.4484,452.3151,35.1333
140000,山西省,2009,42,28927,239.7112,346.598,329.5584,17.0396
140000,山西省,2008,44,26155,242.3098,339.9685,323.7983,16.1702
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,50,31780,421.3612,656.6268,562.1114,94.5154
150000,内蒙古自治区,2018,55,37361,536.7809,684.263,506.1662,178.0968
150000,内蒙古自治区,2017,69,39726,559.6607,693.497,490.6591,202.8379
150000,内蒙古自治区,2016,70,35746,757.1097,570.3391,392.5329,177.8062
150000,内蒙古自治区,2015,73,37636,763.2062,606.5264,430.9888,175.5376
150000,内蒙古自治区,2014,72,38410,768.4757,579.8202,435.9009,143.9193
150000,内蒙古自治区,2013,70,35143,720.7147,693.3325,568.5234,124.8091
150000,内蒙古自治区,2012,71,35696,664.6476,698.8133,565.8499,132.9634
150000,内蒙古自治区,2011,74,38503,677.3918,715.9018,538.714,177.1878
150000,内蒙古自治区,2010,71,38674,692.4566,632.8057,528.2947,104.511
150000,内蒙古自治区,2009,66,35469,361.0982,507.2932,400.8793,106.4139
150000,内蒙古自治区,2008,66,35908,531.8506,534.1576,443.6795,90.4781
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,155,145764,821.1314,4000.6373,3455.4557,545.1816
210000,辽宁省,2018,174,159195,860.5034,3954.9872,3331.7631,623.2241
210000,辽宁省,2017,200,172439,874.7898,4043.9726,3343.3704,700.6022
210000,辽宁省,2016,200,167914,856.692,3635.8533,2898.8691,736.9842
210000,辽宁省,2015,206,174037,905.462,3761.3567,2977.9351,783.4216
210000,辽宁省,2014,215,176581,912.8734,3947.3084,3217.3993,729.9091
210000,辽宁省,2013,217,178167,928.4492,4443.0,3641.4,801.6067
210000,辽宁省,2012,227,177911,882.1731,4329.0472,3672.7576,656.2896
210000,辽宁省,2011,221,180547,813.7505,3795.3825,3147.1825,648.2
210000,辽宁省,2010,222,179992,821.1965,3465.9846,2889.4644,576.5202
210000,辽宁省,2009,225,179694,978.2225,2686.7435,2152.2154,534.5281
210000,辽宁省,2008,223,182119,914.2557,2448.1659,1911.0757,537.0902
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,46,39660,356.2794,437.5907,248.8862,188.7045
220000,吉林省,2018,46,40800,374.0654,398.5623,204.5298,194.0325
220000,吉林省,2017,53,45168,301.1066,550.5269,337.3236,213.2033
220000,吉林省,2016,56,48860,322.3179,656.0707,425.2471,230.8236
220000,吉林省,2015,57,48878,294.0888,668.6166,422.8926,245.724
220000,吉林省,2014,60,50745,295.3006,708.3393,441.5742,266.7651
220000,吉林省,2013,62,50464,302.2813,659.9552,414.4029,245.5523
220000,吉林省,2012,65,53264,306.2839,706.5385,477.3211,229.2174
