省份编码,省份,年份,连锁零售企业总店数(个),连锁零售企业门店总数(个),连锁零售企业年末从业人数(万人),连锁零售企业年末零售营业面积(万平方米),连锁零售企业商品销售额(亿元),连锁零售企业商品购进总额(亿元),连锁零售企业统一配送商品购进额(亿元)
110000,北京市,2019,189,9898,15.9778,877.0911,3330.4526,2932.2858,1980.6777
110000,北京市,2018,180,9862,16.7363,922.2516,3356.2639,2944.3373,2110.5279
110000,北京市,2017,162,8176,16.8689,907.0801,3165.7648,2666.9949,1934.0369
110000,北京市,2016,156,7732,17.3478,953.3809,2896.5113,2412.1897,1682.9206
110000,北京市,2015,152,7577,15.6584,748.1651,2733.2756,2306.8515,1186.4472
110000,北京市,2014,151,7433,16.0142,736.8178,2544.3201,2126.5727,1126.39801
110000,北京市,2013,147,7388,15.8217,715.0127,2515.7851,2143.8416,1114.47106
110000,北京市,2012,134,6810,14.9657,668.054,2420.98872,2074.86402,995.12427
110000,北京市,2011,147,6950,14.9893,637.1717,2352.15137,2068.73133,994.33019
110000,北京市,2010,,6875,14.17,595.7,1964.8,1739.4,771.7
110000,北京市,2009,,6767,13.0459,543.7765,1593.6454,1387.1777,633.8481
110000,北京市,2008,,6059,13.1717,495.5048,1360.06297,1206.42655,516.43724
110000,北京市,2007,,6037,11.4847,535.5027,1293.8264,1104.2589,607.1571
110000,北京市,2006,,5232,10.6205,448.6026,1046.1705,937.3616,410.1223
110000,北京市,2005,,,,,,,
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,31,2576,2.4535,209.4773,557.1216,458.631,293.1655
120000,天津市,2018,32,2271,2.5668,204.7757,568.2991,469.4054,286.8175
120000,天津市,2017,36,2232,2.6983,198.7537,512.3986,460.0511,271.2748
120000,天津市,2016,37,2084,2.9098,190.058,499.8621,419.8033,241.6603
120000,天津市,2015,37,2237,3.1242,198.4623,613.5839,546.4199,329.5978
120000,天津市,2014,39,2324,3.5384,203.5207,753.1499,668.5212,459.15706
120000,天津市,2013,42,2672,3.9869,275.6717,783.8677,739.3003,533.69677
120000,天津市,2012,38,1915,3.7555,262.7026,731.29755,721.08559,570.3836
120000,天津市,2011,38,1866,3.795,251.2608,689.99297,702.55997,551.34413
120000,天津市,2010,,1924,3.62,256.2,619.0,578.2,490.7
120000,天津市,2009,,1742,3.0961,245.7709,439.4695,435.4323,351.5621
120000,天津市,2008,,1905,2.8112,151.2314,335.64035,320.16983,261.62315
120000,天津市,2007,,1418,2.4263,201.7962,259.3188,252.9019,195.8009
120000,天津市,2006,,843,1.6328,61.3759,96.0407,97.0436,39.9552
120000,天津市,2005,,,,,,,
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,121,7404,5.876,634.5705,959.5363,799.97,591.0228
130000,河北省,2018,117,6557,5.794,655.119,996.3286,861.2196,648.5425
130000,河北省,2017,108,5879,5.5167,648.6242,1237.0688,1131.4785,920.7284
130000,河北省,2016,85,4935,5.1947,612.0325,939.7528,868.4569,541.6481
130000,河北省,2015,84,4750,5.2999,606.5513,989.0066,919.5765,590.2944
130000,河北省,2014,81,4537,5.3685,645.8749,1145.3145,988.7943,688.99568
130000,河北省,2013,83,4362,5.2654,612.1317,1107.0886,949.3615,634.81292
130000,河北省,2012,88,4299,5.1577,589.7182,1100.5087,1028.89701,741.42848
130000,河北省,2011,88,4168,4.9646,513.7938,1054.28607,958.19918,631.2342
130000,河北省,2010,,4168,4.88,528.5,839.1,707.3,460.2
130000,河北省,2009,,5528,5.551,554.7292,707.1838,568.2474,380.7685
130000,河北省,2008,,5205,5.7134,380.3901,637.19117,465.30742,254.36378
130000,河北省,2007,,4363,4.3649,202.4633,413.2464,367.0184,241.3988
130000,河北省,2006,,3779,3.9551,367.1595,439.7692,402.0615,384.9724
130000,河北省,2005,,,,,,,
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,60,5495,4.0582,259.2773,480.9233,340.4637,202.1205
140000,山西省,2018,63,5136,4.0505,335.0031,475.7076,357.9565,203.6323
140000,山西省,2017,61,4167,3.7824,312.3457,460.3695,333.6024,191.9339
140000,山西省,2016,60,4001,3.8348,296.572,442.7747,313.1311,206.5663
140000,山西省,2015,60,3727,4.2291,262.551,514.7269,341.382,210.5707
140000,山西省,2014,55,3425,4.0896,269.1868,577.4039,347.9582,243.66167
140000,山西省,2013,51,3047,4.3078,244.5157,579.1935,404.7908,280.97184
140000,山西省,2012,44,2388,4.0711,158.4753,379.52515,262.2905,128.61143
140000,山西省,2011,43,2376,3.3417,122.377,328.15697,211.71122,99.72377
140000,山西省,2010,,2029,3.15,115.6,229.5,186.6,109.6
140000,山西省,2009,,2031,3.2011,116.0411,209.2749,198.0702,122.4912
140000,山西省,2008,,1665,2.5966,64.6528,161.03048,127.22333,44.07011
140000,山西省,2007,,1284,2.2862,56.2081,91.6789,69.2601,30.9412
140000,山西省,2006,,1200,2.1477,62.4353,114.4797,72.2014,56.971
140000,山西省,2005,,,,,,,
140000,山西省,2004,,,,,,,
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,17,1087,0.6897,33.5942,38.2511,33.2182,21.0141
150000,内蒙古自治区,2018,18,1041,0.6399,34.7723,38.9655,34.2874,21.2602
150000,内蒙古自治区,2017,20,712,0.5603,36.0745,36.4078,33.4471,21.7403
150000,内蒙古自治区,2016,18,613,0.5581,25.3062,35.944,28.0875,16.427
150000,内蒙古自治区,2015,18,628,0.696,27.6628,30.9946,26.3313,15.7967
