省份编码,省份,年份,限额以上批发和零售业企业资产(亿元),限额以上批发和零售业企业流动资产(亿元),限额以上批发和零售业企业固定资产(亿元),限额以上批发和零售业企业负债(亿元),限额以上批发和零售业企业所有者权益(亿元)
110000,北京市,2019,,,,,
110000,北京市,2018,,,,,
110000,北京市,2017,,,,,
110000,北京市,2016,,,,,
110000,北京市,2015,,,,,
110000,北京市,2014,,,,,
110000,北京市,2013,,,,,
110000,北京市,2012,,,,,
110000,北京市,2011,,,,,
110000,北京市,2010,,,,,
110000,北京市,2009,,,,,
110000,北京市,2008,14991.9,10662.5,860,9892.4,5099.5
110000,北京市,2007,10215.7,7051.4,712.8,7185.9,3029.8
110000,北京市,2006,7754.1,5272.4,618.5,5362.5,2391.6
110000,北京市,2005,6106.1,4303.8,397.6,4350.7,1755.4
110000,北京市,2004,5655.76196,4053.15192,367.36276,3941.49969,1714.26227
110000,北京市,2003,3525.4,2586.1,311.8,2573.3,952.1
110000,北京市,2002,2979.6922,2106.3002,291.7612,2137.9102,841.782
110000,北京市,2001,2977.7893,1869.2752,298.1721,1968.6551,
110000,北京市,2000,2812.4708,1828.4625,311.6282,1974.7886,
120000,天津市,2019,,,,,
120000,天津市,2018,,,,,
120000,天津市,2017,,,,,
120000,天津市,2016,,,,,
120000,天津市,2015,,,,,
120000,天津市,2014,,,,,
120000,天津市,2013,,,,,
120000,天津市,2012,,,,,
120000,天津市,2011,,,,,
120000,天津市,2010,,,,,
120000,天津市,2009,,,,,
120000,天津市,2008,2611.9,2119.2,263.8,1948.5,663.4
120000,天津市,2007,1712.8,1405.1,185.1,1279.7,433.1
120000,天津市,2006,1356.9,1088.075,168,1002.7,354.2
120000,天津市,2005,1285.5,1016.4,114.3,963.9,321.6
120000,天津市,2004,1204.02939,990.79096,97.83556,941.50509,262.5243
120000,天津市,2003,703.0,530.0,104.4,553.2,149.8
120000,天津市,2002,608.2059,455.4486,96.6005,481.3161,126.8898
120000,天津市,2001,577.6604,406.6939,96.7298,438.4884,
120000,天津市,2000,461.743,336.041,78.9029,392.4716,
130000,河北省,2019,,,,,
130000,河北省,2018,,,,,
130000,河北省,2017,,,,,
130000,河北省,2016,,,,,
130000,河北省,2015,,,,,
130000,河北省,2014,,,,,
130000,河北省,2013,,,,,
130000,河北省,2012,,,,,
130000,河北省,2011,,,,,
130000,河北省,2010,,,,,
130000,河北省,2009,,,,,
130000,河北省,2008,1306.3,868.8,307,940.3,375.9
130000,河北省,2007,813.9,529.7,218.3,597.6,215.9
130000,河北省,2006,716.0,457.5,215.1,549.5,167.6
130000,河北省,2005,679.2,419.8,159.6,531.1,148.1
130000,河北省,2004,650.31669,407.54062,157.86365,525.14035,125.17634
130000,河北省,2003,531.9,340.7,150.9,429.0,102.9
130000,河北省,2002,526.3947,317.6563,160.0674,426.1732,100.2216
130000,河北省,2001,525.0175,325.7017,147.6058,434.0006,
130000,河北省,2000,503.6206,326.2672,121.2065,433.9618,
140000,山西省,2019,,,,,
140000,山西省,2018,,,,,
140000,山西省,2017,,,,,
140000,山西省,2016,,,,,
140000,山西省,2015,,,,,
140000,山西省,2014,,,,,
140000,山西省,2013,,,,,
140000,山西省,2012,,,,,
140000,山西省,2011,,,,,
140000,山西省,2010,,,,,
140000,山西省,2009,,,,,
