年份,实现工艺创新的规模以上制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上农副食品加工业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上食品制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上酒、饮料和精制茶制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上烟草制品业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上纺织业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上纺织服装、服饰业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上木材加工和木、竹、藤、棕、草制品业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上家具制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上造纸和纸制品业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上印刷和记录媒介复制业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上文教、工美、体育和娱乐用品制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上石油加工、炼焦和核燃料加工业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上化学原料和化学制品制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上医药制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上化学纤维制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上橡胶和塑料制品业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上非金属矿物制品业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上黑色金属冶炼和压延加工业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上有色金属冶炼和压延加工业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上金属制品业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上通用设备制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上专用设备制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上汽车制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上铁路、船舶、航空航天和其他运输设备制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上电气机械和器材制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上计算机、通信和其他电子设备制造业企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上仪器仪表制造业企业占全部规模以上制造业企业的比重
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,28.73,18.669,26.542,23.287,51.639,20.41,15.034,16.194,15.081,21.548,21.862,23.941,23.544,25.0,32.982,45.371,34.408,27.058,17.498,22.287,30.202,26.789,36.983,40.684,38.965,36.777,42.334,48.497,49.601
2016,26.852,18.658,26.252,23.413,46.094,20.504,16.005,15.79,16.223,20.772,20.103,21.84,23.861,23.04,30.569,42.931,31.813,23.795,16.676,20.461,28.653,24.205,34.439,37.353,36.83,33.758,38.85,44.501,46.484
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
