年份,实现工艺创新的规模以上制造业内资企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业国有企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业集体企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业股份合作企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业联营企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业有限责任公司数占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业国有独资公司数占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业股份有限公司数占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业私营企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业其他企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业港、澳、台商投资企业占全部规模以上制造业企业的比重,实现工艺创新的规模以上制造业外商投资企业占全部规模以上制造业企业的比重
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,28.111,36.434,13.281,23.342,11.25,30.121,46.039,54.338,26.017,13.073,33.295,32.385
2016,26.2,34.943,13.939,23.128,10.638,27.347,46.574,50.587,24.534,11.237,30.751,31.226
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
