年份,私营工业企业应收账款净额,煤炭采选业私营工业企业应收账款净额,石油和天然气开采业私营工业企业应收账款净额,黑色金属矿采选业私营工业企业应收账款净额,有色金属矿采选业私营工业企业应收账款净额,非金属矿采选业私营工业企业应收账款净额,其他矿采选业私营工业企业应收账款净额,木材及竹材采运业私营工业企业应收账款净额,食品加工业私营工业企业应收账款净额,食品制造业私营工业企业应收账款净额,饮料制造业私营工业企业应收账款净额,烟草加工业私营工业企业应收账款净额,纺织业私营工业企业应收账款净额,服装及其他纤维制品制造业私营工业企业应收账款净额,皮革、毛皮、羽绒及其制品业私营工业企业应收账款净额,木材加工及竹、藤、棕、草制品业私营工业企业应收账款净额,家具制造业私营工业企业应收账款净额,造纸及纸制品业私营工业企业应收账款净额,印刷业、记录媒介的复制私营工业企业应收账款净额,文教体育用品制造业私营工业企业应收账款净额,石油加工及炼焦业私营工业企业应收账款净额,化学原料及化学制品制造业私营工业企业应收账款净额,医药制造业私营工业企业应收账款净额,化学纤维制造业私营工业企业应收账款净额,橡胶制品业私营工业企业应收账款净额,塑料制品业私营工业企业应收账款净额,非金属矿物制造业私营工业企业应收账款净额,黑色金属冶炼及压延加工业私营工业企业应收账款净额,有色金属冶炼及压延加工业私营工业企业应收账款净额,金属制品业私营工业企业应收账款净额,普通机械制造业私营工业企业应收账款净额,专用设备制造业私营工业企业应收账款净额,交通运输设备制造业私营工业企业应收账款净额,电气机械及器材制造业私营工业企业应收账款净额,电子及通信设备制造业私营工业企业应收账款净额,仪器仪表及文化办公用机械制造业私营工业企业应收账款净额,其它制造业私营工业企业应收账款净额,电力、蒸汽、热水的生产和供应业私营工业企业应收账款净额,煤气生产和供应业私营工业企业应收账款净额,自来水的生产和供应业私营工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1333.56714,8.33913,,4.71657,3.52409,6.17427,0.0443,,46.41094,20.28076,17.54665,0.23038,103.15761,55.0706,26.55032,15.68953,10.68861,46.57078,19.66834,14.65909,11.08031,92.43002,28.8407,6.02558,14.96181,61.4871,94.19068,30.25005,31.62162,90.74286,115.98378,53.69116,81.00003,129.96988,49.07057,15.13864,22.91869,3.73848,0.48636,0.61685
2001,875.59184,5.37362,0.03661,3.22899,3.1042,3.7095,0.00883,0.00169,29.89538,13.1618,13.99562,0.09887,60.39095,35.5613,17.10799,11.05825,7.13098,34.0376,12.63627,10.40748,6.7069,61.58546,20.39521,3.26246,9.6424,38.60128,64.99214,22.99308,25.93572,60.66407,71.42825,32.00087,56.46491,79.56367,30.72572,9.54587,17.17308,2.0726,0.5114,0.38082
2000,556.91458,3.73067,0.0493,2.92361,2.17986,3.27013,0.02882,,19.5439,9.40335,11.03357,0.18987,30.20682,26.07464,10.59393,7.40806,5.17517,17.40664,7.91556,5.2194,4.17201,35.49641,12.83564,1.22502,6.17129,23.21497,44.45874,23.96939,18.35572,35.25951,42.60657,19.71472,31.80149,57.78211,19.8185,5.91161,9.1091,2.51831,0.06199,0.07818
