年份,私营工业企业流动资产合计,煤炭采选业私营工业企业流动资产合计,石油和天然气开采业私营工业企业流动资产合计,黑色金属矿采选业私营工业企业流动资产合计,有色金属矿采选业私营工业企业流动资产合计,非金属矿采选业私营工业企业流动资产合计,其他矿采选业私营工业企业流动资产合计,木材及竹材采运业私营工业企业流动资产合计,食品加工业私营工业企业流动资产合计,食品制造业私营工业企业流动资产合计,饮料制造业私营工业企业流动资产合计,烟草加工业私营工业企业流动资产合计,纺织业私营工业企业流动资产合计,服装及其他纤维制品制造业私营工业企业流动资产合计,皮革、毛皮、羽绒及其制品业私营工业企业流动资产合计,木材加工及竹、藤、棕、草制品业私营工业企业流动资产合计,家具制造业私营工业企业流动资产合计,造纸及纸制品业私营工业企业流动资产合计,印刷业、记录媒介的复制私营工业企业流动资产合计,文教体育用品制造业私营工业企业流动资产合计,石油加工及炼焦业私营工业企业流动资产合计,化学原料及化学制品制造业私营工业企业流动资产合计,医药制造业私营工业企业流动资产合计,化学纤维制造业私营工业企业流动资产合计,橡胶制品业私营工业企业流动资产合计,塑料制品业私营工业企业流动资产合计,非金属矿物制造业私营工业企业流动资产合计,黑色金属冶炼及压延加工业私营工业企业流动资产合计,有色金属冶炼及压延加工业私营工业企业流动资产合计,金属制品业私营工业企业流动资产合计,普通机械制造业私营工业企业流动资产合计,专用设备制造业私营工业企业流动资产合计,交通运输设备制造业私营工业企业流动资产合计,电气机械及器材制造业私营工业企业流动资产合计,电子及通信设备制造业私营工业企业流动资产合计,仪器仪表及文化办公用机械制造业私营工业企业流动资产合计,其它制造业私营工业企业流动资产合计,电力、蒸汽、热水的生产和供应业私营工业企业流动资产合计,煤气生产和供应业私营工业企业流动资产合计,自来水的生产和供应业私营工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,4686.53,29.1033,,18.55753,14.89307,18.98146,0.18823,,215.48182,98.20352,74.65366,0.28315,471.87835,210.04994,100.78517,74.53797,45.98972,127.70111,48.97562,54.80286,72.15243,297.82403,102.14934,30.07813,42.06291,183.01879,327.05828,190.31413,132.21235,298.10427,326.21469,176.73666,253.04603,362.97223,155.0217,40.40534,76.36518,12.41838,1.9225,1.3889
2001,3130.0,16.49025,0.08047,10.50052,11.19751,11.84863,0.12414,0.01302,147.20101,67.00673,60.51826,0.18179,289.93004,145.30441,75.27199,56.65364,32.4673,90.33426,32.34115,39.16615,35.36412,201.13086,72.29783,22.53842,29.98385,113.10602,229.57014,104.95017,99.5389,198.86451,210.58512,107.21929,170.83605,243.99235,104.09139,28.52876,58.17862,10.80501,1.66356,0.84903
2000,1910.75,10.24471,0.15356,7.05147,8.96006,9.11713,0.04469,,87.48909,42.8145,46.27196,0.3909,154.65141,98.12774,46.50136,37.19156,23.5889,49.45709,17.85671,23.97622,23.60936,112.74288,47.68719,5.19315,17.17278,73.13342,141.01005,79.05587,62.44279,120.72643,119.59046,71.89107,94.15015,162.47676,59.54648,15.36429,33.65711,7.04056,0.20912,0.16484
