年份,私营工业企业出口交货值,煤炭采选业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,其他矿采选业私营工业企业出口交货值,木材及竹材采运业私营工业企业出口交货值,食品加工业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,饮料制造业私营工业企业出口交货值,烟草加工业私营工业企业出口交货值,纺织业私营工业企业出口交货值,服装及其他纤维制品制造业私营工业企业出口交货值,皮革、毛皮、羽绒及其制品业私营工业企业出口交货值,木材加工及竹、藤、棕、草制品业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,造纸及纸制品业私营工业企业出口交货值,印刷业、记录媒介的复制私营工业企业出口交货值,文教体育用品制造业私营工业企业出口交货值,石油加工及炼焦业私营工业企业出口交货值,化学原料及化学制品制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,橡胶制品业私营工业企业出口交货值,塑料制品业私营工业企业出口交货值,非金属矿物制造业私营工业企业出口交货值,黑色金属冶炼及压延加工业私营工业企业出口交货值,有色金属冶炼及压延加工业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,普通机械制造业私营工业企业出口交货值,专用设备制造业私营工业企业出口交货值,交通运输设备制造业私营工业企业出口交货值,电气机械及器材制造业私营工业企业出口交货值,电子及通信设备制造业私营工业企业出口交货值,仪器仪表及文化办公用机械制造业私营工业企业出口交货值,其它制造业私营工业企业出口交货值,电力、蒸汽、热水的生产和供应业私营工业企业出口交货值,煤气生产和供应业私营工业企业出口交货值,自来水的生产和供应业私营工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1837.85457,,,,2.86521,7.86851,0.03123,,65.4409,17.28504,8.09826,,291.42668,271.28789,142.83389,39.70938,26.90462,8.28816,2.07984,72.68586,2.71461,59.54636,11.95725,10.52838,10.87762,53.09546,43.12297,8.90431,18.80586,151.65366,115.11721,21.34462,72.49,138.30245,30.38158,10.48085,121.72591,,,
2001,1194.97899,0.03,,0.0492,2.85003,4.12304,0.14612,,41.34937,13.27738,6.78542,,187.65565,169.91241,85.76878,29.77636,13.50666,6.79743,0.81982,52.47445,1.40656,44.21751,10.96953,11.49824,6.97503,33.43286,32.37679,7.01163,17.43469,94.42897,70.27388,15.4411,43.93053,75.71723,17.56877,5.92698,90.82734,,,0.21923
2000,703.42218,,,,0.15487,3.6903,0.072,,29.89104,12.12755,3.90719,,97.35907,122.97708,42.13555,11.28236,10.33141,2.86148,1.02719,27.41742,0.06618,28.6503,6.31696,0.51063,4.55252,24.31494,19.75012,4.37322,9.21132,58.30296,41.32139,11.74654,18.10202,36.01297,13.61313,4.77828,55.68596,0.87558,,0.00265
