年份,私营工业企业固定资产合计,煤炭采选业私营工业企业固定资产合计,石油和天然气开采业私营工业企业固定资产合计,黑色金属矿采选业私营工业企业固定资产合计,有色金属矿采选业私营工业企业固定资产合计,非金属矿采选业私营工业企业固定资产合计,其他矿采选业私营工业企业固定资产合计,木材及竹材采运业私营工业企业固定资产合计,食品加工业私营工业企业固定资产合计,食品制造业私营工业企业固定资产合计,饮料制造业私营工业企业固定资产合计,烟草加工业私营工业企业固定资产合计,纺织业私营工业企业固定资产合计,服装及其他纤维制品制造业私营工业企业固定资产合计,皮革、毛皮、羽绒及其制品业私营工业企业固定资产合计,木材加工及竹、藤、棕、草制品业私营工业企业固定资产合计,家具制造业私营工业企业固定资产合计,造纸及纸制品业私营工业企业固定资产合计,印刷业、记录媒介的复制私营工业企业固定资产合计,文教体育用品制造业私营工业企业固定资产合计,石油加工及炼焦业私营工业企业固定资产合计,化学原料及化学制品制造业私营工业企业固定资产合计,医药制造业私营工业企业固定资产合计,化学纤维制造业私营工业企业固定资产合计,橡胶制品业私营工业企业固定资产合计,塑料制品业私营工业企业固定资产合计,非金属矿物制造业私营工业企业固定资产合计,黑色金属冶炼及压延加工业私营工业企业固定资产合计,有色金属冶炼及压延加工业私营工业企业固定资产合计,金属制品业私营工业企业固定资产合计,普通机械制造业私营工业企业固定资产合计,专用设备制造业私营工业企业固定资产合计,交通运输设备制造业私营工业企业固定资产合计,电气机械及器材制造业私营工业企业固定资产合计,电子及通信设备制造业私营工业企业固定资产合计,仪器仪表及文化办公用机械制造业私营工业企业固定资产合计,其它制造业私营工业企业固定资产合计,电力、蒸汽、热水的生产和供应业私营工业企业固定资产合计,煤气生产和供应业私营工业企业固定资产合计,自来水的生产和供应业私营工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3247.54807,31.70073,,16.67747,12.26185,20.20245,0.28516,,174.57402,85.27298,60.34357,0.03387,434.2018,105.19423,54.54519,66.8962,32.04022,107.57432,39.4051,28.04074,70.36019,198.37944,71.08334,31.4961,27.72411,121.10676,371.34567,147.39205,94.53444,163.33288,170.02589,82.43778,123.3605,150.94628,52.70843,15.82389,45.83037,31.97573,3.40175,5.03257
2001,2236.07892,15.88289,0.00694,8.70021,10.5144,11.78833,0.12777,0.00603,123.05996,58.82113,50.16723,0.44064,277.86396,80.36106,41.66788,53.1778,26.74947,77.65765,25.42539,20.62367,30.73558,138.91533,48.74873,20.11889,20.8513,81.69279,266.88477,81.88819,65.89724,115.46937,122.09237,57.25212,84.42463,104.02169,36.08644,10.77988,35.22105,26.86946,2.20809,2.87859
2000,1372.3816,8.54117,0.70402,5.97905,7.77105,7.79738,0.02017,,75.74013,37.58642,36.56385,0.2085,143.79447,58.10659,24.82584,32.29171,21.08302,41.34197,12.36206,10.95148,20.71259,79.08121,28.03198,5.0015,13.21403,56.28366,190.02088,44.9615,42.38722,73.68163,70.41676,36.46477,57.29353,63.20226,21.71011,5.9599,16.51014,21.20649,0.22503,0.34753
