年份,私营工业企业个人资本金,煤炭采选业私营工业企业个人资本金,石油和天然气开采业私营工业企业个人资本金,黑色金属矿采选业私营工业企业个人资本金,有色金属矿采选业私营工业企业个人资本金,非金属矿采选业私营工业企业个人资本金,其他矿采选业私营工业企业个人资本金,木材及竹材采运业私营工业企业个人资本金,食品加工业私营工业企业个人资本金,食品制造业私营工业企业个人资本金,饮料制造业私营工业企业个人资本金,烟草加工业私营工业企业个人资本金,纺织业私营工业企业个人资本金,服装及其他纤维制品制造业私营工业企业个人资本金,皮革、毛皮、羽绒及其制品业私营工业企业个人资本金,木材加工及竹、藤、棕、草制品业私营工业企业个人资本金,家具制造业私营工业企业个人资本金,造纸及纸制品业私营工业企业个人资本金,印刷业、记录媒介的复制私营工业企业个人资本金,文教体育用品制造业私营工业企业个人资本金,石油加工及炼焦业私营工业企业个人资本金,化学原料及化学制品制造业私营工业企业个人资本金,医药制造业私营工业企业个人资本金,化学纤维制造业私营工业企业个人资本金,橡胶制品业私营工业企业个人资本金,塑料制品业私营工业企业个人资本金,非金属矿物制造业私营工业企业个人资本金,黑色金属冶炼及压延加工业私营工业企业个人资本金,有色金属冶炼及压延加工业私营工业企业个人资本金,金属制品业私营工业企业个人资本金,普通机械制造业私营工业企业个人资本金,专用设备制造业私营工业企业个人资本金,交通运输设备制造业私营工业企业个人资本金,电气机械及器材制造业私营工业企业个人资本金,电子及通信设备制造业私营工业企业个人资本金,仪器仪表及文化办公用机械制造业私营工业企业个人资本金,其它制造业私营工业企业个人资本金,电力、蒸汽、热水的生产和供应业私营工业企业个人资本金,煤气生产和供应业私营工业企业个人资本金,自来水的生产和供应业私营工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1495.25685,12.41687,,6.39917,7.2625,7.61267,0.1951,,72.38093,34.37869,22.07353,0.016,160.21388,64.00766,37.95141,30.82035,17.71222,43.97563,15.89209,17.57124,20.05012,89.5995,33.07889,11.83577,13.27746,64.5599,133.27978,53.95965,39.66787,89.89525,98.56119,53.95168,58.5863,92.10889,41.85158,13.62858,24.18894,11.24359,0.7207,0.33127
2001,1010.46703,6.67159,0.005,4.90794,4.71292,5.09927,0.06443,0.01,48.97653,25.65994,18.51254,0.074,101.29961,45.72905,25.47307,23.17704,14.46374,31.51387,9.66039,13.32038,12.73677,60.31565,22.51963,11.11266,9.23583,40.99106,84.71001,32.62728,32.76144,61.53957,63.53274,31.63421,41.7169,63.58729,27.10044,11.19805,18.95254,3.9788,0.65167,0.23318
2000,595.11585,3.88453,0.2,2.12377,4.26714,2.83645,0.00492,,32.0968,12.26906,13.19362,,57.63786,30.60257,11.03079,11.7211,9.4923,17.2945,4.59458,5.58967,4.46792,31.86051,20.64217,1.90726,6.5534,25.31995,52.40187,18.22064,17.8599,39.5388,33.67822,19.40359,27.47696,43.06937,15.45078,4.48214,11.11649,2.73021,0.015,0.08101
