年份,私营工业企业法人资本金,煤炭采选业私营工业企业法人资本金,石油和天然气开采业私营工业企业法人资本金,黑色金属矿采选业私营工业企业法人资本金,有色金属矿采选业私营工业企业法人资本金,非金属矿采选业私营工业企业法人资本金,其他矿采选业私营工业企业法人资本金,木材及竹材采运业私营工业企业法人资本金,食品加工业私营工业企业法人资本金,食品制造业私营工业企业法人资本金,饮料制造业私营工业企业法人资本金,烟草加工业私营工业企业法人资本金,纺织业私营工业企业法人资本金,服装及其他纤维制品制造业私营工业企业法人资本金,皮革、毛皮、羽绒及其制品业私营工业企业法人资本金,木材加工及竹、藤、棕、草制品业私营工业企业法人资本金,家具制造业私营工业企业法人资本金,造纸及纸制品业私营工业企业法人资本金,印刷业、记录媒介的复制私营工业企业法人资本金,文教体育用品制造业私营工业企业法人资本金,石油加工及炼焦业私营工业企业法人资本金,化学原料及化学制品制造业私营工业企业法人资本金,医药制造业私营工业企业法人资本金,化学纤维制造业私营工业企业法人资本金,橡胶制品业私营工业企业法人资本金,塑料制品业私营工业企业法人资本金,非金属矿物制造业私营工业企业法人资本金,黑色金属冶炼及压延加工业私营工业企业法人资本金,有色金属冶炼及压延加工业私营工业企业法人资本金,金属制品业私营工业企业法人资本金,普通机械制造业私营工业企业法人资本金,专用设备制造业私营工业企业法人资本金,交通运输设备制造业私营工业企业法人资本金,电气机械及器材制造业私营工业企业法人资本金,电子及通信设备制造业私营工业企业法人资本金,仪器仪表及文化办公用机械制造业私营工业企业法人资本金,其它制造业私营工业企业法人资本金,电力、蒸汽、热水的生产和供应业私营工业企业法人资本金,煤气生产和供应业私营工业企业法人资本金,自来水的生产和供应业私营工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,623.18415,8.18268,,6.0043,2.46576,5.78288,0.0398,,40.34253,16.29628,17.51032,0.05,50.11237,19.9871,12.60716,16.89755,8.81462,15.53583,7.62869,4.03831,21.89367,43.19934,21.64191,1.99327,4.85106,21.75199,64.53686,38.94549,21.88935,31.92569,24.14793,14.29465,22.13945,31.13047,10.73746,3.00583,9.75727,1.55235,0.78555,0.70838
2001,454.09778,5.22522,,1.17939,2.83303,2.5172,0.005,,30.04235,12.37255,14.68575,0.072,35.90352,15.78047,9.96444,13.79155,7.51082,14.13377,4.68541,4.27501,5.89035,30.38569,16.3951,1.06061,4.77489,13.3458,51.24725,15.81886,12.24151,24.11177,18.73138,12.23262,16.212,22.03047,11.61358,2.67113,7.35617,12.29606,0.132,0.57306
2000,299.85946,1.73889,0.3,1.3714,1.21219,1.65008,0.0085,,19.85742,9.11066,9.01645,,15.49825,12.93674,7.62537,8.02756,8.85466,6.81542,1.84638,2.41829,6.51184,17.31302,10.23003,0.5171,1.989,11.28549,39.45598,15.5268,8.33193,15.00478,12.51313,9.7447,14.73414,13.29883,6.02344,1.60204,3.22323,4.08924,0.15581,0.02067
