年份,私营工业企业营业利润,煤炭采选业私营工业企业营业利润,石油和天然气开采业私营工业企业营业利润,黑色金属矿采选业私营工业企业营业利润,有色金属矿采选业私营工业企业营业利润,非金属矿采选业私营工业企业营业利润,其他矿采选业私营工业企业营业利润,木材及竹材采运业私营工业企业营业利润,食品加工业私营工业企业营业利润,食品制造业私营工业企业营业利润,饮料制造业私营工业企业营业利润,烟草加工业私营工业企业营业利润,纺织业私营工业企业营业利润,服装及其他纤维制品制造业私营工业企业营业利润,皮革、毛皮、羽绒及其制品业私营工业企业营业利润,木材加工及竹、藤、棕、草制品业私营工业企业营业利润,家具制造业私营工业企业营业利润,造纸及纸制品业私营工业企业营业利润,印刷业、记录媒介的复制私营工业企业营业利润,文教体育用品制造业私营工业企业营业利润,石油加工及炼焦业私营工业企业营业利润,化学原料及化学制品制造业私营工业企业营业利润,医药制造业私营工业企业营业利润,化学纤维制造业私营工业企业营业利润,橡胶制品业私营工业企业营业利润,塑料制品业私营工业企业营业利润,非金属矿物制造业私营工业企业营业利润,黑色金属冶炼及压延加工业私营工业企业营业利润,有色金属冶炼及压延加工业私营工业企业营业利润,金属制品业私营工业企业营业利润,普通机械制造业私营工业企业营业利润,专用设备制造业私营工业企业营业利润,交通运输设备制造业私营工业企业营业利润,电气机械及器材制造业私营工业企业营业利润,电子及通信设备制造业私营工业企业营业利润,仪器仪表及文化办公用机械制造业私营工业企业营业利润,其它制造业私营工业企业营业利润,电力、蒸汽、热水的生产和供应业私营工业企业营业利润,煤气生产和供应业私营工业企业营业利润,自来水的生产和供应业私营工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,494.07129,4.20809,,2.34445,2.62649,3.13361,0.0016,,23.61228,9.44614,6.23114,0.00812,51.21284,21.51146,18.59095,9.88516,5.46651,11.1305,3.93058,6.39558,5.31937,34.45195,10.24078,3.78625,5.28614,20.85023,32.33822,18.69184,8.1406,32.21936,33.55411,18.63374,23.74613,35.52169,16.04607,4.69788,9.41526,1.22822,0.01106,0.15689
2001,300.51256,1.76022,0.0126,1.61269,1.70932,1.50789,0.0084,0.00491,13.73694,6.50724,4.08911,-0.01341,30.60235,13.3803,9.48287,8.17417,4.39485,5.90631,2.94973,4.50387,2.02701,20.20714,5.64495,2.63563,3.19843,11.4464,16.68376,9.05318,5.02911,19.19279,20.70227,11.30306,14.55737,24.18121,11.11444,3.95539,6.79026,2.07914,0.17627,0.20439
2000,186.38913,0.71434,0.21442,0.6892,0.79642,1.4147,0.00593,,9.6162,3.90144,2.79365,0.04195,16.68083,9.1062,6.40563,5.5747,3.38682,3.35351,1.74627,1.9959,1.65218,10.87101,4.32338,0.48797,2.23893,7.7163,9.12453,5.39426,4.98143,12.01948,10.78946,9.06361,9.4439,15.02986,7.55234,1.31368,4.08494,1.85006,0.01902,-0.00532
