年份,私营工业企业负债合计,煤炭采选业私营工业企业负债合计,石油和天然气开采业私营工业企业负债合计,黑色金属矿采选业私营工业企业负债合计,有色金属矿采选业私营工业企业负债合计,非金属矿采选业私营工业企业负债合计,其他矿采选业私营工业企业负债合计,木材及竹材采运业私营工业企业负债合计,食品加工业私营工业企业负债合计,食品制造业私营工业企业负债合计,饮料制造业私营工业企业负债合计,烟草加工业私营工业企业负债合计,纺织业私营工业企业负债合计,服装及其他纤维制品制造业私营工业企业负债合计,皮革、毛皮、羽绒及其制品业私营工业企业负债合计,木材加工及竹、藤、棕、草制品业私营工业企业负债合计,家具制造业私营工业企业负债合计,造纸及纸制品业私营工业企业负债合计,印刷业、记录媒介的复制私营工业企业负债合计,文教体育用品制造业私营工业企业负债合计,石油加工及炼焦业私营工业企业负债合计,化学原料及化学制品制造业私营工业企业负债合计,医药制造业私营工业企业负债合计,化学纤维制造业私营工业企业负债合计,橡胶制品业私营工业企业负债合计,塑料制品业私营工业企业负债合计,非金属矿物制造业私营工业企业负债合计,黑色金属冶炼及压延加工业私营工业企业负债合计,有色金属冶炼及压延加工业私营工业企业负债合计,金属制品业私营工业企业负债合计,普通机械制造业私营工业企业负债合计,专用设备制造业私营工业企业负债合计,交通运输设备制造业私营工业企业负债合计,电气机械及器材制造业私营工业企业负债合计,电子及通信设备制造业私营工业企业负债合计,仪器仪表及文化办公用机械制造业私营工业企业负债合计,其它制造业私营工业企业负债合计,电力、蒸汽、热水的生产和供应业私营工业企业负债合计,煤气生产和供应业私营工业企业负债合计,自来水的生产和供应业私营工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5192.26,35.69436,,24.26663,16.66057,23.03812,0.21564,,243.37389,116.30956,89.80728,0.24099,613.6921,203.87907,97.31617,85.04465,45.07626,162.72678,54.71501,53.73014,92.54141,323.46253,116.16546,41.93657,44.51088,195.20214,462.51574,208.87276,158.97731,303.62245,331.377,170.55696,266.82671,334.12091,126.79219,33.29409,72.51498,35.98909,3.3777,3.81783
2001,3527.4,17.78458,0.03725,15.38473,12.43528,12.74471,0.1912,0.01343,175.17086,84.50582,78.30727,0.28087,382.03942,140.23462,73.09908,60.55593,31.69258,118.9311,38.33548,37.9723,50.02924,228.10179,76.7932,30.17029,32.53762,122.59332,331.81543,120.65123,118.00863,206.44708,223.0514,110.72241,183.10165,223.2482,83.0975,23.77904,55.36176,22.5736,2.84613,2.74652
2000,2208.83,11.41047,0.12116,10.61126,9.4502,10.77246,0.05622,,107.01733,57.31098,62.08592,0.40931,199.66718,102.41913,44.85623,43.93196,22.02753,64.42373,20.64205,23.40867,29.801,127.41871,48.16465,7.09876,20.10081,81.63029,241.0553,81.5624,81.12077,125.0139,130.21297,72.39049,100.50014,157.29319,54.30301,13.68309,30.82548,15.3368,0.26888,0.43006
