年份,私营工业企业销售费用,煤炭采选业私营工业企业销售费用,石油和天然气开采业私营工业企业销售费用,黑色金属矿采选业私营工业企业销售费用,有色金属矿采选业私营工业企业销售费用,非金属矿采选业私营工业企业销售费用,其他矿采选业私营工业企业销售费用,木材及竹材采运业私营工业企业销售费用,食品加工业私营工业企业销售费用,食品制造业私营工业企业销售费用,饮料制造业私营工业企业销售费用,烟草加工业私营工业企业销售费用,纺织业私营工业企业销售费用,服装及其他纤维制品制造业私营工业企业销售费用,皮革、毛皮、羽绒及其制品业私营工业企业销售费用,木材加工及竹、藤、棕、草制品业私营工业企业销售费用,家具制造业私营工业企业销售费用,造纸及纸制品业私营工业企业销售费用,印刷业、记录媒介的复制私营工业企业销售费用,文教体育用品制造业私营工业企业销售费用,石油加工及炼焦业私营工业企业销售费用,化学原料及化学制品制造业私营工业企业销售费用,医药制造业私营工业企业销售费用,化学纤维制造业私营工业企业销售费用,橡胶制品业私营工业企业销售费用,塑料制品业私营工业企业销售费用,非金属矿物制造业私营工业企业销售费用,黑色金属冶炼及压延加工业私营工业企业销售费用,有色金属冶炼及压延加工业私营工业企业销售费用,金属制品业私营工业企业销售费用,普通机械制造业私营工业企业销售费用,专用设备制造业私营工业企业销售费用,交通运输设备制造业私营工业企业销售费用,电气机械及器材制造业私营工业企业销售费用,电子及通信设备制造业私营工业企业销售费用,仪器仪表及文化办公用机械制造业私营工业企业销售费用,其它制造业私营工业企业销售费用,电力、蒸汽、热水的生产和供应业私营工业企业销售费用,煤气生产和供应业私营工业企业销售费用,自来水的生产和供应业私营工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,403.85188,4.19663,,2.72745,1.86858,5.15505,0.02442,,25.23125,14.80066,9.78097,0.00819,20.65001,19.02567,8.77841,8.49427,5.69595,7.43732,2.66216,5.72226,8.50564,33.85149,19.17424,1.11813,3.78701,13.37449,29.65619,9.95509,6.00678,25.2895,25.18614,14.58068,16.80816,30.50964,11.94198,3.78755,7.37996,0.36441,0.26773,0.04782
2001,277.92056,2.45552,,1.05363,1.58832,2.8976,0.03035,0.02179,18.50173,10.77424,6.77928,0.00846,14.07335,13.14626,5.17708,6.02624,4.71918,4.99706,1.92811,4.25134,4.2246,21.95202,14.40248,0.76163,3.11101,8.43275,19.66138,5.91645,5.33003,16.30899,16.73551,10.49136,10.9996,22.91026,10.1955,2.51895,5.26406,0.1495,0.08601,0.03893
2000,178.42333,1.42983,0.02067,0.57185,0.71881,1.91059,0.00061,,12.14251,7.29635,6.29983,0.01702,6.86412,9.89949,2.93454,2.89863,3.60359,3.30372,1.08879,1.90561,2.92767,11.38856,9.85662,0.40839,1.5895,5.43821,13.60411,2.90201,3.07997,10.50298,9.33246,7.25741,7.32075,17.64418,7.0969,1.57037,3.19282,0.34831,0.02056,0.03499
