年份,中国从大洋洲及太平洋群岛进口总额,中国从澳大利亚进口总额,中国从库克群岛进口总额,中国从斐济进口总额,中国从盖比群岛进口总额,中国从瑙鲁进口总额,中国从新喀里多尼亚进口总额,中国从瓦努阿图进口总额,中国从新西兰进口总额,中国从诺福克岛进口总额,中国从巴布亚新几内亚进口总额,中国从社会群岛进口总额,中国从所罗门群岛进口总额,中国从汤加进口总额,中国从土布艾群岛进口总额,中国从萨摩亚进口总额,中国从基里巴斯进口总额,中国从图瓦卢进口总额,中国从密克罗尼西亚联邦进口总额,中国从马绍尔群岛共和国进口总额,中国从帕劳共和国进口总额,中国从法属波利尼西亚进口总额,中国从瓦利斯和浮图纳进口总额,中国从大洋洲其他国家(地区)进口总额
2019,13851781.6933,12128966.6043,175.5682,1441.8449,1.2418,2.6039,108781.0324,1457.4368,1255798.1111,0.033,302393.2802,0.0043,46111.8896,13.0138,0.0038,44.2996,94.1171,2.6458,1257.4574,4468.6334,5.8871,680.1157,0.0158,85.4745
2018,12154952.5,10581067.3,250.2,2531.0,4.1,12.1,109370.9,1568.3,1108333.2,1.1,282584.6,0.1,62931.6,11.9,0.2,51.0,10.3,0.9,2177.5,3316.0,4.0,698.2,0.4,26.8
2017,10789469.7,9500912.1,576.6,1752.2,,27.6,79466.8,1423.9,939109.8,0.1,207033.2,,55481.9,58.4,,52.7,40.6,0.7,1165.6,1826.9,0.1,540.5,,
2016,8061357.1,7089501.3,120.4,1718.1,,1.7,50353.4,501.2,714062.9,0.3,163069.4,,37627.3,2.4,0.1,79.9,949.3,2.6,689.2,2008.4,3.8,665.3,,
2015,8286473.6,7351010.5,160.1,2138.5,0.3,9.1,46544.9,1200.7,658377.8,,177464.5,,46010.9,2.3,,98.4,400.6,99.4,134.4,2497.1,0.5,267.0,,56.7
2014,10946708.3618,9763088.7218,170.271,5288.0797,,1.3076,33419.0508,691.5377000000001,950552.7573,,140323.2502,,47383.388,3.5353000000000003,,19.494,290.2218,0.0039,544.2457999999999,4332.8454,6.1974,572.3536,1.2999,19.8
2013,10869418.0,9895405.9,100.8,5937.6,,3.7,12924.7,224.4,825321.4,,79769.0,,40452.1,2.5,,1.1,45.6,,998.3,7775.4,1.4,425.2,1.3,28.0
2012,9166611.3,8461794.0,101.8,2216.1,,5.1,14938.0,241.8,581028.9,0.2,64226.5,,37769.8,,,2.3,17.3,,1092.5,2337.9,2.8,803.8,,
2011,8892732.672400001,8267314.9585,73.7907,121.6794,,0.8907,8084.5789,239.4045,498131.7415,,81522.0295,,34880.7342,4.6968,,2.733,8.9892,,161.5363,1654.1578,0.5253,529.2923,,0.6582
2010,6601798.3,6112205.2,115.4,95.1,,,5672.7,66.0,376291.6,0.7,77715.1,,28705.4,0.6,,2.3,0.5,,286.1,524.1,3.2,109.9,,4.3
2009,4266389.0,3948820.0,26.0,58.0,1.0,,13318.0,137.0,247819.0,,35772.0,,17811.0,6.0,,763.0,,1.0,396.0,1187.0,,273.0,,
2008,4023627.1413999996,3743513.2805,179.6727,92.1217,,,11120.3623,43.2984,189234.644,5.7585,51520.783299999996,0.8056,21498.6006,1.7633,,261.1041,,,1.0213,,5.9821,296.9491,,1.4129
2007,2841359.1879000003,2584033.837,184.3774,257.1423,5.6028,,37763.8848,40.2248,153775.4668,,46839.1996,1.4481,18233.7758,3.9238,,29.7484,,5.8472,32.065,3.5254,,136.5938,,12.5249
2006,2132370.402,1932329.9466,119.5813,122.81,,,16367.387400000001,105.163,131443.0838,,39184.897,1.2369,12486.2385,1.3491,,1.1578,,7.6406,7.2567,20.196,,168.4062,,3.467
2005,1801360.0,1619363.0,547.0,227.0,0.0,0.0,7841.0,48.0,132600.0,0.0,30946.0,0.0,9660.0,0.0,,4.0,2.0,0.0,2.0,0.0,0.0,107.0,,7.0
2004,1333368.5,1155248.9,8.1,618.0,0.0,0.0,5778.2,26.4,141321.8,0.0,24385.6,0.0,5795.2,0.0,,97.5,0.0,0.0,0.0,0.0,0.0,85.2,,4.0
2003,859997.0,730007.0,7.8,535.5,0.9,0.0,616.6,19.6,102358.0,0.9,23110.8,0.5,3263.8,5.3,,35.7,0.0,0.0,0.0,5.8,0.0,15.1,,13.2
2002,683368.0,585057.0,13.0,140.0,,,1.0,26.0,80334.0,,15967.0,,1822.0,1.0,,,,,,1.0,,,,5.0
2001,629288.0,542640.0,11.0,25.0,,,62.0,32.0,73678.0,,12238.0,6.0,594.0,1.0,,,,,1.0,,,,,
2000,587735.0,502400.0,,29.0,,,,,63827.0,,20073.0,,,,,,,,,,,,,
