年份,研究与试验发展项目(课题)数,农、林、牧、渔业研究与试验发展项目(课题)数,采矿业研究与试验发展项目(课题)数,制造业研究与试验发展项目(课题)数,电力、燃气及水的生产和供应业研究与试验发展项目(课题)数,建筑业研究与试验发展项目(课题)数,交通运输、仓储和邮政业研究与试验发展项目(课题)数,信息传输、计算机服务和软件业研究与试验发展项目(课题)数,金融业研究与试验发展项目(课题)数,租赁和商务服务业研究与试验发展项目(课题)数,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)数,水利、环境和公共设施管理业研究与试验发展项目(课题)数,教育研究与试验发展项目(课题)数,卫生、社会保障和社会福利业研究与试验发展项目(课题)数,文化、体育和娱乐业研究与试验发展项目(课题)数,研究与试验发展项目(课题)人员全时当量,农、林、牧、渔业研究与试验发展项目(课题)人员全时当量,采矿业研究与试验发展项目(课题)人员全时当量,制造业研究与试验发展项目(课题)人员全时当量,电力、燃气及水的生产和供应业研究与试验发展项目(课题)人员全时当量,建筑业研究与试验发展项目(课题)人员全时当量,交通运输、仓储和邮政业研究与试验发展项目(课题)人员全时当量,信息传输、计算机服务和软件业研究与试验发展项目(课题)人员全时当量,金融业研究与试验发展项目(课题)人员全时当量,租赁和商务服务业研究与试验发展项目(课题)人员全时当量,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)人员全时当量,水利、环境和公共设施管理业研究与试验发展项目(课题)人员全时当量,教育研究与试验发展项目(课题)人员全时当量,卫生、社会保障和社会福利业研究与试验发展项目(课题)人员全时当量,文化、体育和娱乐业研究与试验发展项目(课题)人员全时当量,研究与试验发展项目(课题)经费支出,农、林、牧、渔业研究与试验发展项目(课题)经费支出,采矿业研究与试验发展项目(课题)经费支出,制造业研究与试验发展项目(课题)经费支出,电力、燃气及水的生产和供应业研究与试验发展项目(课题)经费支出,建筑业研究与试验发展项目(课题)经费支出,交通运输、仓储和邮政业研究与试验发展项目(课题)经费支出,信息传输、计算机服务和软件业研究与试验发展项目(课题)经费支出,金融业研究与试验发展项目(课题)经费支出,租赁和商务服务业研究与试验发展项目(课题)经费支出,科学研究、技术服务和地质勘查业研究与试验发展项目(课题)经费支出,水利、环境和公共设施管理业研究与试验发展项目(课题)经费支出,教育研究与试验发展项目(课题)经费支出,卫生、社会保障和社会福利业研究与试验发展项目(课题)经费支出,文化、体育和娱乐业研究与试验发展项目(课题)经费支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,775316.0,2187.0,7191.0,184631.0,2578.0,6581.0,1164.0,7113.0,153.0,1648.0,69345.0,496.0,451034.0,40869.0,326.0,200.01743,1.0606,6.3458,115.312,1.2489,5.03756,0.42425,6.93973,0.0265,1.7516,28.16085,0.19528,24.08995,9.33644,0.08797,4549.273795,9.504704,127.67885,3035.50643,22.68032,103.309953,7.63968,140.851427,0.56407,39.31711,676.710822,1.696732,352.688199,30.43767,0.687828
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
