年份,农、林、牧、渔业研究与试验发展折合全时人员,采矿业研究与试验发展折合全时人员,制造业研究与试验发展折合全时人员,电力、燃气及水的生产和供应业研究与试验发展折合全时人员,建筑业研究与试验发展折合全时人员,交通运输、仓储和邮政业研究与试验发展折合全时人员,信息传输、计算机服务和软件业研究与试验发展折合全时人员,金融业研究与试验发展折合全时人员,租赁和商务服务业研究与试验发展折合全时人员,科学研究、技术服务和地质勘查业研究与试验发展折合全时人员,水利、环境和公共设施管理业研究与试验发展折合全时人员,教育研究与试验发展折合全时人员,卫生、社会保障和社会福利业研究与试验发展折合全时人员,文化、体育和娱乐业研究与试验发展折合全时人员,农、林、牧、渔业研究与试验发展折合全时研究人员,采矿业研究与试验发展折合全时研究人员,制造业研究与试验发展折合全时研究人员,电力、燃气及水的生产和供应业研究与试验发展折合全时研究人员,建筑业研究与试验发展折合全时研究人员,交通运输、仓储和邮政业研究与试验发展折合全时研究人员,信息传输、计算机服务和软件业研究与试验发展折合全时研究人员,金融业研究与试验发展折合全时研究人员,租赁和商务服务业研究与试验发展折合全时研究人员,科学研究、技术服务和地质勘查业研究与试验发展折合全时研究人员,水利、环境和公共设施管理业研究与试验发展折合全时研究人员,教育研究与试验发展折合全时研究人员,卫生、社会保障和社会福利业研究与试验发展折合全时研究人员,文化、体育和娱乐业研究与试验发展折合全时研究人员,农、林、牧、渔业基础研究研究与试验发展人员全时当量,采矿业基础研究研究与试验发展人员全时当量,制造业基础研究研究与试验发展人员全时当量,电力、燃气及水的生产和供应业基础研究研究与试验发展人员全时当量,建筑业基础研究研究与试验发展人员全时当量,交通运输、仓储和邮政业基础研究研究与试验发展人员全时当量,信息传输、计算机服务和软件业基础研究研究与试验发展人员全时当量,金融业基础研究研究与试验发展人员全时当量,租赁和商务服务业基础研究研究与试验发展人员全时当量,科学研究、技术服务和地质勘查业基础研究研究与试验发展人员全时当量,水利、环境和公共设施管理业基础研究研究与试验发展人员全时当量,教育基础研究研究与试验发展人员全时当量,卫生、社会保障和社会福利业基础研究研究与试验发展人员全时当量,文化、体育和娱乐业基础研究研究与试验发展人员全时当量,农、林、牧、渔业应用研究研究与试验发展人员全时当量,采矿业应用研究研究与试验发展人员全时当量,制造业应用研究研究与试验发展人员全时当量,电力、燃气及水的生产和供应业应用研究研究与试验发展人员全时当量,建筑业应用研究研究与试验发展人员全时当量,交通运输、仓储和邮政业应用研究研究与试验发展人员全时当量,信息传输、计算机服务和软件业应用研究研究与试验发展人员全时当量,金融业应用研究研究与试验发展人员全时当量,租赁和商务服务业应用研究研究与试验发展人员全时当量,科学研究、技术服务和地质勘查业应用研究研究与试验发展人员全时当量,水利、环境和公共设施管理业应用研究研究与试验发展人员全时当量,教育应用研究研究与试验发展人员全时当量,卫生、社会保障和社会福利业应用研究研究与试验发展人员全时当量,文化、体育和娱乐业应用研究研究与试验发展人员全时当量,农、林、牧、渔业试验发展研究与试验发展人员全时当量,采矿业试验发展研究与试验发展人员全时当量,制造业试验发展研究与试验发展人员全时当量,电力、燃气及水的生产和供应业试验发展研究与试验发展人员全时当量,建筑业试验发展研究与试验发展人员全时当量,交通运输、仓储和邮政业试验发展研究与试验发展人员全时当量,信息传输、计算机服务和软件业试验发展研究与试验发展人员全时当量,金融业试验发展研究与试验发展人员全时当量,租赁和商务服务业试验发展研究与试验发展人员全时当量,科学研究、技术服务和地质勘查业试验发展研究与试验发展人员全时当量,水利、环境和公共设施管理业试验发展研究与试验发展人员全时当量,教育试验发展研究与试验发展人员全时当量,卫生、社会保障和社会福利业试验发展研究与试验发展人员全时当量,文化、体育和娱乐业试验发展研究与试验发展人员全时当量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1.2196,7.5624,135.5658,1.5544,6.3432,0.4991,7.3188,0.0397,1.9659,32.6812,0.2273,24.13497,9.9068,0.106,0.447,4.3891,57.0294,1.2243,3.9104,0.3094,1.7163,0.018,0.5152,19.5105,0.1013,20.07741,5.92541,0.0574,0.0185,0.019,0.0696,0.0004,0.006,0.002,0.007,0.0001,0.0014,4.2282,0.0436,10.08144,1.93903,0.0393,0.0745,0.3652,1.0855,0.098,0.2869,0.026,0.1376,0.0009,0.0514,11.2965,0.074,11.99568,6.01594,0.0267,1.1263,7.1781,134.4126,1.4561,6.0506,0.4711,7.1741,0.0387,1.9128,17.1565,0.1097,2.05767,1.95613,0.0401
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
