年份,原保险保费收入,财产险保费收入,人身险保费收入,原保险赔付支出,财产险支出,人身险支出
2019,426448000.0,116494686.2,309952844.66,128940000.0,65016177.31,63923543.98
2018,380133897.590063,107706868.718696,272427028.871367,122970026.651788,58971258.000545,63998768.651243
2017,365777674.35,98345723.4,267431950.94,111783572.92,50860894.62,60922678.3
2016,309041519.95,87241662.9,221799857.06,105156788.21,47294836.38,57861951.84
2015,242825200.0,79949700.0,162875500.0,86741400.0,41941700.0,44799700.0
2014,202348100.0,72033800.0,130314300.0,72162100.0,37882100.0,34280000.0
2013,172222400.0,62122600.0,110099800.0,62129000.0,34391400.0,27737700.0
2012,154879298.09,53309273.47,101570024.62,47163184.6,28163316.38,18999868.23
2011,143392500.0,46178200.0,97214300.0,39293700.0,21869300.0,17424400.0
2010,145279700.0,38956400.0,106323300.0,32004300.0,17560300.0,14444000.0
2009,111372989.22,28758335.46,82614653.76,31254826.89,15757845.21,15496981.68
2008,97842371.65,23367097.78,74475273.87,29711659.83,14183324.57,15528335.26
2007,70357598.09,19977363.42,50380234.66,22652149.38,10204703.46,12447445.92
2006,,,,,,
2005,,,,,,
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
