年份,保险业资产总额,财产险公司资产,寿险公司资产,再保险公司资产,中资保险公司资产,外资保险公司资产
2019,205644.9,22939.6,169575.167090804,4261.123930525,192052.686535173,13592.213464827
2018,183305.240269848,23502.7327395975,146032.481977644,3633.4758390271,171695.832722943,11609.4075469043
2017,169377.32,24901.04,131885.05,3150.32,158956.86,10420.46
2016,153764.66,23849.82,126557.51,2765.61,144646.59,9118.07
2015,123597.76,18481.13,99324.83,5187.38,115057.96,6539.8
2014,101591.47,14061.48,82487.2,3513.56,94950.98,6640.49
2013,82886.95,10941.45,68250.07,2103.93,78551.67,4335.28
2012,73545.73,9477.47,60991.22,1845.25,70080.33,3465.4
2011,59828.94,7919.95,49798.19,1579.11,56822.12,3006.83
2010,50481.608647,5833.515936,42642.661491,1151.787363,47860.491046,2621.117602
2009,40634.75,4892.62,33655.05,1162.01,38582.37,2052.39
2008,33418.83,4687.03,27138.45,994.45,31893.93,1524.91
2007,28912.78,3880.51,23249.16,877.26,27656.26,1256.51
2006,19704.19,2340.45,17446.26,311.31,18862.6,862.66
2005,15286.44,1718.81,13458.27,292.7,14630.97,665.64
2004,11953.68,1411.38,8352.9,262.37,11540.63,413.05
2003,9088.0,1176.0,7657.0,255.0,,
2002,6320.0,948.0,5161.0,211.0,,
2001,,,,,,
2000,,,,,,
