年份,货币和准货币(M2)供应量,货币(M1)供应量,流通中现金(M0)供应量,货币供应量中活期存款供应量,准货币供应量,准货币供应量定期存款,准货币供应量储蓄存款,准货币供应量其他存款,货币和准货币(M2)供应量同比增长率,货币(M1)供应量同比增长率,流通中现金(M0)供应量同比增长率,货币供应量中活期存款供应量同比增长率,准货币供应量同比增长率,准货币供应量定期存款同比增长率,准货币供应量储蓄存款同比增长率,准货币供应量其他存款同比增长率
2019,1986488.81864351,576009.151495216,77189.4745230608,498819.676972155,1410479.66714829,363486.038716478,819161.837527285,227831.790904532,8.74477124689663,4.40889346885965,5.44,4.2514376591983,10.6207973483535,6.85143282749318,13.5062779818499,6.86753974772284
2018,1826744.2,551685.9,73208.4,478477.5,1275058.3,340178.9,721688.6,213190.8,8.1,1.5,3.6,1.1,11.2,6.2,11.1,20.5
2017,1690235.31468079,543790.145191184,70645.5992424259,473144.545948758,1146445.16948961,320196.229407105,649341.499061255,176907.441021246,8.1,11.8,3.4,13.1,6.4,4.0,7.6,6.5
2016,1550066.66781086,486557.237370892,68303.8678027842,418253.37,1063509.43043996,307989.612259567,603504.197568975,152015.620611423,11.3,21.4,8.1,23.8,7.3,6.9,9.3,0.7
2015,1392278.11,400953.44,63216.58,337736.86,991324.67,288240.66,552073.48,151010.53,13.34,15.2,4.91,17.35,12.61,9.16,8.49,40.63
2014,1228374.81,348056.41,60259.53,287796.88,880318.4,264055.71,508878.12,107384.57,12.16,3.19,2.88,3.26,14.44,13.48,8.96,54.5
2013,1106524.98,337291.05,58574.444020887,278716.606476683,769233.929426646,232696.582900227,467031.116113744,69506.2304126748,13.59,9.26,7.2,9.72,15.59,18.77,13.53,19.45
2012,974148.8,308664.2,54659.81,254004.5,665484.6,195940.1,411362.6,58181.9,13.84,6.49,7.71,6.24,17.6,17.6,16.6,25.14
2011,851590.9,289847.7,50748.46,239099.2,561743.22,166616.04,352797.5,42329.7,13.61,7.85,13.76,6.67,16.83,18.05,16.17,17.68
2010,725851.8,266621.5,44628.2,221993.4,459230.3,105858.65,303302.5,50069.1,19.7331,21.1908,16.6873,22.14,18.9,28.65,16.31,15.99
2009,610224.5,221445.8,38247.0,183198.8,388778.7,84819.5,260752.7,43206.5,28.5,33.2,11.77,38.8,26.0,42.0,19.68,39.6
2008,475166.6,166217.13,34218.96,131998.17,308949.47,60103.06,217885.35,30961.06,17.82,9.06,12.65,8.17,23.15,28.06,26.29,-1.45
2007,403442.21,152560.08,30375.23,122184.9,250882.1,46932.51,172534.19,31415.43,16.735537961281,21.1,12.199077887548,23.4658458036281,14.3,21.2002912989921,6.77459800367974,63.2046693092145
2006,345577.9,126028.1,27072.62,98955.4,219549.9,38715.9,161587.3,19246.7,16.9,17.49,12.653786457055,18.8780412624634,16.6,17.1,14.5594936979882,36.2
2005,298755.7,107278.8,24031.7,83247.09,191476.91,33099.99,141050.99,17325.93,17.570826462868,11.783927635493,11.94,11.74,21.08,30.41,17.98,31.26
2004,254107.0,95969.7,21468.3,74501.4,158137.2,25382.2,119555.4,13199.7,14.67,13.58,8.72,15.06,15.34,21.21,15.38,5.21
2003,221222.8,84118.57,19745.9,64372.6,137104.3,20940.4,103617.7,12546.2,19.5753868084,18.674443746412,14.283283453033,20.29,20.13,27.42,19.22,16.38
2002,185006.97,70881.79,17278.03,53603.8,114125.2,16433.8,86910.7,10780.7,16.78,16.82,10.13,19.15,16.8,21.81,17.82,2.77
2001,158301.9,59871.59,15688.8,44182.8,98430.3,14180.1,73762.4,10487.8,14.42,12.65,7.07,14.78,15.5,25.92,14.66,9.07
2000,134610.3,53147.2,14652.7,38494.5,81463.1,11261.1,64332.4,5869.7,12.270857120934,16.0,8.897476868195,18.9,10.0,18.8,7.9,18.3
