年份,保险公司资金运用余额,保险公司资金运用中银行存款,保险公司资金运用中国债,保险公司资金运用中金融债券,保险公司资金运用中企业债券,保险公司资金运用中证券投资基金
2019,185270.575774146,25227.420231897,20672.0056832924,20658.191822611,21462.8359777551,9423.2859002987
2018,164088.38,24363.5,14027.62,20215.82,21011.68,8650.55
2017,149206.21,19274.07,10167.99,19153.05,19436.76,7524.77
2016,133910.672633759,24844.2107306972,7796.2409350529,16260.3460452554,18627.9933385455,8554.4569464394
2015,111795.49,24349.67,5831.12,15215.31,17307.38,8856.5
2014,93314.43,25310.73,5009.88,15067.12,15465.13,4714.28
2013,76873.41,22640.98,4776.73,14811.84,13727.75,3575.52
2012,68542.58,23446.0,4795.02,14832.57,10899.98,3625.58
2011,55192.98,17692.69,4741.9,12418.8,8755.86,2909.92
2010,46046.62,13909.97,4815.78,10038.75,7935.69,2620.73
2009,37417.115565,10519.68317,4053.816374,8746.102262,6074.5583,2758.782178
2008,30552.83,8087.49,4208.26,8754.06,4598.46,1646.46
2007,26647.81,6503.44,3956.56,4897.84,2799.76,2519.41
2006,17785.398357,5989.10812,3647.012213,2754.254641,2121.5641,912.084917
2005,14092.690854,5165.552082,3590.649548,1804.714716,1204.551621,1106.998877
2004,10778.619968,5071.097008,2618.435574,1026.250594,639.732947,666.323405
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
