年份,输出电子出版物版权总数,向美国输出电子出版物版权总数,向英国输出电子出版物版权总数,向德国输出电子出版物版权总数,向法国输出电子出版物版权总数,向俄罗斯输出电子出版物版权总数,向加拿大输出电子出版物版权总数,向新加坡输出电子出版物版权总数,向日本输出电子出版物版权总数,向韩国输出电子出版物版权总数,向香港地区输出电子出版物版权总数,向澳门地区输出电子出版物版权总数,向台湾地区输出电子出版物版权总数,向其他地区输出电子出版物版权总数
2019,838,389,12,8,24,2,,72,4,78,3,,105,141
2018,743,273,16,2,,,,26,4,73,45,,59,245
2017,1557,525,24,26,,,,9,3,25,514,4.0,58,369
2016,1264,446,5,30,,,,118,,93,5,,148,419
2015,650,168,36,27,,,,87,16,8,60,,144,104
2014,433,139,38,46,,40,,36,27,11,1,,54,41
2013,646,183,78,44,,,,169,69,3,1,,53,46
2012,115,18,,,,,1.0,16,,4,2,,12,62
2011,125,21,5,,2,,,42,,8,2,18.0,,27
2010,187,139,,,,,,,,3,35,,10,
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
